period_month,md_payments_gross_eur,large_neg_adjustments_eur,md_payments_operating_eur,sales_dds_salon_shop_eur,gap_operating_eur,gap_pct,status,note
2013-09,32041.0,0.0,32041.0,0.0,32041.0,,OPEN,no large adjustments
2013-10,206340.0,0.0,206340.0,0.0,206340.0,,OPEN,no large adjustments
2013-11,114617.0,0.0,114617.0,0.0,114617.0,,OPEN,no large adjustments
2013-12,227318.0,0.0,227318.0,0.0,227318.0,,OPEN,no large adjustments
2014-01,139147.0,0.0,139147.0,0.0,139147.0,,OPEN,no large adjustments
2014-02,177501.0,0.0,177501.0,0.0,177501.0,,OPEN,no large adjustments
2014-03,192679.0,0.0,192679.0,0.0,192679.0,,OPEN,no large adjustments
2014-04,129328.0,0.0,129328.0,0.0,129328.0,,OPEN,no large adjustments
2014-05,114638.0,0.0,114638.0,0.0,114638.0,,OPEN,no large adjustments
2014-06,148733.0,0.0,148733.0,0.0,148733.0,,OPEN,no large adjustments
2014-07,183859.0,0.0,183859.0,0.0,183859.0,,OPEN,no large adjustments
2014-08,24459.0,0.0,24459.0,0.0,24459.0,,OPEN,no large adjustments
2014-09,121470.0,0.0,121470.0,0.0,121470.0,,OPEN,no large adjustments
2014-10,163151.0,0.0,163151.0,0.0,163151.0,,OPEN,no large adjustments
2014-11,169956.0,0.0,169956.0,0.0,169956.0,,OPEN,no large adjustments
2014-12,320653.0,0.0,320653.0,0.0,320653.0,,OPEN,no large adjustments
2015-01,144802.0,0.0,144802.0,0.0,144802.0,,OPEN,no large adjustments
2015-02,264561.0,0.0,264561.0,0.0,264561.0,,OPEN,no large adjustments
2015-03,171484.0,0.0,171484.0,0.0,171484.0,,OPEN,no large adjustments
2015-04,129703.0,0.0,129703.0,0.0,129703.0,,OPEN,no large adjustments
2015-05,140751.0,0.0,140751.0,0.0,140751.0,,OPEN,no large adjustments
2015-06,160236.0,0.0,160236.0,0.0,160236.0,,OPEN,no large adjustments
2015-07,135817.0,0.0,135817.0,0.0,135817.0,,OPEN,no large adjustments
2015-08,89663.0,0.0,89663.0,0.0,89663.0,,OPEN,no large adjustments
2015-09,97275.0,0.0,97275.0,0.0,97275.0,,OPEN,no large adjustments
2015-10,176868.0,0.0,176868.0,0.0,176868.0,,OPEN,no large adjustments
2015-11,171428.0,0.0,171428.0,0.0,171428.0,,OPEN,no large adjustments
2015-12,316029.0,0.0,316029.0,0.0,316029.0,,OPEN,no large adjustments
2016-01,98599.0,0.0,98599.0,0.0,98599.0,,OPEN,no large adjustments
2016-02,135071.0,0.0,135071.0,0.0,135071.0,,OPEN,no large adjustments
2016-03,171332.0,0.0,171332.0,0.0,171332.0,,OPEN,no large adjustments
2016-04,253113.0,0.0,253113.0,0.0,253113.0,,OPEN,no large adjustments
2016-05,192752.0,0.0,192752.0,0.0,192752.0,,OPEN,no large adjustments
2016-06,219233.0,0.0,219233.0,0.0,219233.0,,OPEN,no large adjustments
2016-07,213614.0,0.0,213614.0,0.0,213614.0,,OPEN,no large adjustments
2016-08,99643.0,0.0,99643.0,0.0,99643.0,,OPEN,no large adjustments
2016-09,186096.0,0.0,186096.0,0.0,186096.0,,OPEN,no large adjustments
2016-10,165536.0,0.0,165536.0,0.0,165536.0,,OPEN,no large adjustments
2016-11,221940.0,0.0,221940.0,0.0,221940.0,,OPEN,no large adjustments
2016-12,459933.0,0.0,459933.0,0.0,459933.0,,OPEN,no large adjustments
2017-01,92684.0,0.0,92684.0,0.0,92684.0,,OPEN,no large adjustments
2017-02,164061.0,0.0,164061.0,0.0,164061.0,,OPEN,no large adjustments
2017-03,240865.0,0.0,240865.0,0.0,240865.0,,OPEN,no large adjustments
2017-04,214753.0,0.0,214753.0,0.0,214753.0,,OPEN,no large adjustments
2017-05,170217.0,0.0,170217.0,0.0,170217.0,,OPEN,no large adjustments
2017-06,262959.0,0.0,262959.0,0.0,262959.0,,OPEN,no large adjustments
2017-07,360895.0,0.0,360895.0,0.0,360895.0,,OPEN,no large adjustments
2017-08,88899.0,0.0,88899.0,0.0,88899.0,,OPEN,no large adjustments
2017-09,305533.0,0.0,305533.0,0.0,305533.0,,OPEN,no large adjustments
2017-10,186518.0,0.0,186518.0,0.0,186518.0,,OPEN,no large adjustments
2017-11,259391.0,0.0,259391.0,0.0,259391.0,,OPEN,no large adjustments
2017-12,348564.0,0.0,348564.0,0.0,348564.0,,OPEN,no large adjustments
2018-01,110161.0,0.0,110161.0,0.0,110161.0,,OPEN,no large adjustments
2018-02,180559.0,0.0,180559.0,0.0,180559.0,,OPEN,no large adjustments
2018-03,206397.0,0.0,206397.0,0.0,206397.0,,OPEN,no large adjustments
2018-04,139400.0,0.0,139400.0,0.0,139400.0,,OPEN,no large adjustments
2018-05,236243.0,0.0,236243.0,0.0,236243.0,,OPEN,no large adjustments
2018-06,213859.0,0.0,213859.0,0.0,213859.0,,OPEN,no large adjustments
2018-07,181029.0,0.0,181029.0,0.0,181029.0,,OPEN,no large adjustments
2018-08,82831.0,0.0,82831.0,0.0,82831.0,,OPEN,no large adjustments
2018-09,158732.0,0.0,158732.0,0.0,158732.0,,OPEN,no large adjustments
2018-10,183005.0,0.0,183005.0,0.0,183005.0,,OPEN,no large adjustments
2018-11,145158.0,0.0,145158.0,0.0,145158.0,,OPEN,no large adjustments
2018-12,391303.0,0.0,391303.0,0.0,391303.0,,OPEN,no large adjustments
2019-01,52216.0,0.0,52216.0,0.0,52216.0,,OPEN,no large adjustments
2019-02,292223.0,0.0,292223.0,0.0,292223.0,,OPEN,no large adjustments
2019-03,222276.0,0.0,222276.0,0.0,222276.0,,OPEN,no large adjustments
2019-04,206984.0,0.0,206984.0,0.0,206984.0,,OPEN,no large adjustments
2019-05,202255.0,0.0,202255.0,0.0,202255.0,,OPEN,no large adjustments
2019-06,261287.0,0.0,261287.0,0.0,261287.0,,OPEN,no large adjustments
2019-07,171301.0,0.0,171301.0,0.0,171301.0,,OPEN,no large adjustments
2019-08,114854.0,0.0,114854.0,0.0,114854.0,,OPEN,no large adjustments
2019-09,175829.0,0.0,175829.0,0.0,175829.0,,OPEN,no large adjustments
2019-10,251569.0,0.0,251569.0,0.0,251569.0,,OPEN,no large adjustments
2019-11,107586.0,0.0,107586.0,0.0,107586.0,,OPEN,no large adjustments
2019-12,339298.0,0.0,339298.0,0.0,339298.0,,OPEN,no large adjustments
2020-01,201427.0,0.0,201427.0,0.0,201427.0,,OPEN,no large adjustments
2020-02,208429.0,0.0,208429.0,0.0,208429.0,,OPEN,no large adjustments
2020-03,176935.0,0.0,176935.0,0.0,176935.0,,OPEN,no large adjustments
