period_month,opex_raw_rub,opex_clean_rub,opex_memo_rub,opex_hub_vtb_alfa_rub,bank_out_operating_rub,dds_b_bn_rub,dds_b_all_rub,status_raw_vs_bank,status_clean_vs_bank,status_hub_vs_bank,status_dds_bn_vs_bank,status_clean_vs_dds,status_overall,best_pair,delta_clean_vs_bank,delta_dds_vs_bank,note
2024-01,3873354.94,3465662.81,407692.13,2617693.97,3440248.46,3271073.36,18057052.16,SOFT,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,CLEAN_VS_BANK,25414.35,-169175.1,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-02,6281550.27,4845332.76,1436217.51,4218957.81,4902733.91,4676625.5,13913738.79,SOFT,CLOSE,SOFT,CLOSE,CLOSE,CLOSE,CLEAN_VS_BANK,-57401.15,-226108.41,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-03,9816888.93,5046917.61,4769971.32,6998820.67,4005754.61,4341505.77,14677467.92,WIDE_GAP,SOFT,WIDE_GAP,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,1041163.0,335751.16,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-04,9118708.2,6229146.96,2889561.24,6343250.46,7039435.76,7206656.23,16914388.01,SOFT,SOFT,SOFT,CLOSE,SOFT,CLOSE,DDS_BN_VS_BANK,-810288.8,167220.47,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-05,11107859.15,4168858.93,6939000.22,9115583.6,6348360.41,5756302.85,14464676.46,WIDE_GAP,WIDE_GAP,WIDE_GAP,SOFT,WIDE_GAP,SOFT,DDS_BN_VS_BANK,-2179501.48,-592057.56,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-06,4567974.24,3911926.67,656047.57,2631289.35,3823406.22,3359481.3,13062220.74,SOFT,CLOSE,WIDE_GAP,SOFT,SOFT,CLOSE,CLEAN_VS_BANK,88520.45,-463924.92,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-07,6692952.09,3303347.97,3389604.12,4527349.21,5322675.08,5450649.53,13774328.03,SOFT,WIDE_GAP,SOFT,CLOSE,WIDE_GAP,CLOSE,DDS_BN_VS_BANK,-2019327.11,127974.45,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-08,6938631.65,4056802.75,2881828.9,5620472.21,4067154.71,3924355.47,9597345.56,WIDE_GAP,CLOSE,WIDE_GAP,CLOSE,CLOSE,CLOSE,CLEAN_VS_BANK,-10351.96,-142799.24,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-09,5652738.28,3441719.08,2211019.2,4526080.93,3402394.14,4160309.64,11663833.06,WIDE_GAP,CLOSE,SOFT,SOFT,SOFT,CLOSE,CLEAN_VS_BANK,39324.94,757915.5,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-10,11248202.33,4519859.87,6728342.46,8990228.44,7244682.02,7158856.17,16658303.55,WIDE_GAP,WIDE_GAP,SOFT,CLOSE,WIDE_GAP,CLOSE,DDS_BN_VS_BANK,-2724822.15,-85825.85,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-11,11513137.27,6885194.9,4627942.37,9258016.55,6472763.21,7054756.6,16548169.25,WIDE_GAP,CLOSE,WIDE_GAP,SOFT,CLOSE,CLOSE,CLEAN_VS_BANK,412431.69,581993.39,clean=operating buckets excl tax/materials/internal/counterparty/fx
2024-12,14939043.1,9073402.26,5865640.84,11022715.59,9838539.69,8872517.5,18980789.18,WIDE_GAP,CLOSE,SOFT,SOFT,CLOSE,CLOSE,CLEAN_VS_BANK,-765137.43,-966022.19,clean=operating buckets excl tax/materials/internal/counterparty/fx
2025-01,6499316.57,4923768.26,1575548.31,4768460.92,4839596.88,4824145.99,6562823.88,WIDE_GAP,CLOSE,CLOSE,CLOSE,CLOSE,CLOSE,DDS_BN_VS_BANK,84171.38,-15450.89,clean=operating buckets excl tax/materials/internal/counterparty/fx
