period_month,expense_payroll_rub,dds_oplata_truda_rub,dds_payroll_bn_rub,dds_payroll_all_rub,dds_payroll_tax_rub,bank_zp_like_rub,lines_cash_card_rub,lines_n,dist_cash_card_rub,status_expense_vs_dds,status_dds_vs_bank,status_expense_vs_bank,status_lines_vs_dds,status_lines_vs_bank,status_overall,best_pair,delta_expense_vs_dds,delta_dds_vs_bank,note
2024-01,661990.54,661990.54,661990.54,9473220.54,0.0,664384.37,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-2393.83,primary=expense/DDS BN/bank; lines optional coverage
2024-02,1449482.21,1449482.0,1449482.0,6768132.0,0.0,1455207.66,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.21,-5725.66,primary=expense/DDS BN/bank; lines optional coverage
2024-03,1624996.23,1624996.0,1624996.0,7301896.0,0.0,1635845.1,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.23,-10849.1,primary=expense/DDS BN/bank; lines optional coverage
2024-04,2642852.58,2642853.0,2642853.0,7977453.0,0.0,2650494.91,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,-0.42,-7641.91,primary=expense/DDS BN/bank; lines optional coverage
2024-05,750629.7,750630.0,750630.0,6517980.0,0.0,755761.71,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,-0.3,-5131.71,primary=expense/DDS BN/bank; lines optional coverage
2024-06,1719167.69,1719167.69,1719167.69,7870267.69,0.0,1723969.9,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-4802.21,primary=expense/DDS BN/bank; lines optional coverage
2024-07,1703666.7,1703666.7,1703666.7,7609416.7,0.0,1708677.49,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-5010.79,primary=expense/DDS BN/bank; lines optional coverage
2024-08,1672580.86,1672580.86,1672580.86,5917080.86,0.0,1812475.86,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,-0.0,-139895.0,primary=expense/DDS BN/bank; lines optional coverage
2024-09,1011724.46,1011724.46,1011724.46,6709224.46,0.0,1014679.99,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-2955.53,primary=expense/DDS BN/bank; lines optional coverage
2024-10,1519753.48,1519753.48,1519753.48,8492578.48,0.0,1524257.23,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-4503.75,primary=expense/DDS BN/bank; lines optional coverage
2024-11,1946052.51,1946052.51,1946052.51,8204252.51,0.0,1952734.37,0.0,0,0.0,CLOSE,CLOSE,CLOSE,NO_LINES,NO_LINES,CLOSE,EXPENSE_VS_DDS,0.0,-6681.86,primary=expense/DDS BN/bank; lines optional coverage
