channel,period_month,sales_revenue_rub,agent_allocated_rub,net_rate_used,expected_net_cash_rub,gap_vs_model_rub,gap_vs_model_pct,status_vs_model,status_vs_gross,implied_net_rate,note
TSUM,2023-12,0.0,3871189.34,0.4668,0.0,3871189.34,,OPEN,OPEN,,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-01,4773903.0,2373399.0,0.4668,2228384.44,145014.56,6.5,CLOSE,OPEN,0.4972,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-02,3159867.53,1604996.0,0.4668,1474977.52,130018.48,8.8,SOFT,OPEN,0.5079,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-03,2368171.81,1025298.74,0.4668,1105426.15,-80127.41,-7.2,CLOSE,OPEN,0.4329,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-04,4922025.18,2088009.28,0.4668,2297525.59,-209516.31,-9.1,SOFT,OPEN,0.4242,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-05,5842029.52,2594763.0,0.4668,2726969.46,-132206.46,-4.8,CLOSE,OPEN,0.4442,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-06,8225662.05,3812314.0,0.4668,3839612.43,-27298.43,-0.7,CLOSE,OPEN,0.4635,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-07,4562870.54,2390486.0,0.4668,2129877.73,260608.27,12.2,SOFT,OPEN,0.5239,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-08,2264524.36,998040.0,0.4668,1057045.11,-59005.11,-5.6,CLOSE,OPEN,0.4407,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-09,5063730.48,2324530.0,0.4668,2363671.44,-39141.44,-1.7,CLOSE,OPEN,0.4591,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-10,3467827.43,1591635.0,0.4668,1618728.47,-27093.47,-1.7,CLOSE,OPEN,0.459,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-11,2596099.57,1199003.0,0.4668,1211819.32,-12816.32,-1.1,CLOSE,OPEN,0.4618,agent cash allocated by purpose period; model=median net-rate
TSUM,2024-12,4372973.86,2337280.0,0.4668,2041236.89,296043.11,14.5,SOFT,OPEN,0.5345,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-01,3048185.24,1434009.25,0.4668,1422845.95,11163.3,0.8,CLOSE,OPEN,0.4704,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-02,2889937.38,1296578.1,0.4668,1348978.29,-52400.19,-3.9,CLOSE,OPEN,0.4487,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-03,1962786.85,923825.2,0.4668,916198.69,7626.51,0.8,CLOSE,OPEN,0.4707,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-04,4671545.62,2111945.15,0.4668,2180605.59,-68660.44,-3.1,CLOSE,OPEN,0.4521,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-05,2306379.36,1083394.0,0.4668,1076582.38,6811.62,0.6,CLOSE,OPEN,0.4697,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-06,5835153.12,2922454.7,0.4668,2723759.66,198695.04,7.3,CLOSE,OPEN,0.5008,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-07,5851754.15,2679923.0,0.4668,2731508.76,-51585.76,-1.9,CLOSE,OPEN,0.458,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-08,3589891.43,1729668.85,0.4668,1675706.06,53962.79,3.2,CLOSE,OPEN,0.4818,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-09,5041066.72,2353092.35,0.4668,2353092.35,0.0,0.0,CLOSE,OPEN,0.4668,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-10,2377033.0,1064778.25,0.4668,1109562.42,-44784.17,-4.0,CLOSE,OPEN,0.4479,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-11,4301450.01,1951329.95,0.4668,2007850.65,-56520.7,-2.8,CLOSE,OPEN,0.4536,agent cash allocated by purpose period; model=median net-rate
TSUM,2025-12,6804909.2,3278301.0,0.4668,3176426.87,101874.13,3.2,CLOSE,OPEN,0.4818,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-01,2043925.49,984289.0,0.4668,954072.96,30216.04,3.2,CLOSE,OPEN,0.4816,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-02,4032236.59,1843283.0,0.4668,1882185.97,-38902.97,-2.1,CLOSE,OPEN,0.4571,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-03,4083280.88,1912813.0,0.4668,1906012.66,6800.34,0.4,CLOSE,OPEN,0.4685,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-04,3064886.59,1454851.0,0.4668,1430641.88,24209.12,1.7,CLOSE,OPEN,0.4747,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-05,5525456.6,0.0,0.4668,2579198.09,-2579198.09,-100.0,OPEN,OPEN,0.0,agent cash allocated by purpose period; model=median net-rate
TSUM,2026-06,3799712.0,0.0,0.4668,1773647.07,-1773647.07,-100.0,OPEN,OPEN,0.0,agent cash allocated by purpose period; model=median net-rate
