period_month,verdict,gate_controls_n,pass_n,fail_n,soft_pass_n,fail_controls,soft_controls,missing_controls,owner_action_ids,owner_action_hints,policy,so_t,note,fail_owner_domains,fail_owner_fios,ops_status
2024-01,BLOCKED,6,4,2,1,BANK_DDS_CORE|TAX_CASH_BANK,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,BANK_DDS_CORE=WIDE_GAP; TAX_CASH_BANK=GAP,BANK|TAX,BANK:Сливяк Галина | TAX:Сливяк Галина,OWNER_ASSIGNED_GAP
2024-02,RELEASED,6,6,0,2,,TSUM_NET_MODEL|BANK_DDS_CORE,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-03,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-04,RELEASED,6,6,0,2,,TSUM_NET_MODEL|BANK_DDS_CORE,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-05,RELEASED,6,6,0,2,,BANK_DDS_CORE|OPEX_MULTI,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-06,BLOCKED,6,5,1,1,BANK_DDS_CORE,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,BANK_DDS_CORE=WIDE_GAP,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2024-07,RELEASED,6,6,0,2,,IM_ACQ_COMBO|TSUM_NET_MODEL,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-08,BLOCKED,6,5,1,1,IM_ACQ_COMBO,BANK_DDS_CORE,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2024-09,RELEASED,6,6,0,1,,BANK_DDS_CORE,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-10,RELEASED,6,6,0,1,,TAX_CASH_BANK,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-11,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2024-12,BLOCKED,6,5,1,2,BANK_DDS_CORE,IM_ACQ_COMBO|TSUM_NET_MODEL,,,,PROVISIONAL_H18,N,BANK_DDS_CORE=WIDE_GAP,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2025-01,BLOCKED,6,5,1,1,IM_ACQ_COMBO,BANK_DDS_CORE,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2025-02,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-03,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-04,RELEASED,6,6,0,2,,IM_ACQ_COMBO|BANK_DDS_CORE,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-05,RELEASED,6,6,0,0,,,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-06,RELEASED,6,6,0,2,,IM_ACQ_COMBO|BANK_DDS_CORE,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-07,RELEASED,6,6,0,2,,BANK_DDS_CORE|PAYROLL_MULTI,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-08,BLOCKED,6,5,1,1,IM_ACQ_COMBO,TAX_CASH_BANK,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2025-09,RELEASED,6,6,0,0,,,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-10,BLOCKED,6,5,1,0,IM_ACQ_COMBO,,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2025-11,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2025-12,RELEASED,6,6,0,1,,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2026-01,RELEASED,6,6,0,0,,,,,,PROVISIONAL_H18,N,all gate controls PASS,,,RELEASED
2026-02,BLOCKED,6,5,1,1,BANK_DDS_CORE,IM_ACQ_COMBO,,,,PROVISIONAL_H18,N,BANK_DDS_CORE=WIDE_GAP,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2026-03,BLOCKED,6,5,1,0,IM_ACQ_COMBO,,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2026-04,BLOCKED,6,5,1,0,IM_ACQ_COMBO,,,A-DATA-IM-01,A-DATA-IM-01:Эквайринг-реестры на IM OPEN-месяцы,PROVISIONAL_H18,N,IM_ACQ_COMBO=OPEN,BANK,BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
2026-05,BLOCKED,6,5,1,0,TSUM_NET_MODEL,,,A-TSUM-RATE-01,A-TSUM-RATE-01:Агентский % ЦУМ из договора,PROVISIONAL_H18,N,TSUM_NET_MODEL=OPEN,B2B,B2B:Коптева Марина,OWNER_ASSIGNED_GAP
2026-06,BLOCKED,6,4,2,2,TSUM_NET_MODEL|BANK_DDS_CORE,IM_ACQ_COMBO|TAX_CASH_BANK,,A-TSUM-RATE-01,A-TSUM-RATE-01:Агентский % ЦУМ из договора,PROVISIONAL_H18,N,TSUM_NET_MODEL=OPEN; BANK_DDS_CORE=BANK_ONLY,B2B|BANK,B2B:Коптева Марина | BANK:Сливяк Галина,OWNER_ASSIGNED_GAP
