channel,period_month,lines,revenue_rub,cogs_rub
IM,2024-08,3,-135297.0,-18797.0
IM,2024-09,1,-80814.0,-15426.0
IM,2024-11,1,-46170.0,-6770.0
IM,2025-05,2,-116220.0,-32244.68
IM,2025-10,1,-149600.0,-6505.0
IM,2025-11,2,-86760.0,-27299.0
TSUM,2024-01,1,-150000.0,-114449.88
TSUM,2024-04,3,-256740.0,-171047.48
TSUM,2024-06,1,-144668.36,-81833.07
TSUM,2024-07,2,-305400.0,-205963.71
TSUM,2025-01,2,-178480.0,-120138.96
TSUM,2025-07,1,-44271.05,-28671.75
TSUM,2025-10,1,-101850.0,-63572.5
TSUM,2026-01,1,-101850.0,-64641.66
TSUM,2026-02,1,-49350.0,-33706.02
