canonical_sku,warehouse,channel_map,qty_end,channel_sales_qty,channel_sales_rev_rub,class,name,do_not_auto_accept,so_t
0-1098B,Склад ИМ,IM,0.0,2.0,36570.0,WH_CH_SALES_NO_STOCK,"Блуза женская, черная, из крепа, с вышивкой YC",YES,N
0-1178,Склад ИМ,IM,0.0,13.0,569455.0,WH_CH_SALES_NO_STOCK,"Пальто-халат женское, черное, из бархата, длинное, с поясом",YES,N
0-1187D,Остатки ЦУМ,TSUM,0.0,1.0,126000.0,WH_CH_SALES_NO_STOCK,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",YES,N
0-1187F,Склад ИМ,IM,0.0,1.0,89865.0,WH_CH_SALES_NO_STOCK,"Рубашка женская, черная, из бархата, с отделкой белым кантом",YES,N
0-1237A,Склад ИМ,IM,0.0,1.0,37710.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",YES,N
0-1237A,Склад оптовых продаж,B2B,0.0,1.0,19128.0,WH_CH_SALES_NO_STOCK,"Платье женское, черное, из бархата, декорировано белой кружевной тесьмой",YES,N
0-1241A,Склад ИМ,IM,0.0,1.0,15000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, белая, из фатина, расшита крупными пайетками",YES,N
0-1242,Склад ИМ,IM,0.0,1.0,20000.0,WH_CH_SALES_NO_STOCK,"Халат женский, черный, из шелка, с белым кантом и вышивкой на кармане",YES,N
0-1303,Склад ИМ,IM,0.0,1.0,35000.0,WH_CH_SALES_NO_STOCK,"Юбка женская, коричневая, из бархата, декорирована вышивкой и тесьмой",YES,N
0-1310,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Платье женское, зеленое, из фатина, с аппликационной вышивкой ""Птицы""",YES,N
0-1355A,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Юбка женская, розовая, из шелка, декорирована пайетками",YES,N
0-136,Склад ИМ,IM,1.0,0.0,0.0,WH_STOCK_NO_CH_SALES,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",YES,N
0-1365,Склад ИМ,IM,0.0,2.0,25900.0,WH_CH_SALES_NO_STOCK,"Свитер женский, черный, из хлопка, с провязкой ""MIMOSA O'CLOCK""",YES,N
0-1379,Склад оптовых продаж,B2B,0.0,1.0,18739.0,WH_CH_SALES_NO_STOCK,"Юбка женская, черная, из бархата, декорирована вставкой из кружева и помпонами",YES,N
0-1414,Склад ИМ,IM,0.0,2.0,69010.0,WH_CH_SALES_NO_STOCK,"Пальто-халат женское, черное, из бархата, укороченное, с лампасом по рукаву",YES,N
0-1416,Склад ИМ,IM,6.0,11.0,238055.0,WH_STOCK_AND_CH_SALES,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",YES,N
0-1416,Склад оптовых продаж,B2B,5.0,13.0,158389.0,WH_STOCK_AND_CH_SALES,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",YES,N
