period_month,side,line_id,amount_rub,legal_entity_id,article_or_purpose,matches_delta,source,so_t
2024-01,TAX_CASH,TC-8e53792d66de9db8,57465.0,LE-OOO-DEKOR,"Единый налоговый платеж, НСипЗ",N,tax_cash_lines,N
2024-01,TAX_CASH,TC-84775a41ed58ecb3,36000.0,LE-IP-YANINA,"Единый налоговый платеж, НСипЗ",Y,tax_cash_lines,N
2024-01,BANK_TAX_LIKE,c47a655f83d0ab10,57465.0,,Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ за январь),N,bank_tax_like,N
2024-01,SALON_UFK_CANDIDATE,56f8574ddc801765,36000.0,LE-OOO-SALON-YANINA,"БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области, г.Тула",Y,sber_salon_tax_payments|bank_payments,N
2024-10,TAX_CASH,TC-69823c66da04a244,420267.23,LE-OOO-DEKOR,налоги,N,tax_cash_lines,N
2024-10,TAX_CASH,TC-07677d2072cf3872,147180.0,LE-IP-YANINA,налоги,Y,tax_cash_lines,N
2024-10,TAX_CASH,TC-3b9296c018c78106,653211.18,LE-IP-YANINA,налоги,N,tax_cash_lines,N
2024-10,TAX_CASH,TC-9e45ded82cdbb68f,1249966.0,LE-IP-YANINA,налоги,N,tax_cash_lines,N
2024-10,BANK_TAX_LIKE,6729b3559da8c4b8,900000.0,,Казначейство России (ФНС России) | единый налоговый платеж (НДФЛ за июль и УСН за 2кв). НДС не облагается,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,30eacee435cf853e,142460.0,,Казначейство России (ФНС России) | единый налоговый платеж (доплата УСН авансов за 1 кв). НДС не облагается,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,88e61422cbfcf17c,207506.0,,Казначейство России (ФНС России) | единый налоговый платеж (УСН за 2кв). НДС не облагается,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,3b2721fca037a6d2,2819.4,,УФК по г. Москве (Отделение Фонда пенсио | Оплата взносов НСиПЗ за сентябрь 2024 г. НДС не облагается,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,a78662a642fd5b7a,360000.0,,"Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ окт, страх. взносы сент, тр.налог, УСН)",N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,80e01f7b4cb522ce,54662.83,,Казначейство России (ФНС России) | Единый налоговый платеж (доплата УСН 3 кв 2024),N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,d99538c86648fa5a,2785.0,,Казначейство России (ФНС России) | Единый налоговый платеж,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,7c1ea5e173b2b710,350.0,,Казначейство России (ФНС России) | Единый налоговый платеж (НДФЛ за сент) НДС не облагается,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,c4c1ec054911cf91,13.46,,УФК по г. Москве (Отделение Фонда пенсио | Страховые взносы в СФР на обязательное социальное страхование от несчастных случ,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,0de818ecb9ce24c0,2847.72,,УФК по г. Москве (Отделение Фонда пенсио | Страховые взносы в СФР на обязательное социальное страхование от несчастных случ,N,bank_tax_like,N
2024-10,BANK_TAX_LIKE,1abb2e7055849f1c,650000.0,,"Казначейство России (ФНС России) | Единый налоговый платеж (УСН, НДФЛ, страх взн) НДС не облагается",N,bank_tax_like,N
