sales_month,payment_month,payment_date,lag_months,agent_cash_rub,sales_revenue_rub,implied_net_rate,contract_ref,counterparty,bank_payment_id
2023-12,2024-01,2024-01-30,1,3871189.34,,,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,7ac797f221726356
2024-01,2024-02,2024-02-28,1,2373399.0,4773903.0,0.4972,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,09400be35b47f529
2024-02,2024-03,2024-03-29,1,1604996.0,3159867.53,0.5079,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,a94b71c871e309ef
2024-03,2024-04,2024-04-26,1,1025298.74,2368171.81,0.4329,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,8115233bfd99a367
2024-04,2024-05,2024-05-28,1,2088009.28,4922025.18,0.4242,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,fe51607e7c6469d9
2024-05,2024-06,2024-06-27,1,2594763.0,5842029.52,0.4442,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,dac836389713e27d
2024-06,2024-07,2024-07-26,1,3812314.0,8225662.05,0.4635,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,7650327f5f22b00e
2024-07,2024-08,2024-08-29,1,2390486.0,4562870.54,0.5239,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,9574723aa58f8d58
2024-08,2024-09,2024-09-27,1,998040.0,2264524.36,0.4407,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,7ac32640d71a0894
2024-09,2024-10,2024-10-29,1,2324530.0,5063730.48,0.4591,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,3dc0154e33539e20
2024-10,2024-11,2024-11-27,1,1591635.0,3467827.43,0.459,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,f68ea2a242962c39
2024-11,2024-12,2024-12-26,1,1199003.0,2596099.57,0.4618,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,440b5768df2a0e39
2024-12,2025-01,2025-01-29,1,2337280.0,4372973.86,0.5345,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,c32343f6ec0004b6
2025-01,2025-02,2025-02-27,1,1434009.25,3048185.24,0.4704,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,83ecb040bc346f92
2025-02,2025-03,2025-03-27,1,1296578.1,2889937.38,0.4487,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,ed7a2673aea4ae31
2025-03,2025-04,2025-04-25,1,923825.2,1962786.85,0.4707,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,c28f517a2b022442
2025-04,2025-05,2025-05-29,1,2111945.15,4671545.62,0.4521,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,1611a45df8f88138
2025-05,2025-06,2025-06-26,1,1083394.0,2306379.36,0.4697,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,323016d99866eeec
2025-06,2025-07,2025-07-25,1,2922454.7,5835153.12,0.5008,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,c03559c629fc086e
2025-07,2025-08,2025-08-27,1,2679923.0,5851754.15,0.458,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,ca7ab1519bb8fc04
2025-08,2025-09,2025-09-26,1,1729668.85,3589891.43,0.4818,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,bb278b4f6395213f
2025-09,2025-10,2025-10-28,1,2353092.35,5041066.72,0.4668,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,f1f3d7dc6ed95c14
2025-10,2025-11,2025-11-26,1,1064778.25,2377033.0,0.4479,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,65e03bedb7574d4f
2025-11,2025-12,2025-12-25,1,1951329.95,4301450.01,0.4536,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,0add0c94f4a110b6
2025-12,2026-01,2026-01-29,1,3278301.0,6804909.2,0.4818,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,1340fdd52b50e1f3
2026-01,2026-02,2026-02-26,1,984289.0,2043925.49,0.4816,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,18be36a94f7b45dc
2026-02,2026-03,2026-03-27,1,1843283.0,4032236.59,0.4571,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,37fbd49bc458b013
2026-03,2026-04,2026-04-28,1,1912813.0,4083280.88,0.4685,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,cd0f04bc0543da92
2026-04,2026-05,2026-05-28,1,1454851.0,3064886.59,0.4747,ДП00288281 от 23.12.2022,ООО МЕРКУРИ МОДА,4e72f523eb9502d0
