channel,period_month,revenue_rub,cogs_reported_rub,reported_margin_rub,reported_margin_pct,product_cogs_rub,commission_proxy_rub,product_margin_rub,product_margin_pct,agency_comm_at_net_rate_rub,split_lines,reported_lines,policy
TSUM,2024-01,4773903.0,2988897.73,1785005.27,37.4,593560.92,2395336.81,4180342.08,87.6,2545445.07,27,27,H28_DUAL_VIEW
TSUM,2024-02,3159867.53,2007553.37,1152314.16,36.5,365023.44,1642529.93,2794844.09,88.4,1684841.37,18,18,H28_DUAL_VIEW
TSUM,2024-03,2368171.81,1570450.79,797721.02,33.7,233168.82,1337281.97,2135002.99,90.2,1262709.21,13,13,H28_DUAL_VIEW
TSUM,2024-04,4922025.18,3209810.36,1712214.82,34.8,619813.31,2469724.05,4125111.87,86.9,2624423.82,32,33,H28_DUAL_VIEW
TSUM,2024-05,5842029.52,3882399.3,1959630.22,33.5,668480.2,3213919.1,5173549.32,88.6,3114970.15,29,29,H28_DUAL_VIEW
TSUM,2024-06,8225662.05,5275201.46,2950460.59,35.9,1001090.54,4274110.92,7224571.51,87.8,4385923.03,39,39,H28_DUAL_VIEW
TSUM,2024-07,4562870.54,2698065.37,1864805.17,40.9,590688.0,2107377.37,3972182.54,87.1,2432922.59,32,32,H28_DUAL_VIEW
TSUM,2024-08,2264524.36,1505516.02,759008.34,33.5,261923.0,1243593.02,2002601.36,88.4,1207444.39,15,15,H28_DUAL_VIEW
TSUM,2024-09,5063730.48,3443729.59,1620000.89,32.0,674443.76,2530858.28,4017702.17,85.6,2699981.08,24,25,H28_DUAL_VIEW
TSUM,2024-10,3467827.43,2271464.04,1196363.39,34.5,468786.77,1802677.27,2999040.66,86.5,1849045.6,19,19,H28_DUAL_VIEW
TSUM,2024-11,2596099.57,1614550.75,981548.82,37.8,357848.51,1256702.24,2238251.06,86.2,1384240.31,18,18,H28_DUAL_VIEW
TSUM,2024-12,4372973.86,2610997.5,1761976.36,40.3,579159.68,2031837.82,3793814.18,86.8,2331669.66,26,26,H28_DUAL_VIEW
TSUM,2025-01,3048185.24,1958738.03,1089447.21,35.7,379418.43,1579319.6,2668766.81,87.6,1625292.39,25,25,H28_DUAL_VIEW
TSUM,2025-02,2889937.38,1885400.35,1004537.03,34.8,250202.34,1390614.0,2253319.03,90.0,1540914.62,13,14,H28_DUAL_VIEW
TSUM,2025-03,1962786.85,1244408.71,718378.14,36.6,204701.26,1039707.45,1758085.59,89.6,1046557.96,13,13,H28_DUAL_VIEW
TSUM,2025-04,4671545.62,3060168.77,1611376.85,34.5,550871.61,2509297.16,4120674.01,88.2,2490868.11,23,23,H28_DUAL_VIEW
TSUM,2025-05,2306379.36,1382283.0,924096.36,40.1,255103.1,1127179.9,2051276.26,88.9,1229761.47,17,17,H28_DUAL_VIEW
TSUM,2025-06,5835153.12,3208822.88,2626330.24,45.0,639782.47,2569040.41,5195370.65,89.0,3111303.63,41,41,H28_DUAL_VIEW
TSUM,2025-07,5851754.15,3419312.86,2432441.29,41.6,684836.78,2734476.08,5166917.37,88.3,3120155.31,36,36,H28_DUAL_VIEW
TSUM,2025-08,3589891.43,2160711.95,1429179.48,39.8,499237.56,1661474.39,3090653.87,86.1,1914130.11,26,26,H28_DUAL_VIEW
TSUM,2025-09,5041066.72,3131530.43,1909536.29,37.9,585853.74,2545676.69,4455212.98,88.4,2687896.77,27,27,H28_DUAL_VIEW
TSUM,2025-10,2377033.0,1526113.39,850919.61,35.8,284152.92,1241960.47,2092880.08,88.0,1267433.99,18,18,H28_DUAL_VIEW
TSUM,2025-11,4301450.01,2455436.39,1846013.62,42.9,573517.74,1881918.65,3727932.27,86.7,2293533.14,26,26,H28_DUAL_VIEW
TSUM,2025-12,6804909.2,4042591.4,2762317.8,40.6,833496.76,3209094.64,5971412.44,87.8,3628377.59,28,28,H28_DUAL_VIEW
TSUM,2026-01,2043925.49,1254316.48,789609.01,38.6,239380.48,1014936.0,1804545.01,88.3,1089821.08,14,14,H28_DUAL_VIEW
TSUM,2026-02,4032236.59,2486238.4,1545998.19,38.3,433137.29,2053101.11,3599099.3,89.3,2149988.57,33,33,H28_DUAL_VIEW
TSUM,2026-03,4083280.88,2475101.26,1608179.62,39.4,465942.78,2009158.48,3617338.1,88.6,2177205.37,27,27,H28_DUAL_VIEW
TSUM,2026-04,3064886.59,1882342.72,1182543.87,38.6,330258.0,1552084.72,2734628.59,89.2,1634197.5,22,22,H28_DUAL_VIEW
TSUM,2026-05,5525456.6,3571231.12,1954225.48,35.4,612571.83,2958659.29,4912884.77,88.9,2946173.46,27,27,H28_DUAL_VIEW
TSUM,2026-06,3799712.0,2079149.3,1720562.7,45.3,431386.56,1570594.74,3149325.44,88.0,2026006.42,32,33,H28_DUAL_VIEW
