source_file_id_master,file_name_master,domain,period,entity_scope,lifecycle_status,risk,match_type,file_name_local,sha256_local,source_file_id_local,category_local
FILE-001,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,2024,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,f5301bbae5d8fc62b366f54059ba1d9cc80d4b65b46c53b5f68ea6fc1c04c3c2,SRC-F5301BBAE5D8,tax_6ndfl
FILE-003,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,2025,ООО «ДЕКОР»,Active source candidate,Низкий,EXACT,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,99a04fde09f387e08541663b6de77327f46402c47eae501c38f632efd1cbc49f,SRC-99A04FDE09F3,tax_6ndfl
FILE-002,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,4f39b4966345ad10efdd5274f98a171cb71a1c80e0e54346175fbaaba79a2528,SRC-4F39B4966345,tax_6ndfl
FILE-004,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Средний,EXACT,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,a8fcdd6b6090a6883a7a2722815a3cf386228cf010d6b485bf1630f528928fe1,SRC-A8FCDD6B6090,tax_6ndfl
FILE-005,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Archive — точный дубль,Средний,EXACT,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,a8fcdd6b6090a6883a7a2722815a3cf386228cf010d6b485bf1630f528928fe1,SRC-A8FCDD6B6090,tax_6ndfl
FILE-008,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,Active source candidate,Низкий,EXACT,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,231bec51ed7e4840300f69de16081d4e4697c38bc63e40b1aa1a7fa12b83f1cc,SRC-231BEC51ED7E,bank
FILE-013,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,Финансы и денежные потоки,01.01.2024–31.12.2024,Не указано в названии,Active source candidate,Низкий,EXACT,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,3bb52ee0aff1f384b776bedf4aecf5890d2c69c9b6ee62367a5149b609c72ce3,SRC-3BB52EE0AFF1,bank
FILE-014,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,Финансы и денежные потоки,01.01.2025–31.12.2025,Не указано в названии,Active source candidate,Низкий,EXACT,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,e56d76d98c0100d2f488a5e9cb129f7691d12f0ee7220897395539e7a866c8ea,SRC-E56D76D98C01,bank
FILE-015,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,Финансы и денежные потоки,01.01.2026–23.06.2026,Не указано в названии,Active source candidate,Низкий,EXACT,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,f7e9f79d4112a6de86882297d503d012943fe0e2f282e4436eb04a093cd0e4b5,SRC-F7E9F79D4112,bank
FILE-009,VTB_BankStatement_40802810404000000049_01.01.2024-22.06.2026_417016.pdf,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,Active source candidate,Низкий,EXACT,VTB_BankStatement_40802810404000000049_01.01.2024-22.06.2026_417016.pdf,cf1a608847cbabf78b2fddfc42d1e4b476333b8006f13d0f23f2078fbb5c9655,SRC-CF1A608847CB,bank
FILE-010,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Финансы и денежные потоки,01.01.2024–22.06.2026,Не указано в названии,Active source candidate,Низкий,EXACT,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,4e7a03bae00824c1de5183782258450170b3913b609912654c9c41d2cd4a7450,SRC-4E7A03BAE008,bank
FILE-017,ДДС 2024.xlsx,Финансы и денежные потоки,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,ДДС 2024.xlsx,cc92902423d37a432056be76995f96aac6593c803d63f9a250797c68f8fe4dc8,SRC-CC92902423D3,cashflow_dds
FILE-018,ДДС 2025.xlsx,Финансы и денежные потоки,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ДДС 2025.xlsx,a4ff290aba3fc9e7828c43781ef3383b7a2308855cc54c5d2fe87086e6ea1f98,SRC-A4FF290ABA3F,cashflow_dds
FILE-019,ДДС 2026.xlxs.xlsx,Финансы и денежные потоки,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,ДДС 2026.xlxs.xlsx,ebe873a7ce956dc8fcffdb33a52fa89347a98e1f7ac7294457e409461390a2d3,SRC-EBE873A7CE95,cashflow_dds
FILE-070,результат кол-я 43 (янв 2024).xlsx,Коллекции и продукт,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,результат кол-я 43 (янв 2024).xlsx,e677b0690075db9bc51a202b337963d0f988f700e9f50ef0651a393e74f5f050,SRC-E677B0690075,collection_result
FILE-071,результат кол-я 44 (июнь 2024).xlsx,Коллекции и продукт,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,результат кол-я 44 (июнь 2024).xlsx,7e1258ee5d2dc92632370a1961179104474a9fc319322e6d5a56f9ee9b95d345,SRC-7E1258EE5D2D,collection_result
FILE-072,результат кол-я 45 (янв 2025).xlsx,Коллекции и продукт,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,результат кол-я 45 (янв 2025).xlsx,a05546f621ab5af9fb57e96a698d6ab7660a104c5489538f22157a4cef812e46,SRC-A05546F621AB,collection_result
FILE-073,результат кол-я 46 (июль 2025).xlsx,Коллекции и продукт,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,результат кол-я 46 (июль 2025).xlsx,975a4d4c055dfdf68d5c34b274c88a023c1cc6fdcbb3201c5e3d1e8a1a9e6753,SRC-975A4D4C055D,collection_result
FILE-074,результат кол-я 47 (янв 2026).xlsx,Коллекции и продукт,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Controlled working — устранить внешние ссылки,Средний,EXACT,результат кол-я 47 (янв 2026).xlsx,d215da62070cbc794e73360ed6fc47d1b1ae64a2fe416cc261cdf6eaa9a9f631,SRC-D215DA62070C,collection_result
FILE-068,результат капсула 2024.xlsx,Коллекции и продукт,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат капсула 2024.xlsx,0db64a857c29ffe11f7098f246ab3204ed07a8842fc401f7abe4c22232e2e629,SRC-0DB64A857C29,collection_result
FILE-069,результат капсула 2025.xlsx,Коллекции и продукт,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат капсула 2025.xlsx,2e85f06f7fa424c61cb0a9a73986d9f0a03841164c71f38023bdb4c5863cdd81,SRC-2E85F06F7FA4,collection_result
FILE-077,результат круиз 22.04.24.xlsx,Коллекции и продукт,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат круиз 22.04.24.xlsx,655d54fe75333d8102a2326ba7b881dc9876838227150fa36de078637a59d637,SRC-655D54FE7533,collection_result
FILE-075,результат круиз 09.04.25.xlsx,Коллекции и продукт,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат круиз 09.04.25.xlsx,25bcd1e70d4cffc8a59e4608daf1b493be408dd4b78fcf1f0e009d12af6a0ffe,SRC-25BCD1E70D4C,collection_result
FILE-076,результат круиз 14.04.26.xlsx,Коллекции и продукт,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат круиз 14.04.26.xlsx,964463aee6013779a0e7991b2d15f994eabce8edcae5c2ccb9f4de97275f1168,SRC-964463AEE601,collection_result
FILE-078,результат НГ 2024.xlsx,Коллекции и продукт,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат НГ 2024.xlsx,a7421e474c22789b11de4e4714f07ff84708a279af575d01eb6dffcdd6c29fe2,SRC-A7421E474C22,collection_result
FILE-079,результат НГ 24.11.25.xlsx,Коллекции и продукт,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,результат НГ 24.11.25.xlsx,ff307568db942231ef7e9639463d49c8bc00e6e017211d344b492377ba50e710,SRC-FF307568DB94,collection_result
FILE-083,себестоимость Мокеева 2025.xlsx,Себестоимость и производство,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,себестоимость Мокеева 2025.xlsx,5ae5aea8b2021895480f3ae743e1eb4a3bb5d1f62cdf41a4ad34c0a5a9647105,SRC-5AE5AEA8B202,cost_person
FILE-084,себестоимость Мокеева 2026.xlsx,Себестоимость и производство,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,себестоимость Мокеева 2026.xlsx,064cdedd5bf73212cd556b4554cda27096f3ad9515753876d10f68a503e9c5c2,SRC-064CDEDD5BF7,cost_person
FILE-060,Расходы 2024.xlsx,Финансы и денежные потоки,2024,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расходы 2024.xlsx,2caa0acfd98b050a349b20d4374e9d2c872d4f8f89ee681f15f69494fabfd43b,SRC-2CAA0ACFD98B,expenses
FILE-061,Расходы 2025.xlsx,Финансы и денежные потоки,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расходы 2025.xlsx,9838a6cf583edc16a36b02ec374bc55fa8b4c032331632f9ad78f178322d017a,SRC-9838A6CF583E,expenses
FILE-062,Расходы 2026.xlsx,Финансы и денежные потоки,2026,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,Расходы 2026.xlsx,ed89ca0f5abf1e2db44255b4cff99d82460c1dfd2978834ea9941a07e84a0a05,SRC-ED89CA0F5ABF,expenses
FILE-006,NDA_ИП_Янина + паспорт.docx,Договоры и проектные документы,Не определён из названия,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,NDA_ИП_Янина + паспорт.docx,c83df869483d0814b2369f0b23c19e9512b933181cd774fd8d6319c5fc594560,SRC-C83DF869483D,contracts
FILE-039,ЗП за январь 2025.xlsx,Персонал и оплата труда,2025,ИП Янина / операционный контур (требует подтверждения по части файлов),Active source candidate,Низкий,EXACT,ЗП за январь 2025.xlsx,9b9fb12c59e9ef47a35d6d95ab8d48ee46a400ed8bad276a4eb353986a6123d7,SRC-9B9FB12C59E9,payroll_monthly
