channel,period_month,sales_revenue_rub,bank_in_lag0_rub,bank_in_best_rub,best_lag,gap_rub,gap_pct,status,status_lag0,bank_in_all_le_lag0_rub,bank_class,note
IM,2024-01,415225.0,527008.05,527008.05,lag0,111783.05,26.9,SOFT,SOFT,2605833.05,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-02,1335145.0,1270753.37,1270753.37,lag0,-64391.63,-4.8,CLOSE,CLOSE,1270753.37,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-03,2290735.0,2620309.53,2620309.53,lag0,329574.53,14.4,SOFT,SOFT,3263189.53,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-04,1827203.96,1730384.42,1730384.42,lag0,-96819.54,-5.3,CLOSE,CLOSE,2758894.42,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-05,1739719.0,1644971.03,1730384.42,lag-1,-9334.58,-0.5,CLOSE,CLOSE,2591709.83,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-06,3546814.0,2933668.7,2933668.7,lag0,-613145.3,-17.3,SOFT,SOFT,3877310.7,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-07,1290985.0,1702041.42,1702041.42,lag0,411056.42,31.8,SOFT,SOFT,2989271.42,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-08,977346.0,1999329.53,1702041.42,lag-1,724695.42,74.1,OPEN,OPEN,1999329.53,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-09,2401874.0,2460258.95,2460258.95,lag0,58384.95,2.4,CLOSE,CLOSE,3206626.95,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-10,2393932.0,3996259.03,2460258.95,lag-1,66326.95,2.8,CLOSE,OPEN,4296041.03,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-11,2959801.0,2575800.28,3324331.65,lag+1,364530.65,12.3,SOFT,SOFT,3296345.28,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2024-12,4007322.0,3324331.65,3324331.65,lag0,-682990.35,-17.0,SOFT,SOFT,5393895.65,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-01,776530.0,1197045.18,1197045.18,lag0,420515.18,54.2,OPEN,OPEN,2074733.18,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-02,1604595.0,1255532.52,1255532.52,lag0,-349062.48,-21.8,SOFT,SOFT,1882634.52,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-03,2968405.0,1172215.47,1255532.52,lag-1,-1712872.48,-57.7,OPEN,OPEN,2627809.47,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-04,1837645.0,655148.69,1282099.67,lag+1,-555545.33,-30.2,OPEN,OPEN,2635042.69,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-05,1973876.0,1282099.67,1282099.67,lag0,-691776.33,-35.0,OPEN,OPEN,2143029.67,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-06,1092781.0,1242165.52,1242165.52,lag0,149384.52,13.7,SOFT,SOFT,2155427.52,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-07,2030938.0,1279026.4,1279026.4,lag0,-751911.6,-37.0,OPEN,OPEN,2141818.4,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-08,3594028.0,773638.19,1401833.31,lag+1,-2192194.69,-61.0,OPEN,OPEN,773638.19,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-09,848535.0,1401833.31,920964.43,lag+1,72429.43,8.5,CLOSE,OPEN,2658193.31,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-10,676092.0,920964.43,920964.43,lag0,244872.43,36.2,OPEN,OPEN,1772878.43,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-11,2225327.0,5080598.01,1566627.8,lag+1,-658699.2,-29.6,OPEN,OPEN,6413251.01,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2025-12,1858768.0,1566627.8,1566627.8,lag0,-292140.2,-15.7,SOFT,SOFT,4453903.8,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-01,1561180.0,975128.91,1566627.8,lag-1,5447.8,0.3,CLOSE,OPEN,975128.91,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-02,761200.0,107078.65,672194.72,lag+1,-89005.28,-11.7,SOFT,OPEN,107078.65,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-03,408090.0,672194.72,672194.72,lag0,264104.72,64.7,OPEN,OPEN,672194.72,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-04,3399021.0,2039914.67,2039914.67,lag0,-1359106.33,-40.0,OPEN,OPEN,2039914.67,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-05,2080322.05,365284.48,2039914.67,lag-1,-40407.38,-1.9,CLOSE,OPEN,365284.48,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
IM,2026-06,1852602.0,1675825.17,1675825.17,lag0,-176776.83,-9.5,SOFT,SOFT,1675825.17,ACQ_IM_IP,best of lag-1/0/+1 on IP acquiring
