period_month,revenue_rub,revenue_costed_rub,cogs_rub,gross_margin_rub,gross_margin_pct,payroll_rub,rent_rub,marketing_rub,logistics_rub,outsource_rub,acquiring_fee_rub,commission_rub,card_expense_rub,opex_other_rub,opex_core_rub,tax_cash_rub,tax_expense_rub,tax_used_rub,operating_result_rub,operating_margin_pct,memo_materials_rub,memo_internal_transfers_rub,memo_counterparty_rub,memo_fx_rub,memo_card_spend_rub,note
2024-01,5189128.0,5182328.0,3143144.19,2039183.81,39.3,661990.54,1256645.17,152560.0,75635.37,0.0,59062.91,0.0,588667.08,671101.74,3465662.81,93465.0,93465.0,93465.0,-1519944.0,-29.3,0.0,314227.13,0.0,0.0,667396.08,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-02,4495012.53,4486012.53,2303451.77,2182560.76,48.7,1449482.21,1358609.81,0.0,63685.18,0.0,38557.34,0.0,464248.39,1470749.83,4845332.76,821275.82,821275.82,821275.82,-3484047.82,-77.7,415708.56,199233.13,0.0,0.0,560065.71,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-03,5783506.81,5773406.81,2184930.1,3588476.71,62.2,1624996.23,151468.66,203231.25,367345.43,0.0,115588.21,0.0,452820.85,2131466.98,5046917.61,666316.18,666316.18,666316.18,-2124757.08,-36.8,817868.85,2209070.39,1052500.0,24215.9,372177.93,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-04,7729229.14,7720129.14,3835560.7,3884568.44,50.3,2642852.58,801009.98,180074.5,171526.13,0.0,67140.98,0.0,797279.78,1569263.01,6229146.96,1714029.64,1714029.64,1714029.64,-4058608.16,-52.6,757437.42,418094.18,0.0,0.0,795161.78,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-05,7581748.52,7573548.52,4161383.47,3412165.05,45.1,750629.7,806761.24,201531.0,92913.42,0.0,113036.27,0.0,392296.61,1811690.69,4168858.93,3327630.35,3327630.35,3327630.35,-4084324.23,-53.9,109124.01,620034.36,2882211.5,0.0,392296.61,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-06,11891759.05,11884959.05,5922013.79,5962945.26,50.2,1719167.69,577972.3,204236.75,88560.86,0.0,76482.32,0.0,493671.44,751835.31,3911926.67,442934.67,442934.67,442934.67,1608083.92,13.5,10160.0,202952.9,0.0,0.0,493671.44,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-07,7133939.54,7125339.54,3174368.87,3950970.67,55.4,1703666.7,504309.79,0.0,45072.79,0.0,51955.91,0.0,198895.5,799447.28,3303347.97,2314296.5,2314296.5,2314296.5,-1666673.8,-23.4,304897.7,288581.92,481828.0,0.0,198895.5,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-08,4764623.36,4763123.36,2076819.45,2686303.91,56.4,1672580.86,912231.99,0.0,40565.81,25750.0,52399.34,0.0,83704.09,1269570.66,4056802.75,712150.83,712150.83,712150.83,-2082649.67,-43.7,192205.13,1288313.94,689159.0,0.0,84357.09,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-09,7484387.48,7480187.48,3817619.52,3662567.96,49.0,1011724.46,1338953.96,0.0,45884.97,179064.92,77165.84,142415.8,133693.42,512815.71,3441719.08,638103.22,638103.22,638103.22,-417254.34,-5.6,490850.71,1082065.27,0.0,0.0,299763.51,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-10,5964103.43,5961103.43,2641032.19,3320071.24,55.7,1519753.48,853983.72,296713.0,57579.34,154014.0,138264.34,53721.0,400504.58,1045326.41,4519859.87,2470624.41,2470624.41,2470624.41,-3670413.04,-61.6,1173777.63,3083940.42,0.0,0.0,234456.58,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-11,6924597.57,6844437.57,2356063.65,4488373.92,65.6,1946052.51,769267.0,432146.0,75883.43,733932.0,75312.33,26468.8,392752.65,2433380.18,6885194.9,865455.64,865455.64,865455.64,-3262276.62,-47.7,2237112.06,621095.56,0.0,904279.11,403563.83,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2024-12,12794892.86,12630242.86,4484714.72,8145528.14,64.5,2862731.1,769267.0,452032.0,299388.05,918936.4,167425.01,265282.91,896298.68,2442041.11,9073402.26,1411150.79,1411150.79,1411150.79,-2339024.91,-18.5,722110.43,2049730.92,1406027.1,276621.6,886165.5,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-01,4329612.24,4326912.24,2237337.94,2089574.3,48.3,2235578.3,806750.35,412766.0,202921.14,514544.0,38371.98,0.0,245486.89,467349.6,4923768.26,444228.63,0.0,444228.63,-3278422.59,-75.8,296740.88,607507.64,584284.0,87015.79,245486.89,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-02,4901001.38,4895501.38,2286585.02,2608916.36,53.3,1418838.66,881031.67,212766.0,92911.88,562580.0,42169.11,113196.8,173489.18,791622.13,4288605.43,741644.66,48200.0,741644.66,-2421333.73,-49.5,640692.2,890833.32,490628.0,57285.45,192402.54,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-03,4931191.85,4884748.11,1942949.32,2941798.79,60.2,2480586.13,0.0,0.0,665091.36,316247.0,54810.7,98125.6,267249.62,2312864.7,6194975.11,883006.92,162989.0,883006.92,-4136183.24,-84.7,752485.9,101126.23,0.0,0.0,268047.62,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-04,6672257.62,6632957.62,3369318.0,3263639.62,49.2,3960233.24,0.0,425532.0,520676.65,888160.0,172193.45,0.0,245194.4,1387580.04,7599569.78,3809031.94,2877135.0,3809031.94,-8144962.1,-122.8,161855.78,176867.46,0.0,0.0,265007.95,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-05,5902874.45,5859244.45,2367167.84,3492076.61,59.6,1475639.83,859286.83,212766.0,370367.44,1168346.08,76706.8,116768.8,130241.63,593574.3,5003697.71,599816.64,0.0,599816.64,-2111437.74,-36.0,414674.12,498994.49,731626.0,0.0,198806.08,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-06,6947934.12,6943534.12,3408611.77,3534922.35,50.9,2677876.78,844706.75,0.0,208341.71,625592.0,72576.11,0.0,338159.5,533945.09,5301197.94,775148.87,0.0,775148.87,-2541424.46,-36.6,1553669.43,159499.47,30000.0,0.0,265767.5,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-07,7976953.15,7968953.15,3825879.72,4143073.43,52.0,3881519.57,843506.67,313766.0,659421.19,540221.88,32870.14,16044.0,117259.86,558523.1,6963132.41,2948598.18,2015782.0,2948598.18,-5768657.16,-72.4,500153.32,332003.76,66961.0,46509.16,112756.81,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-08,7250235.43,7191735.43,2950958.5,4240776.93,59.0,3154710.82,831990.1,212766.0,131646.8,361518.0,31363.59,0.0,36120.96,369365.49,5129481.76,1470436.95,534202.0,1470436.95,-2359141.78,-32.8,73822.48,23846.81,7800.0,88029.82,25743.0,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-09,5927401.72,5922301.72,3339992.03,2582309.69,43.6,2748418.05,824588.24,212766.0,129203.41,294275.0,86886.98,1170.0,30420.44,336093.9,4663822.02,1267928.63,489523.12,1267928.63,-3349440.96,-56.6,169902.99,1182050.91,0.0,0.0,30420.44,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-10,3053125.0,3050725.0,1616550.72,1434174.28,47.0,3480711.39,823871.05,212766.0,535956.02,584300.0,127804.45,0.0,71563.25,820822.97,6657795.13,2257284.46,1355380.83,2257284.46,-7480905.31,-245.2,702783.0,411575.07,0.0,0.0,71563.25,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-11,6526777.01,6524377.01,2786586.0,3737791.01,57.3,3867932.08,844910.52,212766.0,409096.81,596489.2,308570.73,78361.2,118519.42,399109.4,6835755.36,1528446.62,444930.0,1528446.62,-4626410.97,-70.9,643732.9,4039126.21,0.0,0.0,121080.15,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2025-12,8663677.2,8662477.2,4284538.19,4377939.01,50.5,6383938.82,877381.71,425532.0,244302.81,1046033.02,214015.53,620360.0,35217.0,531775.21,10378556.1,1828724.89,498588.0,1828724.89,-7829341.98,-90.4,398811.71,357304.12,0.0,0.0,35217.0,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-01,3605105.49,3551805.49,1602354.58,1949450.91,54.9,2014014.41,506609.47,100000.0,50277.23,904474.0,38407.84,0.0,28611.59,242174.5,3884569.04,1718264.68,877612.27,1718264.68,-3653382.81,-102.9,35813.8,290274.91,0.0,0.0,32147.59,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-02,4793436.59,4793436.59,2610766.67,2182669.92,45.5,3632647.01,1226507.87,402766.0,83671.51,235380.0,73811.83,90000.0,39497.66,364754.45,6149036.33,475944.0,0.0,475944.0,-4442310.41,-92.7,455612.09,3581.35,0.0,0.0,39497.66,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-03,4491370.88,4489770.88,2540920.43,1948850.45,43.4,4714435.37,698143.37,420293.0,124000.5,339150.0,133534.73,0.0,114626.38,496755.96,7040939.31,3201097.69,1430366.21,3201097.69,-8293186.55,-184.7,617208.81,82715.66,0.0,0.0,133806.62,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-04,6463907.59,6459307.59,2540695.12,3918612.47,60.7,4269884.28,1193062.62,627532.0,91739.82,408843.0,127950.2,0.0,99510.04,539946.96,7358468.92,4076718.89,2914477.5,4076718.89,-7516575.34,-116.4,299977.15,118050.51,0.0,0.0,83819.8,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-05,7605778.65,7603078.65,4149719.6,3453359.05,45.4,4443931.16,882430.75,76000.0,210507.36,561155.95,70073.69,0.0,63013.97,100736.86,6407849.74,1646534.41,481001.0,1646534.41,-4601025.1,-60.5,564613.61,12801.52,0.0,0.0,63013.97,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
2026-06,5702970.0,5702970.0,2511386.78,3191583.22,56.0,3223054.94,866111.74,288766.0,0.0,291630.0,167207.24,0.0,21115.0,278744.16,5136629.08,288670.11,200964.3,288670.11,-2233715.97,-39.2,112601.96,56320.83,40656.0,0.0,102928.72,operating=GM - opex_core - tax; counterparty/materials/internal/fx=memo
