canonical_sku,fixed_lines,channels,fix_types,sale_name_sample,wrong_or_alt_cost_name_sample,preferred_cost_version_ids,registry_status,proposed_rule,so_t,note
T-2750B,15,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,CV-98101a4547510f16,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2750C,7,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,CV-e492aca3d0c5ac46,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-3187A,6,TSUM,CATEGORY_MISMATCH,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,CV-ef35f6b857d8b3cd,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-3178,5,TSUM,UNIT_RATIO,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",CV-ca33d19b12707eb8,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2973A,5,TSUM,CATEGORY_MISMATCH,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-7f42aba6bd3cc72f,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-3069B,5,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",CV-4c8f25bb5b6644d1,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2973,4,TSUM,CATEGORY_MISMATCH,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b6691478402e7e12,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-1444A,4,TSUM,CATEGORY_MISMATCH,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",Худи с капюшоном Дерево,CV-4c1d30852ba664fd,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2973B,3,TSUM,CATEGORY_MISMATCH,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b389209735ee51e2,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2910,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-30dc1a0767b2c268,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2923,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-9c01fe23c1cfba8a,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-2750D,2,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,CV-a82832bc6ebc43a7,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
0-3073A,2,TSUM,CATEGORY_MISMATCH,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",БЛУЗА,CV-3fc63edbb413c06c,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
0-3362,1,IM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,CV-0d9e8ae3a65d24f4,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
0-2027F,1,IM,CATEGORY_MISMATCH,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,CV-0a97df79110a2260,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
T-3091D,1,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",CV-228527a2e28c206d,CANDIDATE_ALIAS_RISK,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,N,Кандидат в master; Accept только после RACI/производства
