sales_line_id,period_month,canonical_sku,qty,revenue_rub,unit_price_rub,cogs_reported_rub,cogs_source,product_cogs_rub,commission_proxy_rub,agency_comm_at_net_rate_rub,reported_margin_rub,product_margin_rub,commission_proxy_share_of_rev,split_method,net_rate_policy,agency_take_policy
SL-edf5bb3d05d51de9,2025-06,T-2928,1.0,119775.97,119775.97,63399.0,FILE,19862.03,43536.97,63864.55,56376.97,99913.94,0.3635,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-4595031e6b1f06b3,2025-07,T-2928,1.0,163812.93,163812.93,107435.96,FILE,19862.03,87573.93,87345.05,56376.97,143950.9,0.5346,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-3fd2414498dd8ee7,2026-01,T-2928,1.0,123394.37,123394.37,67017.4,FILE,19862.03,47155.37,65793.88,56376.97,103532.34,0.3822,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-eb7376d94956e876,2024-01,0-2480,1.0,132250.0,132250.0,97418.6,FILE,14149.6,83269.0,70515.7,34831.4,118100.4,0.6296,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-a76b795e030b6ab3,2024-05,T-2420A,3.0,460920.0,153640.0,309528.06,FILE,46312.56,263215.5,245762.54,151391.94,414607.44,0.5711,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-d044d79e03731ceb,2024-06,T-2420A,1.0,153640.0,153640.0,103176.02,FILE,15437.52,87738.5,81920.85,50463.98,138202.48,0.5711,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-dc6cd26013b975fa,2024-01,0-2817,1.0,107075.75,107075.75,70560.75,FILE,15985.0,54575.75,57092.79,36515.0,91090.75,0.5097,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-3619520c99913a21,2024-02,0-2817,1.0,118239.54,118239.54,81724.54,FILE,15985.0,65739.54,63045.32,36515.0,102254.54,0.556,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-c5972da4bf89e08a,2024-04,0-2817,1.0,120750.0,120750.0,84235.0,FILE,15985.0,68250.0,64383.9,36515.0,104765.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e66a647aba0e9d6e,2025-04,0-2817,1.0,126790.0,126790.0,87650.0,FILE,15985.0,71665.0,67604.43,39140.0,110805.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-6487bee030f481b8,2025-05,T-2973,1.0,73511.14,73511.14,5919.43,W3_BOM_H9,5919.43,0.0,39196.14,67591.71,67591.71,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-3b979bc72faf11a7,2025-06,T-2973,2.0,151200.0,75600.0,11838.86,W3_BOM_H9,11838.86,0.0,80619.84,139361.14,139361.14,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-f9f778347bb7e92f,2025-07,T-2973,1.0,75600.0,75600.0,5919.43,W3_BOM_H9,5919.43,0.0,40309.92,69680.57,69680.57,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-f64a034630d959bb,2025-08,T-2973,1.0,75600.0,75600.0,5919.43,W3_BOM_H9,5919.43,0.0,40309.92,69680.57,69680.57,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-42c420d005d11329,2026-04,T-2973,1.0,37333.67,37333.67,10383.1,FILE,6709.34,3673.76,19906.31,26950.57,30624.33,0.0984,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-b35d0d404661f39b,2025-06,T-2871A,1.0,62542.0,62542.0,23794.45,FILE,5535.45,18259.0,33347.39,38747.55,57006.55,0.2919,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-51f9a2dcba1dc8c9,2025-08,T-2871A,1.0,101850.0,101850.0,63102.45,FILE,5535.45,57567.0,54306.42,38747.55,96314.55,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-ce9f93770837a8fc,2024-01,0-2665,1.0,101990.0,101990.0,66033.0,FILE,16543.0,49490.0,54381.07,35957.0,85447.0,0.4852,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-f42946074de338da,2024-02,0-2665,2.0,239115.0,119557.5,167201.0,FILE,33086.0,134115.0,127496.12,71914.0,206029.0,0.5609,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-2687944939a738be,2024-04,0-2665,1.0,120750.0,120750.0,84793.0,FILE,16543.0,68250.0,64383.9,35957.0,104207.0,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e6c5e1cf1f8dc7f4,2024-11,0-2665,1.0,52500.0,52500.0,16543.0,FILE,16543.0,0.0,27993.0,35957.0,35957.0,0.0,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-ae7a766e67dedeaf,2025-11,0-2665,1.0,55125.0,55125.0,16543.0,FILE,16543.0,0.0,29392.65,38582.0,38582.0,0.0,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-1e5725b4509525d2,2025-02,T-2938,2.0,266700.0,133350.0,169437.34,FILE,18693.34,150744.0,142204.44,97262.66,248006.66,0.5652,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-869b9e354b0cd0e7,2025-04,T-2938,1.0,113475.0,113475.0,64843.67,FILE,9346.67,55497.0,60504.87,48631.33,104128.33,0.4891,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-dbc2014d4303ff5c,2024-05,T-2540,1.0,179400.0,179400.0,118855.4,FILE,23265.4,95590.0,95656.08,60544.6,156134.6,0.5328,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-61e72fce86f421d6,2024-06,T-2540,3.0,436800.0,145600.0,255166.2,FILE,69796.2,185370.0,232901.76,181633.8,367003.8,0.4244,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-e03e5e52c44dfde7,2024-07,T-2540,1.0,161460.0,161460.0,100915.4,FILE,23265.4,77650.0,86090.47,60544.6,138194.6,0.4809,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-36bb425e5f327af5,2025-01,T-2540,1.0,120873.55,120873.55,60328.95,FILE,23265.4,37063.55,64449.78,60544.6,97608.15,0.3066,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-8fc760dde2234d24,2025-06,T-2973B,1.0,75600.0,75600.0,6757.47,W3_BOM_H9,6757.47,0.0,40309.92,68842.53,68842.53,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-d06d176be3857d62,2025-07,T-2973B,4.0,258228.24,64557.06,27029.9,W3_BOM_H9,27029.9,0.0,137687.3,231198.34,231198.34,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-afb7460265740e2e,2025-11,T-2973B,1.0,75600.0,75600.0,6757.47,W3_BOM_H9,6757.47,0.0,40309.92,68842.53,68842.53,0.0,W3_AS_PRODUCT,0.4668,0.5332
SL-688aa4c8178e2e62,2025-06,T-2871A,1.0,101850.0,101850.0,63572.5,FILE,5535.45,58037.05,54306.42,38277.5,96314.55,0.5698,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-60eaaead7dd93a57,2025-08,T-2871A,1.0,83060.64,83060.64,44783.14,FILE,5535.45,39247.69,44287.93,38277.5,77525.19,0.4725,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-b1d0f831fb5ca18d,2025-09,T-2871A,1.0,101850.0,101850.0,63572.5,FILE,5535.45,58037.05,54306.42,38277.5,96314.55,0.5698,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-44ac93445d5d1c94,2025-10,T-2871A,-1.0,-101850.0,101850.0,-63572.5,FILE,-5535.45,-58037.05,-54306.42,-38277.5,-96314.55,0.5698,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
SL-784e25925b6dece2,2026-04,T-2871A,1.0,101850.0,101850.0,63572.5,FILE,5535.45,58037.05,54306.42,38277.5,96314.55,0.5698,FILE_MINUS_W3_MEDIAN,0.4668,0.5332
