year,channel,amount_eur,share_pct,brief_share_pct,delta_vs_brief_pp,fx_policy,basis
2024,MD_INDIVIDUAL,1972292.0,75.9,,,100.0,SALES_DDS_INCOME_EUR
2024,TSUM_B2B,269661.81,10.4,,,100.0,SALES_DDS_INCOME_EUR
2024,IM,256867.46,9.9,,,100.0,SALES_DDS_INCOME_EUR
2024,OTHER_REGIONAL,100196.56,3.9,,,100.0,SALES_DDS_INCOME_EUR
2024,TOTAL,2599017.83,100.0,,,100.0,SALES_DDS_INCOME_EUR
2025,MD_INDIVIDUAL,2325846.0,83.9,83.0,0.9,100.0,SALES_DDS_INCOME_EUR
2025,TSUM_B2B,221937.65,8.0,9.0,-1.0,100.0,SALES_DDS_INCOME_EUR
2025,IM,214212.24,7.7,8.0,-0.3,100.0,SALES_DDS_INCOME_EUR
2025,OTHER_REGIONAL,21172.02,0.8,,,100.0,SALES_DDS_INCOME_EUR
2025,OTHER_RETURNS,-11480.56,-0.4,,,100.0,SALES_DDS_INCOME_EUR
2025,TOTAL,2771687.35,100.0,,,100.0,SALES_DDS_INCOME_EUR
2026,MD_INDIVIDUAL,866180.0,84.1,,,100.0,SALES_DDS_INCOME_EUR
2026,TSUM_B2B,94735.37,9.2,,,100.0,SALES_DDS_INCOME_EUR
2026,IM,73645.3,7.1,,,100.0,SALES_DDS_INCOME_EUR
2026,OTHER_RETURNS,-4200.0,-0.4,,,100.0,SALES_DDS_INCOME_EUR
2026,TOTAL,1030360.67,100.0,,,100.0,SALES_DDS_INCOME_EUR
