role_id,domain,action,priority,blocks,dojim_status,pack,source
SRC-CTRL-01 / Approver,Payroll control,ASSIGN_FIO,P1,-,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
SRC-CTRL-02 / Owner,Control-02,ASSIGN_FIO,P1,-,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
SRC-CTRL-02 / Approver,Control-02,ASSIGN_FIO,P1,-,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
SRC-CTRL-03 / Owner,Control-03,ASSIGN_FIO,P1,-,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
SRC-CTRL-03 / Approver,Control-03,ASSIGN_FIO,P1,-,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
DOM-PRODUCT / Owner,Product/SKU alias,ASSIGN_FIO,P0,alias Accept G5,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
DOM-COST / Owner,Cost versions,ASSIGN_FIO,P0,cost policy G4,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
DOM-PROD / Owner,Production,ASSIGN_FIO,P1,fabrics WC,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
DOM-B2B / Owner,B2B settle,ASSIGN_FIO,P0,collect 2.51M,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
DOM-DATA / Owner,Data steward,ASSIGN_FIO,P0,release gate harden,WAITING_OWNER_FIO,H37_DOJIM,H23 SOT_POLICY
