source_file_id,file_name,years,risk,lifecycle_status,sheet_name,max_row,max_column,sample_article_tokens_n,sample_article_tokens,numeric_cells_in_sample,join_ready
SRC-A7421E474C22,результат НГ 2024.xlsx,2024,Низкий,Active source candidate,Гости ,37,5,0,,70,WEAK
SRC-A7421E474C22,результат НГ 2024.xlsx,2024,Низкий,Active source candidate,прайс,767,12,29,0-3079|0-3080|0-3081|0-3082|110|11650|19300|2024|2025|2100|2240|231000|246400|2800|308000|3200|352000|3640|400400|40400|4160|4420|442000|457000|457600|486200|5200|53800|572000,55,MAYBE
SRC-FF307568DB94,результат НГ 24.11.25.xlsx,Не определён из названия,Низкий,Active source candidate,прайс,446,13,36,0-2779А|0-3241|0-3242|0-3245|0-3247|1020|102000|1080|108000|1200|120000|17000|2025|2026|27790|2800|280000|32752|33957|3800|380000|4420|442000|4680|468000|5200|520000|5760|576000|57988,42,MAYBE
SRC-FF307568DB94,результат НГ 24.11.25.xlsx,Не определён из названия,Низкий,Active source candidate,расчет прибыли,1,1,0,,0,WEAK
SRC-0DB64A857C29,результат капсула 2024.xlsx,2024,Низкий,Active source candidate,Гости ,37,5,0,,70,WEAK
SRC-0DB64A857C29,результат капсула 2024.xlsx,2024,Низкий,Active source candidate,прайс,427,13,41,0-2984|0-2985|0-2986|0-2987|1120|112000|1190|119000|1400|19800|2024|2025|21000|2406|2604|2700|270000|2880|288000|3000|300000|3200|3450|345000|3600|360000|3680|368000|37000|3910,67,MAYBE
SRC-2E85F06F7FA4,результат капсула 2025.xlsx,2025,Низкий,Active source candidate,Гости ,37,5,0,,70,WEAK
SRC-2E85F06F7FA4,результат капсула 2025.xlsx,2025,Низкий,Active source candidate,прайс,626,12,47,0-2352|0-2604|0-3188|0-3189|0-3191|119400|1950|195000|2025|2026|2210|221000|2600|260000|2700|270000|2880|288000|30900|3600|360000|3655|365500|3680|368000|3910|391000|4300|4600|460000,71,MAYBE
SRC-E677B0690075,результат кол-я 43 (янв 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,прайс,458,10,28,1132|2024|2025|2660|2850|296|3040|3230|3360|3600|370|3800|3840|4080|450|472|4800|5850|6030|6240|6630|6700|7000|7800|802|8070|8800|8970,46,MAYBE
SRC-E677B0690075,результат кол-я 43 (янв 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,Лист2,1,1,0,,0,WEAK
SRC-E677B0690075,результат кол-я 43 (янв 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,гистограмма,1,1,0,,0,WEAK
SRC-7E1258EE5D2D,результат кол-я 44 (июнь 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,прайс,344,10,34,1120|11200|11300|11700|12525|13360|1383|1400|156|16700|2024|2025|2026|223|2775|2960|3000|3200|3450|3700|3840|388|4160|4200|423|515|517|5200|5400|554,44,MAYBE
SRC-7E1258EE5D2D,результат кол-я 44 (июнь 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,Лист2,1,1,0,,0,WEAK
SRC-7E1258EE5D2D,результат кол-я 44 (июнь 2024).xlsx,2024,Средний,Controlled working — устранить внешние ссылки,гистограмма,1,1,0,,0,WEAK
SRC-A05546F621AB,результат кол-я 45 (янв 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,прайс,381,10,27,1-011|1-016|100р|11200|1215|12800|12900|14700|14800|1520|200е|2025|2160|3500|3840|440|480|4900|536|569|670|6970|7840|800е|8400|975|995,28,MAYBE
SRC-A05546F621AB,результат кол-я 45 (янв 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,Лист2,1,1,0,,0,WEAK
SRC-A05546F621AB,результат кол-я 45 (янв 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,гистограмма,1,1,0,,0,WEAK
SRC-975A4D4C055D,результат кол-я 46 (июль 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,прайс,251,10,36,100р|1020|10680|1076|11900|1200|12665|14900|2025|2026|2031|2080|2600|3640|4160|435|4420|454|4680|4776|5070|5200|5460|5800|5970|6240|685|7020|776|7800,53,MAYBE
SRC-975A4D4C055D,результат кол-я 46 (июль 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,Лист2,1,1,0,,0,WEAK
SRC-975A4D4C055D,результат кол-я 46 (июль 2025).xlsx,2025,Средний,Controlled working — устранить внешние ссылки,гистограмма,1,1,0,,0,WEAK
SRC-D215DA62070C,результат кол-я 47 (янв 2026).xlsx,2026,Средний,Controlled working — устранить внешние ссылки,прайс,344,10,16,100р|10720|11200|12700|13200|13400|15200|15800|2026|687|700|7840|800|866|8960|960,26,MAYBE
SRC-D215DA62070C,результат кол-я 47 (янв 2026).xlsx,2026,Средний,Controlled working — устранить внешние ссылки,Лист2,1,1,0,,0,WEAK
SRC-D215DA62070C,результат кол-я 47 (янв 2026).xlsx,2026,Средний,Controlled working — устранить внешние ссылки,гистограмма,1,1,0,,0,WEAK
SRC-25BCD1E70D4C,результат круиз 09.04.25.xlsx,Не определён из названия,Низкий,Active source candidate,прайс,1558,13,37,0-2548|0-2854|0-3109|0-3109А|0-3109В|1016|101600|1079|107900|10976|1143|114300|1169|116900|1250|125000|1270|127000|1336|133600|1419|141900|141950|14998|1670|167000|1894|189400|2025|679,73,MAYBE
SRC-964463AEE601,результат круиз 14.04.26.xlsx,Не определён из названия,Низкий,Active source candidate,прайс,928,12,19,0-2183|0-2563А|0-2613|0-2614|1400|140000|1470|147000|200|20000|2026|2800|280000|485|48500|735|73500|970|97000,20,MAYBE
SRC-964463AEE601,результат круиз 14.04.26.xlsx,Не определён из названия,Низкий,Active source candidate,с производства,522,18,50,0-2420А|0-3354|0-3354а|0-3364|0-3365|0-3365А|0-3366|0-3366А|0-3367|0-3367А|0-3368|013|016|068|102|1020|10200|102000|10240|10817|1200|120000|12103|128|12800|1470|147000|1503|150300|1760,58,MAYBE
SRC-655D54FE7533,результат круиз 22.04.24.xlsx,Не определён из названия,Низкий,Active source candidate,прайс,1070,13,25,0-2245А|0-2250|0-2430|0-2487Е|0-2573С|1252|125200|1270|127000|15070|1576|157600|1670|167000|1773|177300|18660|1970|197000|4210|470|47000|8632|970|97000,26,MAYBE
