period_month,md_payments_eur,dds_salon_shop_eur,gap_eur,gap_pct,status,contour
2024-01,-5841.0,63836.0,-69677.0,109.2,OPEN,CASH_GAP
2024-02,145324.0,145324.0,0.0,0.0,CLOSE,CASH_OK
2024-03,148955.0,148514.0,441.0,0.3,CLOSE,CASH_OK
2024-04,265180.0,265180.0,0.0,0.0,CLOSE,CASH_OK
2024-05,149737.0,149427.0,310.0,0.2,CLOSE,CASH_OK
2024-06,147924.0,136164.0,11760.0,8.6,SOFT,CASH_OK
2024-07,256842.0,254842.0,2000.0,0.8,CLOSE,CASH_OK
2024-08,90944.0,90944.0,0.0,0.0,CLOSE,CASH_OK
2024-09,61812.0,61004.0,808.0,1.3,CLOSE,CASH_OK
2024-10,138744.0,140344.0,-1600.0,1.1,CLOSE,CASH_OK
2024-11,109419.0,109419.0,0.0,0.0,CLOSE,CASH_OK
2024-12,407294.0,407294.0,0.0,0.0,CLOSE,CASH_OK
2025-01,77023.0,77023.0,0.0,0.0,CLOSE,CASH_OK
2025-02,367888.0,367888.0,0.0,0.0,CLOSE,CASH_OK
2025-03,137281.0,137281.0,0.0,0.0,CLOSE,CASH_OK
2025-04,192370.0,192370.0,0.0,0.0,CLOSE,CASH_OK
2025-05,213231.0,207701.0,5530.0,2.7,SOFT,CASH_OK
2025-06,203272.0,214728.0,-11456.0,5.3,SOFT,CASH_OK
2025-07,250504.0,252254.0,-1750.0,0.7,CLOSE,CASH_OK
2025-08,28641.0,31181.0,-2540.0,8.1,SOFT,CASH_OK
2025-09,156319.0,156103.0,216.0,0.1,CLOSE,CASH_OK
2025-10,262757.0,259389.0,3368.0,1.3,CLOSE,CASH_OK
2025-11,198533.0,197527.0,1006.0,0.5,CLOSE,CASH_OK
2025-12,231798.0,232401.0,-603.0,0.3,CLOSE,CASH_OK
2026-01,74560.0,74560.0,0.0,0.0,CLOSE,CASH_OK
2026-02,196705.0,200940.0,-4235.0,2.1,SOFT,CASH_OK
2026-03,150873.0,150875.0,-2.0,0.0,CLOSE,CASH_OK
2026-04,278197.0,278197.0,0.0,0.0,CLOSE,CASH_OK
2026-05,163608.0,161608.0,2000.0,1.2,CLOSE,CASH_OK
2026-06,125337.0,0.0,125337.0,100.0,OPEN,CASH_GAP
