channel,period_month,n_lines,cost_fill_pct,both_n,indicative_gm_pct_both_only,pilot_flag
salon,2026-01,3,100.0,3,89.2,USE_FOR_PROCESS
salon,2026-02,29,100.0,29,79.3,USE_FOR_PROCESS
salon,2026-03,11,100.0,11,87.6,USE_FOR_PROCESS
salon,2026-04,29,100.0,29,86.6,USE_FOR_PROCESS
salon,2026-05,21,100.0,21,88.3,USE_FOR_PROCESS
salon,2026-06,26,0.0,0,,COST_MISSING
shop,2026-01,35,88.6,31,80.7,USE_FOR_PROCESS
shop,2026-02,11,81.8,9,80.9,USE_FOR_PROCESS
shop,2026-03,20,80.0,15,75.4,USE_FOR_PROCESS
shop,2026-04,105,95.2,100,83.7,USE_FOR_PROCESS
shop,2026-05,58,100.0,58,85.7,USE_FOR_PROCESS
shop,2026-06,54,77.8,42,85.4,USE_FOR_PROCESS
