work_order_id,period_month,settle_date,bank_le,source_channel,channel_confidence,payment_id_or_ref,amount_rub,currency,counterparty_short,purpose_short,in_class_now,maps_to_channel,im_share_rub,other_channel_share_rub,other_channel_name,timing_lag_days,owner_comment,status,instruction_ru
WO-ACQ-2025-10,2025-10,2025-10-07,LE-IP-YANINA,TBANK,HIGH,875d699382dbfd20,383189.5,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 06.10.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-10,2025-10,2025-10-17,LE-IP-YANINA,TBANK,HIGH,71ce3387cf40d8ab,145126.96,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 16.10.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-10,2025-10,2025-10-21,LE-IP-YANINA,TBANK,HIGH,226c2aaf71f0e54c,194020.0,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 20.10.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-10,2025-10,2025-10-29,LE-IP-YANINA,TBANK,HIGH,0b39e159ff3a554d,198627.97,RUB,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 28.10.202,ACQ_IM,,,,,,,DRAFT_PREFILL,Проверить: это IM эквайринг или другой канал. Заполнить maps_to_channel.
WO-ACQ-2025-10,2025-10,2025-10-01,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,94644f76cd062dd3,68600.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга за 30.09.25, согласно договору G-3030-04 от 12.04.07г. . Ком",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
WO-ACQ-2025-10,2025-10,2025-10-02,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,ebb9ccbc960e2396,166600.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга за 01.10.25, согласно договору G-3030-04 от 12.04.07г. . Ком",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
WO-ACQ-2025-10,2025-10,2025-10-13,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,5e2e0bd7fab48770,224910.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга за 10.10.25, согласно договору G-3030-04 от 12.04.07г. . Ком",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
WO-ACQ-2025-10,2025-10,2025-10-28,LE-OOO-DEKOR,ACQ_IM_ALREADY,MED,b02328901061b6b5,391804.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по операциям эквайринга за 27.10.25, согласно договору G-3030-04 от 12.04.07г. . Ком",ACQ_IM,,,,,,,DRAFT_PREFILL,Уже класс ACQ_IM — подтвердить или снять если ошибочно; surplus месяца объяснить.
WO-ACQ-2025-10,2025-10,2025-10-08,LE-IP-YANINA,POS_VTB,HIGH,46560e050a7673b6,449420.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 07.10.25,Ком-сия по операциям 10580.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2025-10,2025-10,2025-10-15,LE-IP-YANINA,POS_VTB,HIGH,ea0e6bb5782acfa6,85976.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 14.10.25,Ком-сия по операциям 2024.00 р",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2025-10,2025-10,2025-10-21,LE-IP-YANINA,POS_VTB,HIGH,9dcda8e2f5b83804,589131.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 20.10.25,Ком-сия по операциям 13869.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2025-10,2025-10,2025-10-22,LE-IP-YANINA,POS_VTB,HIGH,76832e5e66f1d239,564706.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 21.10.25,Ком-сия по операциям 13294.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2025-10,2025-10,2025-10-31,LE-IP-YANINA,POS_VTB,HIGH,8fcac44aa8886b8b,2277387.0,RUB,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 30.10.25,Ком-сия по операциям 53613.00 ",OTHER_IN,,,,,,,DRAFT_PREFILL,OVERBANK — не лить в IM целиком. Указать im_share и куда остаток (RETAIL/OWN/OTHER).
WO-ACQ-2025-10,2025-10,2025-10-28,LE-OOO-SALON-YANINA,DEKOR_INTERNAL_RENT,HIGH,c363a0da0c89221a,90000.0,RUB,"ООО ""ДЕКОР""",ОПЛАТА ЗА АРЕНДУ ПО ДОГОВОРУ АРЕНДЫ № 1/25 ОТ 09.01.2025 Г. ЗА АВГУСТ 2025 Г. НДС НЕ ОБЛАГАЕТСЯ,INTERNAL,INTERNAL,,,,,,DRAFT_PREFILL,"Это аренда Декор→Салон (INTERNAL), НЕ эквайринг IM. maps_to_channel=INTERNAL."
