payment_date,amount_rub,counterparty_raw,purpose_short,is_tsum_agent_candidate,note,allocate_to_tsum,reason
2026-06-02,1881773.03,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 01.06.26,Ком-сия по операциям 54326.97 р. в т.ч. НДС 9796.67 р. .",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-01,1000000.0,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),119238184951 / F1317659,NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-01,1000000.0,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),119238323681 / F1317659,NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-05,962220.6,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 04.06.26,Ком-сия по операциям 27779.40 р. в т.ч. НДС 5009.40 р. .",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-15,888158.77,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 11.06.26,Ком-сия по операциям 25641.23 р. в т.ч. НДС 4623.83 р. .",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-01,653643.86,"АО ""ТБанк""","Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 29.05.2026. Сумма комиссии 22267 руб. 14 коп., в ",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-09,591231.1,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 08.06.26,Ком-сия по операциям 17068.90 р. в т.ч. НДС 3078.00 р. .",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-08,520376.67,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),"Возмещение ср-в по договору 105240-ПОС-ФРКК от 30.11.2023 за 05.06.26,Ком-сия по операциям 15023.33 р. в т.ч. НДС 2709.13 р. .",NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-10,346331.52,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 09.06.2026. Сумма комиссии 10674 руб. 48 коп. НДС,NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-15,313722.58,"АО ""ТБанк""",Перевод средств по договору C_139035 от 18.10.2019г. (IP YANINA UF) по реестру операций от 11.06.2026. Сумма комиссии 9669 руб. 42 коп. НДС ,NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
2026-06-01,302800.0,ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО),119238449621 / F1317659,NO,not Mercury/agent — do not allocate to TSUM_NET,NO,not Mercury/agent — do not allocate to TSUM_NET
