cost_version_id,canonical_sku,article_raw,name,unit_cost_rub,completeness,source_file_id,channel_hint,owner_file,unit_cost_source
CV-H5-c4396d09e6fab378,0-1984F,0-1984F,"Футболка женская, черная с принтом ""цветные капли"", из хлопка",3050.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-6aed712678c9fb5b,0-2032N,0-2032N/1,"Футболка женская, черная с принтом ""цветные капли"", из хлопка",10121.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-53c1df754581bca5,0-2037N,0-2037N/1,"Рубашка женская, розовая с принтом ""девочки"", из вискозы",6189.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-90209cd8ec98e26f,0-2053,0-2053,"Брюки женские, розовые с принтом ""девочки"", из вискозы",13367.32,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-70eb1ebf3b4d0227,0-2244,0-2244/1,"Платье женское, черное с принтом ""цветные капли"", из батиста, декорировано тесьм",14213.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-819f3673901f51f6,0-2245,0-2245/1,"Рубашка женская, черная с принтом ""девочки"", из шелка",8632.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-a366adf3f4e4aa08,0-2404,0-2404,"Брюки женские, черные с принтом ""девочки"", из шелка",8020.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-f89bd9e7e637e4d8,0-2431B,0-2431B/1,"Платье женское, черное, с принтом ""девочки"", из шелка, на тонких бретелях",1424.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-4184a4f1970a7509,0-2460A,0-2460A,"Шорты женские, черные с принтом ""цветы, грибы"", из хлопка",12319.0,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
CV-H5-8ec32656caec145d,0-2480,0-2480,"Блуза женская, черная, из батиста, декорирована расшивкой кристаллами по воротни",14149.6,DERIVED_STOCK_MOVEMENT,FILE-099,Aldo Coppola (Основное подразделение),Движение товаров с себестоимостью,IN
