period_month,sber_tax_out_rub,legal_entity_id,note
2024-01,36000.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2024-07,40200.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2024-10,147180.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2025-03,45600.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2025-04,4834.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2025-07,42000.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2025-08,77410.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2025-10,35500.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2026-01,46151.27,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
2026-06,45600.0,LE-OOO-SALON-YANINA,budget payments from Sber Salon account
