stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_end,source_file_id,source_row_id
SW-dc2ca4c434f54f2e,0-1178,0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r13
SW-78dc7c35180a040d,0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),6.0,FILE-098,r53
SW-f0bbc8c000ede640,0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",Салон (Лена М.) (Основное подразделение),6.0,FILE-098,r65
SW-ff57715e5f1ad822,0-1187F,0-1187F,"Рубашка женская, черная, из бархата, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r79
SW-e067d88912113e7b,0-1187G,0-1187G,"Брюки женские, черные, из бархата, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r82
SW-b22e48b3226d7ed1,0-1310,0-1310,"Платье женское, зеленое, из фатина, с аппликационной вышивкой ""Птицы""",Склад ИМ (Основное подразделение),1.0,FILE-098,r120
SW-0e6998741b14caef,0-1355А,0-1355A,"Юбка женская, розовая, из шелка, декорирована пайетками",Склад ИМ (Основное подразделение),1.0,FILE-098,r127
SW-2316d5338e0f92d8,0-136,0-136,"Блуза женская, белая, из трикотажа, с декором из сетки по горловине",Склад ИМ (Основное подразделение),1.0,FILE-098,r132
SW-2599236dce65e86e,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Салон (Лена М.) (Основное подразделение),5.0,FILE-098,r151
SW-0da0ccde9897f5cd,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Склад ИМ (Основное подразделение),6.0,FILE-098,r151
SW-0aa0137aa02154e2,0-1416,0-1416,"Брюки женские, черные, из стрейч бархата, с шелковым лампасом",Склад оптовых продаж (Основное подразделение),5.0,FILE-098,r151
SW-f059a15108064035,0-1416B,0-1416B,"Брюки женские, синие, из стрейч бархата, с шелковым лампасом",Склад ИМ (Основное подразделение),1.0,FILE-098,r199
SW-f60bf86b759a869b,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Салон (Лена М.) (Основное подразделение),6.0,FILE-098,r206
SW-6072a380ff130d32,0-1418,0-1418,"Свитшот женский, черный, из бархата, с декоративными элементами на рукавах",Склад оптовых продаж (Основное подразделение),8.0,FILE-098,r206
SW-6a5c90d58761a699,0-1425,0-1425,Браслет с вышивкой бисером Basic,Склад ИМ (Основное подразделение),2.0,FILE-098,r268
SW-0d13ed000b5a5620,0-1435,0-1435,"Платье женское, синее, из пайеточной ткани, приталенного силуэта",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r269
SW-74154c586ed794aa,0-1444A,0-1444A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", с капюшоном",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r309
SW-5ba54e452d63a320,0-1463,0-1463,Мягкая маска из хлопка цвета электрик Girls,Склад ИМ (Основное подразделение),1.0,FILE-098,r323
SW-12f96730f0110645,0-1486,0-1486,"Юбка женская, черная, из пайеточной ткани",Склад ИМ (Основное подразделение),2.0,FILE-098,r329
SW-67d313a90905709a,0-1486С,0-1486C,"Юбка женская, черная, из пайеточной ткани, с декором ""Ласточки""",Склад ИМ (Основное подразделение),1.0,FILE-098,r346
SW-bb8afe32d7b8dcd1,0-1487,0-1487,"Юбка женская, темно-серая, из пайеточной ткани",Склад ИМ (Основное подразделение),3.0,FILE-098,r354
SW-49ad5f23b84b7d2d,0-1491,0-1491,"Платье женское, серое, из кружевной ткани, с контрастной расшивкой по лифу",Склад ИМ (Основное подразделение),1.0,FILE-098,r384
SW-a72c1094a2b9bf6c,0-1492,0-1492,"Брошь из пайеток с добавлением бусин и страз, черная с белым Basic",Склад ИМ (Основное подразделение),1.0,FILE-098,r389
SW-1434c615d24be93d,0-1500,0-1500,"Бейсболка женская, черная, из хлопка, декорированная вуалеткой с аппликацией Girls",Склад ИМ (Основное подразделение),1.0,FILE-098,r403
SW-6583690a8c34e901,0-1511,0-1511,"Юбка женская, белая, из фатина, с вышивкой ""Yanina, love, joy""",Салон (Лена М.) (Основное подразделение),1.0,FILE-098,r412
SW-26b2a4a9fcb6f05d,0-1522,0-1522,"Юбка женская, белая, из фатина, с принтом ""горошек""",Склад ИМ (Основное подразделение),1.0,FILE-098,r427
SW-93b58761f318b838,0-1550,0-1550,"Кеды женские, черные, из тканного материала, на белой подошве",Склад ИМ (Основное подразделение),1.0,FILE-098,r453
