budget_id,period_month,article,issue,plan_eur
BUD2025H2,2025-10,Командировочные расходы,PLAN_WITHOUT_FACT,618.51
BUD2025H2,2025-10,Агентское вознаграждение,PLAN_WITHOUT_FACT,500.0
BUD2025H2,2025-09,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2025H2,2025-10,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2025H2,2025-11,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2025H2,2025-12,Резервный фонд,PLAN_WITHOUT_FACT,1500.0
BUD2026,2026-06,Поступления,PLAN_WITHOUT_FACT,288500.0
BUD2026,2026-07,Поступления,PLAN_WITHOUT_FACT,292000.0
BUD2026,2026-08,Поступления,PLAN_WITHOUT_FACT,192000.0
BUD2026,2026-09,Поступления,PLAN_WITHOUT_FACT,270500.0
BUD2026,2026-10,Поступления,PLAN_WITHOUT_FACT,295000.0
BUD2026,2026-11,Поступления,PLAN_WITHOUT_FACT,296000.0
BUD2026,2026-12,Поступления,PLAN_WITHOUT_FACT,569500.0
BUD2026,2026-06,Salon+Shop,PLAN_WITHOUT_FACT,200000.0
BUD2026,2026-07,Salon+Shop,PLAN_WITHOUT_FACT,250000.0
BUD2026,2026-08,Salon+Shop,PLAN_WITHOUT_FACT,150000.0
BUD2026,2026-09,Salon+Shop,PLAN_WITHOUT_FACT,200000.0
BUD2026,2026-10,Salon+Shop,PLAN_WITHOUT_FACT,250000.0
BUD2026,2026-11,Salon+Shop,PLAN_WITHOUT_FACT,250000.0
BUD2026,2026-12,Salon+Shop,PLAN_WITHOUT_FACT,450000.0
BUD2026,2026-06,ИМ,PLAN_WITHOUT_FACT,19000.0
BUD2026,2026-07,ИМ,PLAN_WITHOUT_FACT,18000.0
BUD2026,2026-08,ИМ,PLAN_WITHOUT_FACT,19000.0
BUD2026,2026-09,ИМ,PLAN_WITHOUT_FACT,23000.0
BUD2026,2026-10,ИМ,PLAN_WITHOUT_FACT,22000.0
BUD2026,2026-11,ИМ,PLAN_WITHOUT_FACT,25000.0
BUD2026,2026-12,ИМ,PLAN_WITHOUT_FACT,32000.0
BUD2026,2026-03,СИЗОНС,PLAN_WITHOUT_FACT,22500.0
BUD2026,2026-06,СИЗОНС,PLAN_WITHOUT_FACT,22500.0
BUD2026,2026-09,СИЗОНС,PLAN_WITHOUT_FACT,22500.0
BUD2026,2026-12,СИЗОНС,PLAN_WITHOUT_FACT,22500.0
BUD2026,2026-03,Культура ковров (роялти 30%),PLAN_WITHOUT_FACT,30000.0
BUD2026,2026-06,Культура ковров (роялти 30%),PLAN_WITHOUT_FACT,30000.0
BUD2026,2026-12,Культура ковров (роялти 30%),PLAN_WITHOUT_FACT,30000.0
BUD2026,2026-06,ЦУМ,PLAN_WITHOUT_FACT,17000.0
BUD2026,2026-07,ЦУМ,PLAN_WITHOUT_FACT,24000.0
BUD2026,2026-08,ЦУМ,PLAN_WITHOUT_FACT,23000.0
BUD2026,2026-09,ЦУМ,PLAN_WITHOUT_FACT,25000.0
