pc_line_id,source_person,source_year,client,product_name,article_raw,article_norm,fabric_note,cost_rub_indicative,source_file,source_file_id,so_t,hours
ZHU2026-3,zhukova,2026,,ПАЛЬТО,0-3315,0-3315,МД ТИРАЖ,12167.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-19,zhukova,2026,,ПАЛЬТО,0-3316,0-3316,МД ТИРАЖ,12355.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-27,zhukova,2026,,ТОП,47-33,47-33,МД КУТЮР,3016.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-35,zhukova,2026,,ТОП,47-32,47-32,МД КУТЮР,2094.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-43,zhukova,2026,,ЮБКА,47-33,47-33,МД КУТЮР,35502.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-51,zhukova,2026,,БЛУЗА,0-3232,0-3232,СОБСТВЕННИК,8968.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-59,zhukova,2026,,ЮБКА,0-3233,0-3233,СОБСТВЕННИК,8023.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-67,zhukova,2026,,ПАЛЬТО,0-3317,0-3317,МД ТИРАЖ,26147.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-75,zhukova,2026,,ПАЛЬТО,0-3313А,0-3313А,МД ТИРАЖ,23075.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-83,zhukova,2026,,БРАСЛЕТЫ,"47,0-3331,А",0-3331,МД КУТЮР,1860.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-91,zhukova,2026,,ПАЛЬТО,0-3314В,0-3314В,МД ТИРАЖ,40567.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-99,zhukova,2026,,МИТЕНКИ,0-3332,0-3332,МД КУТЮР,4153.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-107,zhukova,2026,,ЮБКА,47-30,47-30,МД КУТЮР,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-115,zhukova,2026,,ФУТБОЛКА,0-3075В,0-3075В,ИМ ЗАКАЗ,827.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-123,zhukova,2026,,БОДИ,47-28,47-28,МД КУТЮР,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-131,zhukova,2026,,ЮБКА,47-28,47-28,МД КУТЮР,2600.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-139,zhukova,2026,,ЮБКА,47-14,47-14,МД КУТЮР,1800.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-147,zhukova,2026,,ЖАКЕТ,47-32,47-32,МД КУТЮР,4948.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-155,zhukova,2026,,БРАСЛЕТ,47-30,47-30,МД КУТЮР,1377.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-163,zhukova,2026,,ЖАКЕТ,47-30,47-30,МД КУТЮР,30928.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-187,zhukova,2026,,ЮБКА,47-33,47-33,МД КУТЮР,51921.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-195,zhukova,2026,,ЖАКЕТ,47-32,47-32,МД КУТЮР,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-203,zhukova,2026,,БРАСЛЕТ,47-22,47-22,МД КУТЮР,1347.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-211,zhukova,2026,,ПАЛЬТО,0-3317,0-3317,МД ЗАПУСК,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-219,zhukova,2026,,БРЮКИ,0-3349,0-3349,ИМ КАПСУЛА,1409.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-227,zhukova,2026,,БРЮКИ,0-3349,0-3349,ИМ КАПСУЛА,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-235,zhukova,2026,,ПАЛЬТО,0-3314В,0-3314В,МД ЗАПУСК,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-243,zhukova,2026,,ЖАКЕТ,47-30,47-30,МД КУТЮР,2800.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-251,zhukova,2026,,РУБАШКА,0-3351,0-3351,ИМ КАПСУЛА,10950.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-259,zhukova,2026,,РУБАШКА,0-3351,0-3351,ИМ КАПСУЛА,1100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-267,zhukova,2026,,ЮБКА,0-3352,0-3352,ИМ КАПСУЛА,1919.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-283,zhukova,2026,,ЖАКЕТ,0-3353,0-3353,ИМ КАПСУЛА,4562.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-299,zhukova,2026,,КОМБЕНИЗОН,0-3326,0-3326,КАНН,5190.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-307,zhukova,2026,,ПЛПТЬЕ,0-3330,0-3330,КАНН,7290.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-315,zhukova,2026,,КОЛЬЕ,0-3377,0-3377,МД ЗАПУСК,3965.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-323,zhukova,2026,,ПЛАТЬЕ,47-29,47-29,МД КУТЮР,31075.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-331,zhukova,2026,,ПЛАТЬЕ,47-29,47-29,МД КУТЮР,3400.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-339,zhukova,2026,,ПЛАТЬЕ,47-27,47-27,МД КУТЮР,35502.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-347,zhukova,2026,,ПЛАТЬЕ,47-27,47-27,МД КУТЮР,3500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-355,zhukova,2026,,ПЛАТЬЕ,47-14,47-14,МД КУТЮР,64050.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-363,zhukova,2026,,ПЛАТЬЕ,47-24,47-24,МД КУТЮР,2500.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-371,zhukova,2026,,ТОП,47-33,47-33,МД КУТЮР,,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-379,zhukova,2026,,ТОП,0-3362,0-3362,ИМ КАПСУЛА,637.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-387,zhukova,2026,,ПЛАТЬЕ,0-3323,0-3323,МД КАНН,8567.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-395,zhukova,2026,,ПЛАТЬЕ,0-3324,0-3324,МД КАНН,9409.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-403,zhukova,2026,,ПЛАТЬЕ,0-3335,0-3335,МД КАНН,4021.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-411,zhukova,2026,,ПЛАТЬЕ,0-3336,0-3336,МД КАНН,2077.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-419,zhukova,2026,,ТОП,0-3362,0-3362,ИМ КАПСУЛА,1000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-427,zhukova,2026,,ЮБКА,47-33,47-33,МД КУТЮР,2000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-435,zhukova,2026,,РУБАШКА,0-3351,0-3351,МД ЗАКАЗ,2567.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-443,zhukova,2026,,БОДИ,47-28,47-28,МД КУТЮР,49200.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-451,zhukova,2026,,ПЛАТЬЕ,47-24,47-24,МД КУТЮР,34024.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-459,zhukova,2026,,БЛУЗА,0-2173А,0-2173А,ИМ ЗАКАЗ,1620.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-467,zhukova,2026,,ПЛАТЬЕ,0-3325,0-3325,МД КАНН,6476.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-475,zhukova,2026,,ПАЛЬТО,0-3313А,0-3313А,МД ТИРАЖ,1900.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-483,zhukova,2026,,ПАЛЬТО,0-3316,0-3316,МД ТИРАЖ,2100.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-491,zhukova,2026,,ПАЛЬТО,0-3315,0-3315,МД ТИРАЖ,2000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-507,zhukova,2026,,ПЛАТЬЕ,0-3064А,0-3064А,ИМ ЗАКАЗ,3070.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-515,zhukova,2026,,БЛУЗА,0-3364,0-3364,КРУИЗ 26,9950.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-523,zhukova,2026,,РУБАШКА,0-3419,0-3419,КРУИЗ26,4000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-531,zhukova,2026,,ПАЛЬТО,0-3315А,0-3315А,МД ТИРАЖ,7767.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-539,zhukova,2026,,ПАЛЬТО,0-3316А,0-3316А,МД ТИРАЖ,12355.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-547,zhukova,2026,,БЛУЗОН,0-3365,0-3365,КРУИЗ,3747.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-555,zhukova,2026,,ТОП,0-3366,0-3366,КРУИЗ,767.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-563,zhukova,2026,,ШОРТЫ,0-3367,0-3367,КРУИЗ,1603.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-571,zhukova,2026,,БЛУЗА,0-3414,0-3414,КРУИЗ,2627.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-579,zhukova,2026,,БЛУЗА,0-3378,0-3378,КРУИЗ,1105.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-587,zhukova,2026,,ПЛАТЬЕ,0-3398,0-3398,КРУИЗ,11263.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-595,zhukova,2026,,БЛУЗА,0-3379,0-3379,КРУИЗ,2331.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-603,zhukova,2026,,ПЛАТЬЕ,0-3403,0-3403,КРУИЗ,2895.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-611,zhukova,2026,,САРАФАН,0-3405,0-3405,КРУИЗ,10297.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-619,zhukova,2026,,ПЛАТЬЕ,"0-3395,0-3395А",0-3395,КРУИЗ,2015.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-627,zhukova,2026,,МИТЕНКИ,0-3332,0-3332,МД ЗАКАЗ,4153.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-635,zhukova,2026,,БРАСЛЕТЫ,0-3331А,0-3331А,МД ЗАКАЗ,1860.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-643,zhukova,2026,,БРАСЛЕТЫ,0-3331,0-3331,МД ЗАКАЗ,1860.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-651,zhukova,2026,,ПЛАТЬЕ,0-3322,0-3322,КАНН,3340.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-667,zhukova,2026,,ПЛАТЬЕ,0-3400,0-3400,КРУИЗ,8583.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-675,zhukova,2026,,ПЛАТЬЕ,0-3406,0-3406,КРУИЗ,10384.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-683,zhukova,2026,,ПЛАТЬЕ,0-3407,0-3407,КРУИЗ,14656.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-691,zhukova,2026,,ПЛАТЬЕ,0-3402,0-3402,КРУИЗ,14046.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-699,zhukova,2026,,ЮБКА,0-3376,0-3376,КРУИЗ,740.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-707,zhukova,2026,,БЛУЗА,0-3389,0-3389,КРУИЗ,771.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-715,zhukova,2026,,БРЮКИ,0-3420,0-3420,КРУИЗ,5179.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-723,zhukova,2026,,ПЛАТЬЕ,"0-3401,0-3401А",0-3401,КРУИЗ,8889.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-731,zhukova,2026,,ПЛАТЬЕ,0-3396,0-3396,КРУИЗ,2490.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-739,zhukova,2026,,ПЛАТЬЕ,0-3397,0-3397,КРУИЗ,7000.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-747,zhukova,2026,,ЮБКА,0-1442,0-1442,ИМ ЗАКАЗ,5603.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-755,zhukova,2026,,МИТЕНКИ,0-3332,0-3332,,4153.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-771,zhukova,2026,,БЛУЗА,0-3385,0-3385,,2175.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-779,zhukova,2026,,БЛУЗА,0-3415,0-3415,КРУИЗ,1225.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-787,zhukova,2026,,БЛУЗА,0-3374,0-3374,КРУИЗ,2085.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-795,zhukova,2026,,ЮБКА,0-3375,0-3375,КРУИЗ,1591.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-803,zhukova,2026,,ПЛАТЬЕ,0-3398,0-3398,КРУИЗ,11263.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-811,zhukova,2026,,РУБАШКА,0-3419,0-3419,КРУИЗ,2205.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-819,zhukova,2026,,РУБАШКА,0-3419,0-3419,КРУИЗ,2205.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
ZHU2026-827,zhukova,2026,,РУБАШКА,0-3419,0-3419,КРУИЗ,2205.0,Себестоимость Жукова.xlsx,SRC-CCFA8B9574EB,N,
