channel,period_month,lines,lines_with_cogs,cogs_coverage,qty,revenue_rub,revenue_costed_rub,cogs_rub,margin_rub,margin_pct,status
B2B,2024-03,16,16,1.0,24.0,1124600.0,1124600.0,276246.14,848353.86,75.4,OK
B2B,2024-04,7,7,1.0,14.0,980000.0,980000.0,339345.12,640654.88,65.4,OK
B2B,2024-06,5,5,1.0,5.0,119283.0,119283.0,20861.0,98422.0,82.5,OK
B2B,2024-07,15,15,1.0,26.0,1280084.0,1280084.0,338379.05,941704.95,73.6,OK
B2B,2024-08,13,13,1.0,23.0,1522753.0,1522753.0,414109.55,1108643.45,72.8,OK
B2B,2024-09,1,1,1.0,1.0,18783.0,18783.0,3200.0,15583.0,83.0,OK
B2B,2024-10,5,5,1.0,5.0,102344.0,102344.0,49786.0,52558.0,51.4,OK
B2B,2024-11,17,17,1.0,38.0,1368697.0,1368697.0,398995.73,969701.27,70.8,OK
B2B,2024-12,69,69,1.0,151.0,4414597.0,4414597.0,1375907.84,3038689.16,68.8,OK
B2B,2025-01,18,18,1.0,36.0,504897.0,504897.0,169495.04,335401.96,66.4,OK
B2B,2025-02,14,14,1.0,31.0,406469.0,406469.0,135528.24,270940.76,66.7,OK
B2B,2025-04,5,5,1.0,9.0,163067.0,163067.0,61140.21,101926.79,62.5,OK
B2B,2025-05,33,33,1.0,62.0,1622619.09,1622619.09,683709.34,938909.75,57.9,OK
B2B,2025-06,2,2,1.0,2.0,20000.0,20000.0,25938.61,-5938.61,-29.7,OK
B2B,2025-07,3,3,1.0,5.0,94261.0,94261.0,31036.21,63224.79,67.1,OK
B2B,2025-08,2,2,1.0,2.0,66316.0,66316.0,15766.24,50549.76,76.2,OK
B2B,2025-09,1,1,1.0,1.0,37800.0,37800.0,27164.71,10635.29,28.1,OK
B2B,2026-06,4,4,1.0,4.0,50656.0,50656.0,44853.34,5802.66,11.5,OK
IM,2024-01,20,17,0.85,20.0,415225.0,408425.0,154246.46,254178.54,62.2,OK
IM,2024-02,39,31,0.795,39.0,1335145.0,1326145.0,295898.4,1030246.6,77.7,PARTIAL
IM,2024-03,56,47,0.839,56.0,2290735.0,2280635.0,338233.17,1942401.83,85.2,PARTIAL
IM,2024-04,45,37,0.822,45.0,1827203.96,1818103.96,286405.22,1531698.74,84.2,PARTIAL
IM,2024-05,44,37,0.841,44.0,1739719.0,1731519.0,278984.17,1452534.83,83.9,PARTIAL
