canonical_sku,name,channels,lines,qty,revenue_rub,cogs_rub,margin_rub,margin_pct
0-2084,"Брюки женские, черные, из джерси, с карманами и жестким поясом на пряжке",IM,4,2.0,11101.0,33280.0,-22179.0,-199.8
0-3243,"Свитшот женский, черный, из футера, с капюшоном, с вышивкой ""Be a poem""",IM,2,1.0,30250.0,67111.74,-36861.74,-121.9
T-3178,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","IM,TSUM",7,11.0,146763.85,251208.27,-104444.42,-71.2
0-2125I,"Платье женское, черное с принтом ""девочки"", из шелка, с брошью ""Цветок"", с поясом",IM,3,2.0,106000.0,176418.8,-70418.8,-66.4
0-2497,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",B2B,4,7.0,70000.04,95055.38,-25055.34,-35.8
0-2496,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",B2B,2,6.0,60000.05,74155.62,-14155.57,-23.6
0-3364,"Брошь бежевая, из рафия, ""колосок""",IM,16,8.0,88065.0,107450.0,-19385.0,-22.0
0-2493A,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",B2B,2,3.0,30000.0,35884.56,-5884.56,-19.6
0-1873,"Куртка женская, черная, из эко-кожи, с вышивкой ""Цветок""",IM,2,1.0,18900.0,21588.0,-2688.0,-14.2
0-1876,"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, приталенное",IM,2,1.0,13800.0,15458.0,-1658.0,-12.0
0-2330,"Платье женское, розовое с принтом ""многоцветные разводы"", из шелка",IM,2,1.0,100000.0,110688.0,-10688.0,-10.7
0-2137,"Блуза женская, черная, из трикотажа, с узким рукавом",IM,7,4.0,29205.0,32254.0,-3049.0,-10.4
0-3344,"Платье женское, черное с принтом ""белые Y и балерины"", из шелка, со складками ""плиссе""",IM,2,1.0,100300.0,110552.04,-10252.04,-10.2
0-3182,"Свитшот женский, серый из футера, с вышивкой ""Ришелье""",IM,8,2.0,48800.0,49938.0,-1138.0,-2.3
0-2498,"Платье женское, розовое с принтом ""пион"", из штапеля, без рукавов","B2B,IM",5,1.0,7000.0,6797.0,203.0,2.9
0-3355,"Блуза женская, белая с принтом ""черные листья"", из шифона, с объемными рукавами",IM,12,6.0,331500.0,318038.3,13461.7,4.1
0-2829,"Платье женское, белое, из шелка, с рисунком ""ЦВЕТЫ""",IM,1,1.0,20000.0,18650.0,1350.0,6.8
0-3183,"Юбка женская, белая, из футера, с вышивкой ""Ришелье""",IM,9,3.0,107300.0,98389.0,8911.0,8.3
0-1241A,"Юбка женская, белая, из фатина, расшита крупными пайетками",IM,1,1.0,15000.0,13650.0,1350.0,9.0
0-3356,"Платье женское, черное с принтом ""белые листья"", из шелка, с объемными рукавами на резинке",IM,2,1.0,81600.0,71785.8,9814.2,12.0
0-3240,"Юбка женская, черная, из сетки, с шелковым поясом, А-силуэт",IM,2,1.0,31450.0,27334.99,4115.01,13.1
0-3341,"Брюки женские, черные, из костюмной ткани, зауженные к низу",IM,4,2.0,68000.0,57417.2,10582.8,15.6
0-3185,"Блуза женская, черная, из трикотажа, с вышивкой ""Ришелье""",IM,6,3.0,108100.0,90894.0,17206.0,15.9
0-2502,"Юбка женская, черная с принтом ""девочки"", из шёлка, c отделкой ""лампас""",IM,2,1.0,30130.0,25301.28,4828.72,16.0
0-3035,"Куртка-бомбер женская, черная, из эко-кожи, с расшивкой камнями",IM,2,1.0,53300.0,44064.0,9236.0,17.3
0-1695,"Туфли женские, серые, из кожи, без каблука, с вышивкой YC",IM,2,1.0,15750.0,13000.0,2750.0,17.5
0-1690,"Туфли женские, синие, из бархата, без каблука, с расшивкой Y",IM,2,1.0,15750.0,13000.0,2750.0,17.5
0-3053,"Платье женское, черное, из джерси, декорировано кружевом",IM,2,1.0,48550.0,38184.0,10366.0,21.4
0-1549,"Кеды женские, черные, из тканного материала, с расшитой Y",IM,2,1.0,9000.0,7000.0,2000.0,22.2
T-2760,"Юбка женская, черная, из натуральной кожи",TSUM,5,9.0,775496.08,596443.08,179053.0,23.1
0-2536,"Платье женское, белое с принтом ""голубые цветы"", из батиста",B2B,1,1.0,20761.0,15970.0,4791.0,23.1
0-2524,"Рубашка женская, белая с принтом ""голубые цветы"", из батиста, с рукавом ""кимоно""",B2B,1,1.0,12909.0,9930.0,2979.0,23.1
0-2523,"Брюки женские, белые с принтом ""голубые цветы"", из батиста",B2B,1,1.0,6986.0,5374.0,1612.0,23.1
0-1942,"Шорты женские, черные, из бархата, удлиненные",IM,2,2.0,6300.0,4846.0,1454.0,23.1
0-1971,"Платье женское, голубое, из шифона, декорировано вышитыми цветами",IM,1,1.0,20000.0,15080.0,4920.0,24.6
0-2596,"Пальто женское, черное, из шерсти, короткое, с аппликацией ""Большой цветок"" из бархата",TSUM,2,2.0,491400.0,366466.8,124933.2,25.4
0-2515,"Пальто женское, розовое, из костюмной ткани ""Шанель"", декорировано тесьмой по низу рукава",IM,3,2.0,49900.0,37203.0,12697.0,25.4
0-2465A,"Блуза женская, белая, из хлопка, с вышивкой ""Дерево, птицы, Yanina"", с длинным рукавом",IM,2,1.0,31825.0,23588.0,8237.0,25.9
0-1973,"Юбка женская, черная, из крепа, декорирована по низу юбки вышитыми цветами",IM,1,1.0,9000.0,6670.0,2330.0,25.9
0-2468A,"Платье женское, черное в белый горох, из шелка, со съемным воротником и белыми манжетами",TSUM,2,2.0,504000.0,372998.67,131001.33,26.0
