canonical_sku,name,channels,lines,qty,revenue_rub,cogs_rub,margin_rub,margin_pct
T-3001,"Куртка женская, черная, из шелкового бархата, с вышитым декором ""Цветы""","IM,TSUM",9,9.0,3330492.09,1716662.06,1613830.03,48.5
0-3073,"Свитшот женский, голубой, с декором принт ""MY YANINA COUTURE"", с коротким рукавом","B2B,IM,TSUM",86,52.0,1692739.74,369505.05,1323234.69,78.2
T-2540,"Блуза женская, голубая с принтом ""большие синие капли"", из шелка","B2B,IM,TSUM",17,20.0,3038703.55,1771024.75,1267678.8,41.7
T-2495B,"Платье женское, черное с принтом ""белые балерины"", из шелка, длина миди","IM,TSUM",11,12.0,2763964.74,1552485.97,1211478.77,43.8
T-2420A,"Блуза женская, белая с принтом ""оранжевые ""Y"", из шелка,  с отделкой черным кантом","B2B,IM,TSUM",14,23.0,2803679.27,1593493.75,1210185.52,43.2
T-2754,"Платье женское, белое с принтом ""черные балерины"", из шелка, на бретелях","IM,TSUM",15,28.0,2911212.92,1801412.83,1109800.09,38.1
0-2359A,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina""","B2B,IM",59,70.0,1531286.0,498691.96,1032594.04,67.4
T-2401B,"Брюки женские, белые с принтом ""оранжевые ""Y"", из шелка","B2B,IM,TSUM",20,27.0,2536451.77,1536800.41,999651.36,39.4
T-3140A,"Платье женское, белое с принтом ""черные листья"", из шифона, декорировано объемной вышивкой ",TSUM,5,10.0,3041140.0,2054398.2,986741.8,32.4
0-2600,"Брюки-капри женские, чёрные, из шёлка дюшес","IM,TSUM",29,17.0,1192403.78,253973.0,938430.78,78.7
T-2251A,"Платье женское, синее с принтом ""белые Y и девочки"", из хлопка, с разрезами по бокам","IM,TSUM",19,25.0,2640729.77,1716119.77,924610.0,35.0
0-2393,"Платье женское, черное, из шелка, с бахромой и кокеткой расшитой бисером",IM,6,3.0,1016600.0,120829.0,895771.0,88.1
T-2865A,"Платье женское, черное с принтом ""белый горох"", из хлопка, с пелериной","IM,TSUM",7,8.0,2366745.72,1488896.36,877849.36,37.1
0-3078,"Юбка женская, черная, из кружева",IM,35,19.0,1145970.0,269742.34,876227.66,76.5
T-2752,"Блуза женская, черная с принтом "" белые Y и девочки"", из шелка, с отделкой ""лампас""","IM,TSUM",18,18.0,1998951.62,1130806.62,868145.0,43.4
T-2541,"Брюки женские, голубые с принтом ""большие синие капли"", из шелка","B2B,IM,TSUM",17,19.0,1754672.26,950923.83,803748.43,45.8
0-1486,"Юбка женская, черная, из пайеточной ткани",IM,10,6.0,892896.0,129295.6,763600.4,85.5
T-2701,"Куртка женская, коричневая, из натуральной кожи, двубортная, с поясом","IM,TSUM",4,5.0,1896544.0,1136702.0,759842.0,40.1
T-2703,"Блуза женская, черная, из шелка, с декором ""Цветок""","IM,TSUM",12,15.0,1727263.53,987312.09,739951.44,42.8
0-2683,"Платье женское, черное в белый горох, из шелка, с поясом-завязка","IM,TSUM",8,6.0,1288572.0,562634.0,725938.0,56.3
T-1960,"Блуза женская, черная, из шифона, с воротником ""стойка"", переходящая в бант","B2B,IM,TSUM",20,24.0,1903068.14,1191611.81,711456.33,37.4
T-2756,"Свитер женский, белый, из кашемира, с рашивкой ""Россыпь""","B2B,IM,TSUM",10,12.0,1373750.83,671443.83,702307.0,51.1
T-2949,"Платье женское, черное, из хлопкового бархата, с вышивками ""Птица""","B2B,IM",4,3.0,821270.0,124928.6,696341.4,84.8
T-2495A,"Платье женское, синее с принтом ""белые Y и девочки"", из шелкового шифона","B2B,TSUM",13,15.0,2121873.9,1431344.55,690529.35,32.5
T-2792,"Платье женское, белое с принтом ""черный горох"", из шифона, с поясом","IM,TSUM",8,8.0,1956623.2,1270466.58,686156.62,35.1
T-2719,"Пальто женское, серое, из натуральной кожи, с поясом",TSUM,4,4.0,1860850.89,1176705.89,684145.0,36.8
T-3092A,"Кейп-накидка женская, черная, из х/б бархата, с вышивкой ""Цветы"" и бахромой","IM,TSUM",6,7.0,1744894.8,1069901.32,674993.48,38.7
T-2475B,"Рубашка женская свободного силуэта, белая, из батиста, с вышивкой YC на кармане","IM,TSUM",20,28.0,1714271.14,1039525.14,674746.0,39.4
0-2470,"Юбка женская, черная, из футера, с декором принт ""дерево, Yanina"", с отделкой ""лампас""","B2B,IM",37,33.0,925960.0,257989.77,667970.23,72.1
0-2675,"Жакет женский, черный, из бархата шелкового с аппликацией ""Цветок""","IM,TSUM",8,7.0,1307997.0,652880.96,655116.04,50.1
T-2940,"Жакет женский,черный, из шелка, с вышивкой ""Ласточка"", с поясом","B2B,TSUM",6,7.0,1319598.05,669082.06,650515.99,49.3
T-2702,"Платье женское, черное, из джерси, с аппликацией ""Цветок"" ","B2B,TSUM",10,12.0,1678340.0,1056381.0,621959.0,37.1
0-2027F,"Платье-кафтан женское, белое с принтом ""цветы и грибы"", из шифона, с окантовкой",IM,5,4.0,687720.0,70840.0,616880.0,89.7
0-2673,"Блуза женская, черная, из бархата стрейч, с аппликацией ""Цветок""","IM,TSUM",13,9.0,949864.0,369877.67,579986.33,61.1
T-2556B,"Брюки женские, черные с принтом ""белые Y и девочки"", из шелка, с отделкой ""лампас""","IM,TSUM",9,15.0,1482164.74,903144.58,579020.16,39.1
0-2032,"Рубашка женская, голубая с принтом ""девочки"", из вискозы","B2B,IM",16,10.0,653167.0,99590.12,553576.88,84.8
T-2707,"Жакет женский, синий, из шелкового бархата, с вышивкой ""Птицы""",TSUM,4,7.0,1614035.6,1083458.69,530576.91,32.9
0-2686,"Блуза женская, черная, из бархата, с декором ""бант"" и вставками из сетки ",IM,10,7.0,628140.0,101763.0,526377.0,83.8
T-2846,"Платье женское, черное, из хлопчатобумажного бархата, с вышивкой ""Ласточка""","B2B,TSUM",3,5.0,1138651.6,620454.4,518197.2,45.5
T-2756A,"Свитер женский, серый, из кашемира, с расшивкой ""Колье""","B2B,IM,TSUM",5,5.0,770880.0,253430.0,517450.0,67.1
0-2084,"Брюки женские, черные, из джерси, с карманами и жестким поясом на пряжке",IM,4,2.0,11101.0,33280.0,-22179.0,-199.8
0-3243,"Свитшот женский, черный, из футера, с капюшоном, с вышивкой ""Be a poem""",IM,2,1.0,30250.0,67111.74,-36861.74,-121.9
T-3178,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","IM,TSUM",7,11.0,146763.85,251208.27,-104444.42,-71.2
0-2125I,"Платье женское, черное с принтом ""девочки"", из шелка, с брошью ""Цветок"", с поясом",IM,3,2.0,106000.0,176418.8,-70418.8,-66.4
0-2497,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",B2B,4,7.0,70000.04,95055.38,-25055.34,-35.8
0-2496,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",B2B,2,6.0,60000.05,74155.62,-14155.57,-23.6
0-3364,"Брошь бежевая, из рафия, ""колосок""",IM,16,8.0,88065.0,107450.0,-19385.0,-22.0
0-2493A,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",B2B,2,3.0,30000.0,35884.56,-5884.56,-19.6
0-1873,"Куртка женская, черная, из эко-кожи, с вышивкой ""Цветок""",IM,2,1.0,18900.0,21588.0,-2688.0,-14.2
0-1876,"Платье женское, черное, из стрейч бархата, с белым кружевным воротником, приталенное",IM,2,1.0,13800.0,15458.0,-1658.0,-12.0
0-2330,"Платье женское, розовое с принтом ""многоцветные разводы"", из шелка",IM,2,1.0,100000.0,110688.0,-10688.0,-10.7
0-2137,"Блуза женская, черная, из трикотажа, с узким рукавом",IM,7,4.0,29205.0,32254.0,-3049.0,-10.4
0-3344,"Платье женское, черное с принтом ""белые Y и балерины"", из шелка, со складками ""плиссе""",IM,2,1.0,100300.0,110552.04,-10252.04,-10.2
0-3182,"Свитшот женский, серый из футера, с вышивкой ""Ришелье""",IM,8,2.0,48800.0,49938.0,-1138.0,-2.3
0-2498,"Платье женское, розовое с принтом ""пион"", из штапеля, без рукавов","B2B,IM",5,1.0,7000.0,6797.0,203.0,2.9
