canonical_sku,priority,stock_qty_end,stock_im_qty,stock_tsum_qty,sales_qty,sales_revenue_rub,sellthrough_proxy,reason,owner_ask,do_not_auto_accept,so_t
0-2359,HIGH,10.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3069C,HIGH,9.0,9.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3221D,HIGH,8.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1729,HIGH,7.0,6.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-2750A,HIGH,7.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1187E,HIGH,6.0,0.0,0.0,0.0,0.0,0.0,no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-2756C,HIGH,6.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
T-3179,HIGH,6.0,6.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1727,HIGH,5.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-1736,HIGH,5.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2480B,HIGH,5.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2645,HIGH,5.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3073C,HIGH,5.0,2.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3221,HIGH,5.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-3221A,HIGH,5.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2421,HIGH,4.0,1.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2481D,HIGH,4.0,3.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
0-2628,HIGH,4.0,4.0,0.0,0.0,0.0,0.0,IM_stock_no_IM_sales|no_sales_any_channel,Confirm markdown / move / write-off / missing sales file,YES,N
