period_month,category,payments,amount_rub
2024-01,MARKETPLACE,11,184744.0
2024-01,OFFICE_SUPPLY,4,41844.8
2024-01,OTHER,1,429361.28
2024-01,TAXI_DELIVERY,2,11446.0
2024-02,FOOD,1,16185.15
2024-02,LOGISTICS_CUSTOMS,1,68364.0
2024-02,MARKETPLACE,10,279997.0
2024-02,OFFICE_SUPPLY,1,19580.32
2024-02,OTHER,8,126701.8
2024-02,TAXI_DELIVERY,2,49237.44
2024-03,LOGISTICS_CUSTOMS,1,68364.0
2024-03,MARKETPLACE,7,58766.3
2024-03,OFFICE_SUPPLY,5,67998.94
2024-03,OTHER,3,105938.69
2024-03,TAXI_DELIVERY,5,25350.0
2024-03,TRAVEL,1,45760.0
2024-04,FOOD,1,12768.34
2024-04,LOGISTICS_CUSTOMS,1,163296.0
2024-04,MARKETPLACE,5,23412.0
2024-04,OFFICE_SUPPLY,2,17256.59
2024-04,OTHER,8,578428.85
2024-05,FOOD,1,10231.56
2024-05,MARKETPLACE,7,60403.0
2024-05,OTHER,5,48361.05
2024-05,TRAVEL,2,273301.0
2024-06,FOOD,2,14612.25
2024-06,MARKETPLACE,3,55161.0
2024-06,OFFICE_SUPPLY,2,9235.35
2024-06,OTHER,3,14467.84
2024-06,TAXI_DELIVERY,1,3387.0
2024-06,TRAVEL,4,396808.0
2024-07,MARKETPLACE,4,23785.5
2024-07,OFFICE_SUPPLY,3,24845.0
2024-07,OTHER,1,150265.0
2024-08,FOOD,2,19141.82
2024-08,MARKETPLACE,8,49145.87
2024-08,OFFICE_SUPPLY,1,16069.4
2024-09,FOOD,1,9914.2
2024-09,MARKETPLACE,10,47026.41
2024-09,OFFICE_SUPPLY,2,27203.9
2024-09,OTHER,1,164838.0
2024-09,TAXI_DELIVERY,3,3930.0
2024-09,TRAVEL,1,46851.0
2024-10,FOOD,1,14568.35
2024-10,LOGISTICS_CUSTOMS,2,138600.0
2024-10,MARKETPLACE,14,77433.23
2024-10,OFFICE_SUPPLY,1,3855.0
2024-11,FOOD,2,14813.18
2024-11,LOGISTICS_CUSTOMS,1,126000.0
2024-11,MARKETPLACE,5,42742.33
2024-11,OFFICE_SUPPLY,1,24283.32
2024-11,TRAVEL,1,195725.0
2024-12,LOGISTICS_CUSTOMS,3,123340.0
2024-12,MARKETPLACE,3,33287.0
2024-12,OFFICE_SUPPLY,3,27664.5
2024-12,TRAVEL,3,701874.0
2025-01,FOOD,1,13271.89
2025-01,MARKETPLACE,5,13948.0
2025-01,OFFICE_SUPPLY,1,5652.0
2025-01,TRAVEL,1,212615.0
2025-02,FOOD,1,5100.0
2025-02,MARKETPLACE,7,77336.45
2025-02,OFFICE_SUPPLY,1,42509.15
2025-02,OTHER,2,8799.94
2025-02,TAXI_DELIVERY,1,1362.0
2025-02,TRAVEL,1,57295.0
2025-03,FOOD,2,16383.62
2025-03,MARKETPLACE,5,19845.0
2025-03,OFFICE_SUPPLY,2,43990.0
2025-03,TAXI_DELIVERY,1,13167.0
2025-03,TRAVEL,3,174662.0
2025-04,MARKETPLACE,10,75807.15
2025-04,OFFICE_SUPPLY,1,4981.8
2025-04,OTHER,2,70554.0
2025-04,TAXI_DELIVERY,1,3490.0
2025-04,TRAVEL,1,110175.0
2025-05,FOOD,1,20385.48
2025-05,MARKETPLACE,6,33280.15
2025-05,OFFICE_SUPPLY,1,20820.45
2025-05,OTHER,2,124320.0
2025-06,FOOD,1,6800.0
2025-06,MARKETPLACE,4,20295.0
2025-06,OFFICE_SUPPLY,2,8684.5
2025-06,OTHER,1,229988.0
2025-07,FOOD,1,17317.44
2025-07,MARKETPLACE,4,36500.26
2025-07,OFFICE_SUPPLY,3,58939.11
2025-08,MARKETPLACE,2,16967.0
2025-08,OFFICE_SUPPLY,1,8776.0
2025-09,FOOD,1,17314.44
2025-09,MARKETPLACE,1,1536.0
2025-09,OFFICE_SUPPLY,1,4770.0
2025-09,OTHER,1,6800.0
2025-10,MARKETPLACE,3,10569.0
2025-10,OFFICE_SUPPLY,4,60994.25
2025-11,MARKETPLACE,5,46026.9
2025-11,OFFICE_SUPPLY,3,47903.0
2025-11,OTHER,1,20358.25
2025-11,TAXI_DELIVERY,1,6792.0
2025-12,FOOD,1,6800.0
2025-12,MARKETPLACE,5,10332.0
2025-12,OFFICE_SUPPLY,2,18085.0
2026-01,FOOD,2,18679.59
2026-01,MARKETPLACE,6,13468.0
2026-02,MARKETPLACE,5,35399.66
2026-02,OFFICE_SUPPLY,1,4098.0
2026-03,FOOD,2,25980.24
2026-03,MARKETPLACE,3,22844.4
2026-03,OFFICE_SUPPLY,1,10250.0
2026-03,OTHER,2,71241.98
2026-03,TAXI_DELIVERY,1,3490.0
2026-04,MARKETPLACE,1,1387.0
2026-04,OFFICE_SUPPLY,1,35525.8
2026-04,OTHER,1,2412.0
2026-04,TRAVEL,1,44495.0
2026-05,MARKETPLACE,7,15084.0
2026-05,OFFICE_SUPPLY,2,41587.97
2026-05,OTHER,1,4230.0
2026-05,TAXI_DELIVERY,1,2112.0
2026-06,FOOD,2,19712.39
2026-06,MARKETPLACE,6,34848.33
2026-06,OFFICE_SUPPLY,2,14202.0
2026-06,TAXI_DELIVERY,28,34166.0
