scope,channel,period_month,canonical_sku,revenue_rub,margin_pct,cogs_coverage,flags,priority
CHANNEL_MONTH,B2B,2025-06,,20000.0,-29.7,1.0,NEGATIVE_MARGIN,HIGH
CHANNEL_MONTH,B2B,2026-06,,50656.0,11.5,1.0,LOW_MARGIN,MED
SKU,IM,,0-2084,11101.0,-199.8,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-3243,30250.0,-121.9,,NEGATIVE_MARGIN,HIGH
SKU,"IM,TSUM",,T-3178,146763.85,-71.2,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-2125I,106000.0,-66.4,,NEGATIVE_MARGIN,HIGH
SKU,B2B,,0-2497,70000.04,-35.8,,NEGATIVE_MARGIN,HIGH
SKU,B2B,,0-2496,60000.05,-23.6,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-3364,88065.0,-22.0,,NEGATIVE_MARGIN,HIGH
SKU,B2B,,0-2493A,30000.0,-19.6,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-1873,18900.0,-14.2,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-1876,13800.0,-12.0,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-2330,100000.0,-10.7,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-2137,29205.0,-10.4,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-3344,100300.0,-10.2,,NEGATIVE_MARGIN,HIGH
SKU,IM,,0-3182,48800.0,-2.3,,NEGATIVE_MARGIN,HIGH
