warehouse,name,article_hint,docs_n,docs_in_n,docs_out_n,first_move_date,last_move_date,last_in_date,last_out_date,days_since_last_move,aging_band,last_doc,inv_match,inv_qty,inv_amount_rub,inv_abc_band,inv_as_of,risk_flag,move_end_leaf_ambiguous,as_of_analysis,do_not_auto_accept,so_t
Основной склад,Атлас (дюшес) темно-коричневый  20-006,20-006,6,2,4,2024-10-31,2025-09-24,2025-09-24,2025-07-14,308,181_365_COOL,Перемещение запасов 304 от 24.09.2025,WH_ART,10.2,7140.0,B,2026-05-31,AGING_WATCH,4060.0,2026-07-29,YES,N
Основной склад,Бархат  Х/Б темно-синий 6-015,6-015,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,4.0,6600.0,B,2026-05-31,DEAD_STOCK,6600.0,2026-07-29,YES,N
Основной склад,Бархат стрейч голубой  6-026,6-026,1,1,0,2026-06-03,2026-06-03,2026-06-03,,56,0_90_HOT,Перемещение запасов 245 от 03.06.2026,NO_INV,0,0,,,MOVE_WITHOUT_SNAPSHOT,6316.09,2026-07-29,YES,N
Основной склад,Бархат стрейч коричневый  6-029,6-029,2,1,1,2024-10-31,2025-06-10,2024-10-31,2025-06-10,414,365PLUS_STALE,Перемещение запасов 161 от 10.06.2025,WH_ART,5.1,2550.0,C,2026-05-31,DEAD_STOCK,,2026-07-29,YES,N
Основной склад,Бархат стрейч коричневый  6-056,6-056,4,2,2,2025-06-18,2026-05-21,2026-05-21,2025-07-30,69,0_90_HOT,Перемещение запасов 216 от 21.05.2026,NO_INV,0,0,,,MOVE_WITHOUT_SNAPSHOT,9968.21,2026-07-29,YES,N
Основной склад,Бархат стрейч плотный черный 6-028,6-028,5,3,2,2024-10-31,2026-06-04,2026-06-04,2026-02-26,55,0_90_HOT,Перемещение запасов 246 от 04.06.2026,WH_ART,53.0,33125.0,A,2026-05-31,OK_ACTIVE,31156.25,2026-07-29,YES,N
Основной склад,"Бархат стрейч, бежевый 6-047",6-047,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 14 от 31.10.2024,WH_ART,17.4,7134.0,B,2026-05-31,DEAD_STOCK,7134.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, бирюзовый 6-049",6-049,3,1,2,2024-10-31,2025-03-17,2024-10-31,2025-03-17,499,365PLUS_STALE,Перемещение запасов 42 от 17.03.2025,WH_ART,24.5,10045.0,B,2026-05-31,DEAD_STOCK,10045.0,2026-07-29,YES,N
Основной склад,"Бархат стрейч, морская волна 6-053",6-053,2,1,1,2024-10-31,2026-06-30,2024-10-31,2026-06-30,29,0_90_HOT,Перемещение запасов 298 от 30.06.2026,WH_ART,28.5,11685.0,B,2026-05-31,OK_ACTIVE,11623.5,2026-07-29,YES,N
Основной склад,"Бархат стрейч, светло-серый 6-048",6-048,4,2,2,2024-10-31,2025-09-08,2025-09-08,2025-09-02,324,181_365_COOL,Перемещение запасов 278 от 08.09.2025,WH_ART,17.25,7072.5,B,2026-05-31,AGING_WATCH,7072.5,2026-07-29,YES,N
