warehouse,name,article_hint,docs_n,docs_in_n,docs_out_n,first_move_date,last_move_date,last_in_date,last_out_date,days_since_last_move,aging_band,last_doc,inv_match,inv_qty,inv_amount_rub,inv_abc_band,inv_as_of,risk_flag,move_end_leaf_ambiguous,as_of_analysis,do_not_auto_accept,so_t
Основной склад,"Шелк, принт папайя, 17А-061",,4,2,2,2025-02-24,2025-05-16,2025-03-24,2025-05-16,439,365PLUS_STALE,Перемещение запасов 118 от 16.05.2025,WH_NAME,50.5,247108.78,A,2026-05-31,DEAD_STOCK,247108.78,2026-07-29,YES,N
Основной склад,"Шелк белый, принт оранжевый хаотичные ""Y"" 17A-017",,2,1,1,2024-10-31,2025-05-16,2024-10-31,2025-05-16,439,365PLUS_STALE,Перемещение запасов 118 от 16.05.2025,WH_NAME,60.0,174000.0,A,2026-05-31,DEAD_STOCK,174000.0,2026-07-29,YES,N
Основной склад,"Дюшес, фиолетовый 5-020",5-020,5,1,4,2024-10-31,2025-05-29,2024-10-31,2025-05-29,426,365PLUS_STALE,Перемещение запасов 142 от 29.05.2025,WH_ART,42.3,148050.0,A,2026-05-31,DEAD_STOCK,148050.0,2026-07-29,YES,N
Основной склад,Шифон авторский мелкие цветы 19A-019,,2,1,1,2024-10-31,2025-05-27,2024-10-31,2025-05-27,428,365PLUS_STALE,Перемещение запасов 138 от 27.05.2025,WH_NAME,50.3,118959.5,A,2026-05-31,DEAD_STOCK,118959.5,2026-07-29,YES,N
Основной склад,Вечерняя ткань зеленые пайетки 12-034,12-034,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,7.2,118800.0,A,2026-05-31,DEAD_STOCK,118800.0,2026-07-29,YES,N
Основной склад,"Дабл-креп, розовый 11-028",11-028,3,1,2,2024-10-31,2025-03-14,2024-10-31,2025-03-14,502,365PLUS_STALE,Перемещение запасов 39 от 14.03.2025,WH_ART,49.6,114080.0,A,2026-05-31,DEAD_STOCK,114080.0,2026-07-29,YES,N
Основной склад,Шифон красный 18-036,18-036,3,1,2,2024-10-31,2025-04-09,2024-10-31,2025-04-09,476,365PLUS_STALE,Перемещение запасов 76 от 09.04.2025,WH_ART,123.9,111510.0,A,2026-05-31,DEAD_STOCK,111510.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань серебро пайетки 12-026,12-026,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,6.1,109800.0,A,2026-05-31,DEAD_STOCK,109800.0,2026-07-29,YES,N
Основной склад,"Шелк, принт овощи, 17А-062",,2,1,1,2025-02-24,2025-03-10,2025-02-24,2025-03-10,506,365PLUS_STALE,Перемещение запасов 31 от 10.03.2025,WH_NAME,22.0,102300.0,A,2026-05-31,DEAD_STOCK,102300.0,2026-07-29,YES,N
Основной склад,"Шелк черный, принт грибы 17A-010",,3,1,2,2024-10-31,2025-02-20,2024-10-31,2025-02-20,524,365PLUS_STALE,Перемещение запасов 13 от 20.02.2025,WH_NAME,35.0,101500.0,A,2026-05-31,DEAD_STOCK,101500.0,2026-07-29,YES,N
Основной склад,Х/Б Хлопок микс средний черный 4А-064,,5,1,4,2025-01-10,2025-04-30,2025-01-10,2025-04-30,455,365PLUS_STALE,Перемещение запасов 102 от 30.04.2025,WH_NAME,69.9,101355.0,A,2026-05-31,DEAD_STOCK,101355.0,2026-07-29,YES,N
Основной склад,Х/Б Хлопок грибочки белые 4А-059,,3,1,2,2025-01-10,2025-04-09,2025-01-10,2025-04-09,476,365PLUS_STALE,Перемещение запасов 75 от 09.04.2025,WH_NAME,69.6,100920.0,A,2026-05-31,DEAD_STOCK,100920.0,2026-07-29,YES,N
Основной склад,Х/Б Хлопок гжель цветы 4А-070,,1,1,0,2025-01-10,2025-01-10,2025-01-10,,565,365PLUS_STALE,Оприходование запасов 3 от 10.01.2025,WH_NAME,69.0,100050.0,A,2026-05-31,DEAD_STOCK,100050.0,2026-07-29,YES,N
Основной склад,"Дюшес-дабл, темно-синий 5-015",5-015,2,1,1,2024-10-31,2025-03-06,2024-10-31,2025-03-06,510,365PLUS_STALE,Перемещение запасов 30 от 06.03.2025,WH_ART,20.0,100000.0,A,2026-05-31,DEAD_STOCK,100000.0,2026-07-29,YES,N
Основной склад,Шелк принт бирюзовые капли 17A-051,,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 7 от 31.10.2024,WH_NAME,34.3,99470.0,A,2026-05-31,DEAD_STOCK,99470.0,2026-07-29,YES,N
Основной склад,"Дабл-креп, светло-серый 11-012",11-012,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 13 от 31.10.2024,WH_ART,42.4,97520.0,A,2026-05-31,DEAD_STOCK,97520.0,2026-07-29,YES,N
Основной склад,"Шелк белый, принт грибы 17A-012",,2,1,1,2024-10-31,2025-02-20,2024-10-31,2025-02-20,524,365PLUS_STALE,Перемещение запасов 13 от 20.02.2025,WH_NAME,33.5,97150.0,A,2026-05-31,DEAD_STOCK,97150.0,2026-07-29,YES,N
Основной склад,Вечерняя ткань коричневые пайетки 12-025,12-025,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 20 от 31.10.2024,WH_ART,5.8,95700.0,A,2026-05-31,DEAD_STOCK,95700.0,2026-07-29,YES,N
Основной склад,Х/Б Хлопок девочки Y синий 4А-057,,4,1,3,2025-01-10,2025-06-03,2025-01-10,2025-06-03,421,365PLUS_STALE,Перемещение запасов 150 от 03.06.2025,WH_NAME,65.2,94540.0,A,2026-05-31,DEAD_STOCK,93090.0,2026-07-29,YES,N
Основной склад,"Шелк белый, принт черный ""Y"" 17A-009",,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 7 от 31.10.2024,WH_NAME,46.4,92800.0,A,2026-05-31,DEAD_STOCK,92800.0,2026-07-29,YES,N
Основной склад,"Дюшес, красный 5-016",5-016,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 3 от 31.10.2024,WH_ART,24.8,86800.0,A,2026-05-31,DEAD_STOCK,86800.0,2026-07-29,YES,N
Основной склад,"Дабл-креп, красный 11-024",11-024,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 13 от 31.10.2024,WH_ART,36.4,83720.0,A,2026-05-31,DEAD_STOCK,83720.0,2026-07-29,YES,N
Основной склад,"Креп тонкий шерсть, желтый 10-011",10-011,2,1,1,2024-10-31,2025-06-26,2024-10-31,2025-06-26,398,365PLUS_STALE,Перемещение запасов 180 от 26.06.2025,WH_ART,40.5,81000.0,A,2026-05-31,DEAD_STOCK,75000.0,2026-07-29,YES,N
Основной склад,"Тафта авторская, цветок-купон 2A-002",,2,1,1,2024-10-31,2025-02-26,2024-10-31,2025-02-26,518,365PLUS_STALE,Перемещение запасов 23 от 26.02.2025,WH_NAME,21.5,77400.0,A,2026-05-31,DEAD_STOCK,77400.0,2026-07-29,YES,N
Основной склад,Шифон темно-голубой 18-019,18-019,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 8 от 31.10.2024,WH_ART,58.8,76440.0,A,2026-05-31,DEAD_STOCK,76440.0,2026-07-29,YES,N
Основной склад,Шифон зеленый креповый 18-011,18-011,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 8 от 31.10.2024,WH_ART,42.9,75504.0,A,2026-05-31,DEAD_STOCK,75504.0,2026-07-29,YES,N
Основной склад,Шелк кайма черная-белая-черная 17A-046,,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 7 от 31.10.2024,WH_NAME,21.2,74200.0,A,2026-05-31,DEAD_STOCK,74200.0,2026-07-29,YES,N
Основной склад,"Шелк, бирюзовый 16-041",16-041,2,1,1,2024-10-31,2025-03-17,2024-10-31,2025-03-17,499,365PLUS_STALE,Перемещение запасов 42 от 17.03.2025,WH_ART,44.0,70400.0,A,2026-05-31,DEAD_STOCK,70400.0,2026-07-29,YES,N
Основной склад,Х/Б батист зеленые капли 4А-029,,1,1,0,2025-01-10,2025-01-10,2025-01-10,,565,365PLUS_STALE,Оприходование запасов 3 от 10.01.2025,WH_NAME,67.0,67000.0,A,2026-05-31,DEAD_STOCK,67000.0,2026-07-29,YES,N
Основной склад,"Шелк розовый, принт микс крупный 17A-028",,3,1,2,2024-10-31,2025-04-22,2024-10-31,2025-04-22,463,365PLUS_STALE,Перемещение запасов 90 от 22.04.2025,WH_NAME,21.6,62640.0,A,2026-05-31,DEAD_STOCK,62640.0,2026-07-29,YES,N
Основной склад,"Креп тонкий шерсть, графит 10-002",10-002,2,1,1,2024-10-31,2025-06-20,2024-10-31,2025-06-20,404,365PLUS_STALE,Перемещение запасов 170 от 20.06.2025,WH_ART,30.7,61400.0,A,2026-05-31,DEAD_STOCK,52400.0,2026-07-29,YES,N
Основной склад,"Дабл-креп, графит 11-002",11-002,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 13 от 31.10.2024,WH_ART,26.3,60490.0,A,2026-05-31,DEAD_STOCK,60490.0,2026-07-29,YES,N
Основной склад,"Дабл-креп, зеленый 11-025",11-025,1,1,0,2024-10-31,2024-10-31,2024-10-31,,636,365PLUS_STALE,Оприходование запасов 13 от 31.10.2024,WH_ART,26.0,59800.0,A,2026-05-31,DEAD_STOCK,59800.0,2026-07-29,YES,N
Основной склад,Х/Б Хлопок микс средний голубой 4А-065,,2,1,1,2025-01-10,2025-04-09,2025-01-10,2025-04-09,476,365PLUS_STALE,Перемещение запасов 75 от 09.04.2025,WH_NAME,41.0,59450.0,A,2026-05-31,DEAD_STOCK,59450.0,2026-07-29,YES,N
Основной склад,"Дюшес, желтый 5-018",5-018,2,1,1,2024-10-31,2025-02-10,2024-10-31,2025-02-10,534,365PLUS_STALE,Перемещение запасов 19 от 10.02.2025,WH_ART,16.5,57750.0,A,2026-05-31,DEAD_STOCK,57750.0,2026-07-29,YES,N
Основной склад,"Кружево стрейч, черный 13-028",13-028,1,1,0,2024-12-10,2024-12-10,2024-12-10,,596,365PLUS_STALE,Оприходование запасов 22 от 10.12.2024,WH_ART,35.0,57750.0,A,2026-05-31,DEAD_STOCK,57750.0,2026-07-29,YES,N
