legal_entity_id,tax_type,period,expected_due,status,files_n,files,amount_rub_anchor,text_extract,why,owner_action,blocks_gate,do_not_auto_accept,so_t
LE-IP-YANINA,USN,2024,Y,HAVE,1,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,993121,N/A,годовая УСН,OK — в пакете,N,YES,N
LE-IP-YANINA,USN,2025,Y,HAVE,1,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,1390632,N/A,годовая УСН,OK — в пакете,N,YES,N
LE-IP-YANINA,USN,2026,N,NOT_DUE,0,,,,NOT_DUE до конца 2026,не требовать сейчас,N,YES,N
LE-IP-YANINA,6NDFL,2024,Y,HAVE,1,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,1426959,N/A,годовой 6-НДФЛ,OK — в пакете,N,YES,N
LE-IP-YANINA,6NDFL,2025,Y,HAVE_DUP,2,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf | 6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,2202651,N/A,годовой 6-НДФЛ,Оставить один master; второй в quarantine duplicate,N,YES,N
LE-IP-YANINA,6NDFL,2026,N,NOT_DUE,0,,,,NOT_DUE (год не закрыт),не требовать сейчас,N,YES,N
LE-IP-YANINA,RSV,2024,Y,HAVE,1,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,3324230,N/A,годовой РСВ,OK — в пакете,N,YES,N
LE-IP-YANINA,RSV,2025,Y,HAVE,1,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,2752319,N/A,годовой РСВ,OK — в пакете,N,YES,N
LE-IP-YANINA,RSV,2026-Q1,Y,HAVE,1,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,1636332,N/A,квартальный РСВ,OK — в пакете,N,YES,N
LE-IP-YANINA,RSV,2026-Q2,Y,MISSING,0,,,,срок ~25.07.2026 — as_of 29.07,Запросить у Сливяк файл декларации/расчёта 2026-Q2,SOFT,YES,N
LE-IP-YANINA,NDS,2025-Q1,Y,HAVE,1,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,998748,N/A,НДС квартал,OK — в пакете,N,YES,N
LE-IP-YANINA,NDS,2025-Q2,Y,HAVE,1,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,1602606,N/A,НДС квартал,OK — в пакете,N,YES,N
