sales_line_id,canonical_sku,channel,sale_cat,bom_cat,sale_name,bom_name,old_cogs,new_cogs,old_source,old_margin,new_margin,cost_version_id,fix_type
SL-820701f97b879be6,0-3362,IM,блуза,топ,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,4924.5,500.0,W3_H5,35025.5,39450.0,CV-0d9e8ae3a65d24f4,CATEGORY_MISMATCH
SL-dbec249739f32ec5,0-2027F,IM,кафтан,платье,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,23250.0,7980.0,FILE,179150.0,194420.0,CV-0a97df79110a2260,CATEGORY_MISMATCH
SL-6487bee030f481b8,T-2973,TSUM,блуза,рубашка,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,46560.57,5919.43,FILE,26950.57,67591.71,CV-b6691478402e7e12,CATEGORY_MISMATCH
SL-3b979bc72faf11a7,T-2973,TSUM,блуза,рубашка,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,97298.86,11838.86,FILE,53901.14,139361.14,CV-b6691478402e7e12,CATEGORY_MISMATCH
SL-f9f778347bb7e92f,T-2973,TSUM,блуза,рубашка,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,48649.43,5919.43,FILE,26950.57,69680.57,CV-b6691478402e7e12,CATEGORY_MISMATCH
SL-f64a034630d959bb,T-2973,TSUM,блуза,рубашка,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,48649.43,5919.43,FILE,26950.57,69680.57,CV-b6691478402e7e12,CATEGORY_MISMATCH
SL-8fc760dde2234d24,T-2973B,TSUM,блуза,рубашка,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,49487.47,6757.47,FILE,26112.53,68842.53,CV-b389209735ee51e2,CATEGORY_MISMATCH
SL-d06d176be3857d62,T-2973B,TSUM,блуза,рубашка,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,153778.12,27029.9,FILE,104450.12,231198.34,CV-b389209735ee51e2,CATEGORY_MISMATCH
SL-afb7460265740e2e,T-2973B,TSUM,блуза,рубашка,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,49487.47,6757.47,FILE,26112.53,68842.53,CV-b389209735ee51e2,CATEGORY_MISMATCH
SL-dd394587151ef9cf,T-2973A,TSUM,блуза,рубашка,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,45999.23,5977.62,FILE,26892.39,66914.0,CV-7f42aba6bd3cc72f,CATEGORY_MISMATCH
SL-b3594872dedf8545,T-2973A,TSUM,блуза,рубашка,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,24539.58,5977.62,FILE,26892.39,45454.35,CV-7f42aba6bd3cc72f,CATEGORY_MISMATCH
SL-86aef1244cd283c4,T-2973A,TSUM,блуза,рубашка,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,48707.61,5977.62,FILE,26892.39,69622.38,CV-7f42aba6bd3cc72f,CATEGORY_MISMATCH
SL-16ef2d729e96f8c6,T-2973A,TSUM,блуза,рубашка,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,48707.61,5977.62,FILE,26892.39,69622.38,CV-7f42aba6bd3cc72f,CATEGORY_MISMATCH
SL-2eb1081c4d2d98d8,T-2973A,TSUM,блуза,рубашка,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,54685.22,11955.23,FILE,53784.78,96514.77,CV-7f42aba6bd3cc72f,CATEGORY_MISMATCH
SL-e00b8c105c05c1fb,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,35136.33,5400.7,FILE,12013.67,41749.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-1b24c0b062b35d5f,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,35136.33,5400.7,FILE,12013.67,41749.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-1dd8dadbc9e0fb6e,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",Топ на бретелях шелк,36461.33,5400.7,FILE,13038.67,44099.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-05dc05bb38c6479d,T-3069B,TSUM,блуза,топ,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",33562.92,5346.6,FILE,13477.08,41693.4,CV-4c8f25bb5b6644d1,CATEGORY_MISMATCH
SL-ed8919723ab41290,T-3069B,TSUM,блуза,топ,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",33562.92,5346.6,FILE,13477.08,41693.4,CV-4c8f25bb5b6644d1,CATEGORY_MISMATCH
SL-e2faea04e69f17e8,T-3069B,TSUM,блуза,топ,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",67125.84,10693.2,FILE,26954.16,83386.8,CV-4c8f25bb5b6644d1,CATEGORY_MISMATCH
SL-e881f4f38bf0eb9d,T-3069B,TSUM,блуза,топ,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",53126.84,10693.2,FILE,26954.16,69387.8,CV-4c8f25bb5b6644d1,CATEGORY_MISMATCH
SL-9abd3a83acfbbb34,T-2750D,TSUM,блуза,топ,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,65428.78,10828.77,FILE,31171.22,85771.23,CV-a82832bc6ebc43a7,CATEGORY_MISMATCH
SL-43749b825827e3f8,T-2750D,TSUM,блуза,топ,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,38859.76,10828.77,FILE,31171.22,59202.21,CV-a82832bc6ebc43a7,CATEGORY_MISMATCH
SL-cbe946424355a0ad,T-3069B,TSUM,блуза,топ,"Блуза-топ женская, голубая, из шелка, на тонких бретелях с вытачками","топ на тонких бретельках, шелк",31936.6,5346.6,FILE,15103.4,41693.4,CV-4c8f25bb5b6644d1,CATEGORY_MISMATCH
SL-e43064dea87acec8,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,32700.7,5400.7,FILE,15599.3,42899.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-2ed62109833ed2e5,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,28671.75,5400.7,FILE,15599.3,38870.35,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-08ebb8c40d59147f,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,32700.7,5400.7,FILE,15599.3,42899.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-4baf782a5a5da536,T-2750C,TSUM,блуза,топ,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,32700.7,5400.7,FILE,15599.3,42899.3,CV-e492aca3d0c5ac46,CATEGORY_MISMATCH
SL-c3a6d039358c62b9,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,35136.33,5350.27,FILE,12013.67,41799.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-e9e571c58c4c70b2,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,27936.33,5350.27,FILE,12013.67,34599.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-31f4c0eef3c95e39,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,140545.32,21401.09,FILE,48054.68,167198.91,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-887c957d373dff71,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,30421.33,5350.27,FILE,12013.67,37084.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-173f8bc144387f37,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,35136.33,5350.27,FILE,12013.67,41799.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-f039f11b978ac735,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,35136.33,5350.27,FILE,12013.67,41799.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-ec762e3ab0625e6d,T-3091D,TSUM,блуза,топ,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",131478.38,21759.37,FILE,62641.62,172360.63,CV-228527a2e28c206d,CATEGORY_MISMATCH
SL-0b2f4d121523726e,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,100906.2,16050.82,FILE,36041.01,120896.39,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-0a2a7e9dcb744630,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,25706.33,5350.27,FILE,12013.67,32369.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-51f61e82443a7092,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,31454.63,5350.27,FILE,12013.67,38118.03,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-26e0552036a38226,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,105408.99,16050.82,FILE,36041.01,125399.18,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-1f02e32112bbfce6,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,32650.2,5350.27,FILE,15649.8,42949.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-8b4450b76ae7e8ac,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,33434.29,5350.27,FILE,14865.71,42949.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-6640e4105121de24,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,32650.27,5350.27,FILE,15649.73,42949.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-5f7624f8c1b66c85,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,28838.09,5350.27,FILE,15649.73,39137.55,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-1ba0b1b6a8d3daea,T-2750B,TSUM,блуза,топ,"Блуза-топ женская, черная, из шелка, на бретелях",Топ на бретелях шелк,32650.27,5350.27,FILE,15649.73,42949.73,CV-98101a4547510f16,CATEGORY_MISMATCH
SL-9b7fb915a780c0f4,T-2910,TSUM,блуза,майка,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,91221.93,15849.93,FILE,42128.07,117500.07,CV-30dc1a0767b2c268,CATEGORY_MISMATCH
