period_month,article_name,amount_rub,n_lines
2024-01,аренда Дмитровка,1217953.68,1
2024-01,доставка,75635.37,2
2024-01,комиссия эквайринг,66440.04,2
2024-01,мебель,27704.0,1
2024-01,мероприятие,100.0,1
2024-01,налоги,93465.0,1
2024-01,оплата труда,661990.54,1
2024-01,"продукты, лекарства",8280.0,2
2024-01,производственное оборудование,77813.6,4
2024-01,расходники для изделий,51567.5,1
2024-01,расходы на помещения,385153.1,9
2024-01,"реклама, PR",152560.0,1
2024-01,софт,18601.2,1
2024-01,страхование,120000.0,1
2024-01,"ткани, фурнитура",301135.5,3
2024-01,торговое оборудование,3916.0,2
2024-01,услуги банка,8757.83,1
2024-02,аренда Дмитровка,1300000.0,1
2024-02,доставка,49008.54,3
2024-02,комиссия эквайринг,72790.97,2
2024-02,мебель,23867.0,2
2024-02,мероприятие,0.0,1
2024-02,налоги,821276.0,1
2024-02,оплата труда,1449482.0,1
2024-02,печатная продукция,49800.0,1
2024-02,"продукты, лекарства",4080.0,3
2024-02,производственное оборудование,126056.99,3
2024-02,расходники для изделий,206320.0,3
2024-02,расходы на помещения,133035.0,9
2024-02,ремонт оборудования,13450.0,1
2024-02,софт,13274.0,1
2024-02,"ткани, фурнитура",332932.0,12
2024-02,услуги банка,12203.0,1
2024-02,"цветы, украшения",5550.0,1
2024-02,юридические услуги,63500.0,3
2024-03,аренда Дмитровка,62756.65,1
2024-03,доставка,93566.09,2
2024-03,комиссия эквайринг,130658.77,2
2024-03,налоги,666316.0,1
2024-03,оплата труда,1624996.0,1
2024-03,печатная продукция,28620.0,1
2024-03,"продукты, лекарства",6120.0,3
2024-03,производственное оборудование,57477.0,2
2024-03,расходники для изделий,155240.0,3
2024-03,расходы на помещения,182015.01,9
2024-03,"реклама, PR",203231.25,1
2024-03,софт,269880.0,4
2024-03,"ткани, фурнитура",817869.0,5
2024-03,услуги банка,42760.0,1
2024-04,аренда Дмитровка,709936.77,1
2024-04,доставка,126103.53,2
2024-04,комиссия эквайринг,108835.0,2
2024-04,мебель,113686.0,1
2024-04,мероприятие,58346.0,2
2024-04,найм персонала,40000.0,1
2024-04,налоги,1713030.0,1
2024-04,оплата труда,2642853.0,1
2024-04,"продукты, лекарства",6120.0,3
2024-04,производственное оборудование,528918.0,2
2024-04,прочее,159374.5,1
2024-04,расходники для изделий,8940.0,1
2024-04,расходы на помещения,139462.23,8
2024-04,софт,18601.2,1
2024-04,страхование,57351.0,1
2024-04,"ткани, фурнитура",757437.0,2
2024-04,услуги банка,17662.0,1
2024-05,аренда Дмитровка,737784.03,1
2024-05,доставка,92913.42,1
2024-05,комиссия эквайринг,149270.47,2
2024-05,мебель,9973.0,1
2024-05,мероприятие,76730.0,1
2024-05,налоги,3327630.0,1
2024-05,оплата труда,750630.0,1
2024-05,печатная продукция,75900.0,1
2024-05,производственное оборудование,49777.0,1
2024-05,прочее,77331.0,1
2024-05,расходники для изделий,58161.0,1
2024-05,расходы на помещения,164098.92,1
2024-05,"реклама, PR",57600.0,1
2024-05,софт,34525.0,1
2024-05,"ткани, фурнитура",82274.01,2
2024-05,услуги банка,11705.0,1
2024-06,аренда Дмитровка,687064.33,1
2024-06,доставка,88560.86,2
2024-06,комиссия эквайринг,163435.22,2
