period_month,bank_core_out_rub,bank_card_out_rub,bank_salon_out_rub,bank_all_out_rub,dds_b_bn_rub,delta_core_vs_dds,status_core_vs_dds,note
2024-01,4107644.54,667396.08,127784.05,4235428.59,3271073.36,836571.18,WIDE_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-02,5462799.62,560065.71,96248.26,5559047.88,4676625.5,786174.12,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-03,4377932.54,372177.93,215914.51,4593847.05,4341505.77,36426.77,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-04,7834597.54,795161.78,106663.28,7941260.82,7206656.23,627941.31,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-05,6740657.02,392296.61,93272.0,6833929.02,5756302.85,984354.17,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-06,4317077.66,493671.44,95105.17,4412182.83,3359481.3,957596.36,WIDE_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-07,5521570.58,198895.5,132217.32,5653787.9,5450649.53,70921.05,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-08,4151511.8,84357.09,97517.48,4249029.28,3924355.47,227156.33,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-09,3702157.65,299763.51,89662.28,3791819.93,4160309.64,-458151.99,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-10,7479138.6,234456.58,1244127.18,8723265.78,7158856.17,320282.43,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-11,6876327.04,403563.83,99003.7,6975330.74,7054756.6,-178429.56,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2024-12,10724705.19,886165.5,115764.3,10840469.49,8872517.5,1852187.69,WIDE_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-01,5085083.77,245486.89,64240.59,5149324.36,4824145.99,260937.78,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-02,4626775.72,192402.54,135972.82,4762748.54,4656638.04,-29862.32,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-03,6330300.01,268047.62,232872.82,6563172.83,6119808.0,210492.01,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-04,10460836.84,265007.95,83489.82,10544326.66,9804821.22,656015.62,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-05,5010545.02,198806.08,109533.7,5120078.72,4774126.87,236418.15,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-06,6777131.88,265767.5,103197.9,6880329.78,6207331.33,569800.55,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-07,9231025.14,112756.81,150616.8,9381641.94,8721493.8,509531.34,SOFT_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-08,5621777.6,25743.0,688074.13,6309851.73,5777142.66,-155365.06,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-09,5239134.52,30420.44,100522.54,5339657.06,5238264.18,870.34,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-10,8274275.99,71563.25,150141.05,8424417.04,8364265.78,-89989.79,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-11,7354723.84,121080.15,127592.2,7482316.04,7525947.77,-171223.93,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2025-12,11250135.14,35217.0,163893.93,11414029.07,11243626.12,6509.02,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-01,4588104.47,32147.59,133647.51,4721751.98,4761846.84,-173742.37,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-02,5029262.42,39497.66,109876.51,5139138.93,6529234.45,-1499972.03,WIDE_GAP,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-03,8660732.02,133806.62,136895.52,8797627.54,8881677.23,-220945.21,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-04,10322274.76,83819.8,224193.18,10546467.94,10445054.28,-122779.52,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-05,7611716.75,63013.97,130093.58,7741810.33,7312359.03,299357.72,CLOSE,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
2026-06,5549424.35,102928.72,158459.86,5707884.21,0.0,5549424.35,BANK_ONLY,core=Alfa+VTB+card (IP/DEKOR perimeter); Salon Sber separated — not in classic DDS
