period_month,bank_out_gross_rub,bank_out_operating_rub,bank_in_operating_rub,dds_b_bn_rub,delta_op_vs_dds_bn,status,note
2024-01,12820248.46,3440248.46,6897991.8,3271073.36,169175.1,SOFT_GAP,operating = exclude internal own-account transfers
2024-02,9662733.91,4902733.91,6431079.87,4676625.5,226108.41,SOFT_GAP,operating = exclude internal own-account transfers
2024-03,14729970.51,4005754.61,9739361.03,4341505.77,-335751.16,SOFT_GAP,operating = exclude internal own-account transfers
2024-04,11079435.76,7039435.76,6581267.63,7206656.23,-167220.47,SOFT_GAP,operating = exclude internal own-account transfers
2024-05,16858360.41,6348360.41,12810985.6,5756302.85,592057.56,SOFT_GAP,operating = exclude internal own-account transfers
2024-06,11493406.22,3823406.22,11672235.08,3359481.3,463924.92,WIDE_GAP,operating = exclude internal own-account transfers
2024-07,19217675.08,5322675.08,11384374.32,5450649.53,-127974.45,SOFT_GAP,operating = exclude internal own-account transfers
2024-08,14117154.71,4067154.71,8334479.74,3924355.47,142799.24,SOFT_GAP,operating = exclude internal own-account transfers
2024-09,12176554.05,3402394.14,6841874.31,4160309.64,-757915.5,WIDE_GAP,operating = exclude internal own-account transfers
2024-10,12264682.02,7244682.02,9463884.24,7158856.17,85825.85,CLOSE,operating = exclude internal own-account transfers
2024-11,13457042.32,6472763.21,9313707.11,7054756.6,-581993.39,SOFT_GAP,operating = exclude internal own-account transfers
2024-12,14865161.29,9838539.69,14648355.63,8872517.5,966022.19,SOFT_GAP,operating = exclude internal own-account transfers
2025-01,11676612.67,4839596.88,7240737.18,4824145.99,15450.89,CLOSE,operating = exclude internal own-account transfers
2025-02,10871658.63,4434373.18,6397938.15,4656638.04,-222264.86,SOFT_GAP,operating = exclude internal own-account transfers
2025-03,8942252.39,6062252.39,6473658.29,6119808.0,-57555.61,CLOSE,operating = exclude internal own-account transfers
2025-04,11195828.89,10195828.89,9987451.29,9804821.22,391007.67,SOFT_GAP,operating = exclude internal own-account transfers
2025-05,11691738.94,4811738.94,8455255.1,4774126.87,37612.07,CLOSE,operating = exclude internal own-account transfers
2025-06,7561364.38,6511364.38,8970974.74,6207331.33,304033.05,SOFT_GAP,operating = exclude internal own-account transfers
2025-07,11844777.49,9118268.33,11248371.46,8721493.8,396774.53,SOFT_GAP,operating = exclude internal own-account transfers
2025-08,13214064.42,5596034.6,6945670.6,5777142.66,-181108.06,SOFT_GAP,operating = exclude internal own-account transfers
2025-09,10618714.08,5208714.08,7594253.61,5238264.18,-29550.1,CLOSE,operating = exclude internal own-account transfers
2025-10,9767712.74,8202712.74,11671216.51,8364265.78,-161553.04,CLOSE,operating = exclude internal own-account transfers
2025-11,19673643.69,7233643.69,16035299.31,7525947.77,-292304.08,SOFT_GAP,operating = exclude internal own-account transfers
2025-12,20519918.14,11214918.14,14638281.43,11243626.12,-28707.98,CLOSE,operating = exclude internal own-account transfers
2026-01,8080956.88,4555956.88,6809723.3,4761846.84,-205889.96,SOFT_GAP,operating = exclude internal own-account transfers
2026-02,7933764.76,4989764.76,7020105.82,6529234.45,-1539469.69,GAP,operating = exclude internal own-account transfers
2026-03,10954925.4,8526925.4,11336591.13,8881677.23,-354751.83,SOFT_GAP,operating = exclude internal own-account transfers
2026-04,11621454.96,10238454.96,14001458.97,10445054.28,-206599.32,CLOSE,operating = exclude internal own-account transfers
2026-05,9418702.78,7548702.78,7043214.28,7312359.03,236343.75,SOFT_GAP,operating = exclude internal own-account transfers
2026-06,8866495.63,5446495.63,9832267.93,0.0,5446495.63,BANK_ONLY,operating = exclude internal own-account transfers
