period_month,n_payroll_lines,zp_ctrl_rub,zp_ctrl_source,zp_cash_sum,zp_card_people_sum,zp_card_sheet_sum,zp_total_cash_plus_card,zp_gross_sum,dist_cash_total,dist_card_total,dds_payroll_all_rub,dds_payroll_bn_rub,delta_zp_vs_dds,status_zp_vs_dds,bank_zp_like_out,delta_card_vs_bank_zp,status_card_vs_bank
2024-01,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,9473220.54,661990.54,-9473220.54,DDS_ONLY,664384.37,,N/A
2024-02,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,6768132.0,1449482.0,-6768132.0,DDS_ONLY,1455207.66,,N/A
2024-03,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,7301896.0,1624996.0,-7301896.0,DDS_ONLY,1635845.1,,N/A
2024-04,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,7977453.0,2642853.0,-7977453.0,DDS_ONLY,2650494.91,,N/A
2024-05,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,6517980.0,750630.0,-6517980.0,DDS_ONLY,755761.71,,N/A
2024-06,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,7870267.69,1719167.69,-7870267.69,DDS_ONLY,1723969.9,,N/A
2024-07,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,7609416.7,1703666.7,-7609416.7,DDS_ONLY,1708677.49,,N/A
2024-08,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,5917080.86,1672580.86,-5917080.86,DDS_ONLY,1812475.86,,N/A
2024-09,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,6709224.46,1011724.46,-6709224.46,DDS_ONLY,1014679.99,,N/A
2024-10,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,8492578.48,1519753.48,-8492578.48,DDS_ONLY,1524257.23,,N/A
2024-11,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,8204252.51,1946052.51,-8204252.51,DDS_ONLY,1952734.37,,N/A
2024-12,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,9588833.1,2862731.1,-9588833.1,DDS_ONLY,2903152.14,,N/A
2025-01,80,1736450.0,distribution,7410628.0,1692950.0,1736449.21,9103578.0,19442101.68,1736450.0,,2162299.67,1791349.67,-425849.67,WIDE_GAP,1796632.38,-60183.17,CLOSE
2025-02,83,1891753.0,distribution,18316100.0,1740253.0,1783752.68,20056353.0,29792246.86,1891753.0,,9772279.0,725394.0,-7880526.0,GAP,730545.75,1053206.93,GAP
2025-03,86,3475724.58,distribution,17808610.0,1811020.0,1854519.45,19619630.0,30001335.88,1737862.29,1737862.29,7219118.21,1760568.21,-3743393.63,GAP,1765966.03,88553.42,CLOSE
2025-04,89,1915354.0,distribution,7337500.0,1871854.0,1914905.73,9209354.0,20436918.32,1915354.0,,8990136.3,3028336.3,-7074782.3,GAP,3073042.48,-1158136.75,GAP
2025-05,88,9848320.0,lines_cash_plus_card,7969800.0,1878520.0,1956958.5,9848320.0,21019072.09,,,7139623.0,875823.0,2708697.0,GAP,880944.36,1076014.14,GAP
2025-06,86,2460851.0,distribution,9388400.0,2417351.0,3112009.55,11805751.0,24976169.13,2460851.0,,8886528.0,1902728.0,-6425677.0,GAP,1933961.98,1178047.57,GAP
2025-07,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,11200096.39,2948703.39,-11200096.39,DDS_ONLY,3215003.77,,N/A
2025-08,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,8445727.58,2218477.58,-8445727.58,DDS_ONLY,2224333.03,,N/A
2025-09,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,6613012.51,1970012.51,-6613012.51,DDS_ONLY,1975030.26,,N/A
2025-10,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,8328408.21,2578808.21,-8328408.21,DDS_ONLY,2586064.59,,N/A
2025-11,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,9098315.46,2784415.46,-9098315.46,DDS_ONLY,2853476.66,,N/A
2025-12,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,18420901.93,5053801.93,-18420901.93,DDS_ONLY,5073786.68,,N/A
2026-01,97,185846.5,distribution,7308100.0,3035798.0,3035797.77,10343898.0,18558869.42,185846.5,,1765862.0,1173362.0,-1580015.5,GAP,1183388.76,1852409.01,GAP
2026-02,95,9488504.96,lines_cash_plus_card,6362613.96,3125891.0,3125889.71,9488504.96,12088317.96,,,9587903.01,3156703.01,-99398.05,CLOSE,3160451.55,-34561.84,CLOSE
2026-03,94,9518278.0,distribution,6173506.71,3042478.0,3042480.29,9215984.71,15732646.02,6475800.0,3042478.0,8197803.89,2943703.89,1320474.11,WIDE_GAP,2951738.85,90741.44,CLOSE
2026-04,99,9144149.0,distribution,5970449.51,3132449.0,3132448.96,9102898.51,14341123.27,6011700.0,3132449.0,9019143.17,3107643.17,125005.83,CLOSE,3117016.2,15432.76,CLOSE
2026-05,94,9648298.94,distribution,6715796.79,3293198.94,3321500.76,10008995.73,10931694.7,6355100.0,3293198.94,8459897.75,3278397.75,1188401.19,WIDE_GAP,3290103.05,31397.71,CLOSE
2026-06,0,0.0,lines_cash_plus_card,0.0,0.0,0.0,0.0,0.0,,,815500.0,0.0,-815500.0,DDS_ONLY,3144056.87,,N/A
