canonical_sku,period_year,qty,sales_amount_rub,unit_cost_rub,cogs_rub,margin_rub,margin_pct,cost_version_id,cost_owner,sales_line_id
0-2600,2024,1.0,37957.0,4834.73,4834.73,33122.27,87.26,CV-e51e3a535bbd3abf,MERKUSHINA,SL-7ae357426ad94094
0-2604,2024,1.0,30000.0,5391.0,5391.0,24609.0,82.03,CV-dab88f447b818829,ZHUKOVA,SL-6e62bb0c072de43b
0-2604,2024,1.0,30000.0,5391.0,5391.0,24609.0,82.03,CV-dab88f447b818829,ZHUKOVA,SL-d8c3bdce1a00a341
0-2673,2024,1.0,66087.0,16500.385000000002,16500.39,49586.61,75.03,CV-9a26e7fd523a44fd,MERKUSHINA,SL-ca7e6f2f8a100c44
0-2673,2024,1.0,66087.0,16500.385000000002,16500.39,49586.61,75.03,CV-9a26e7fd523a44fd,MERKUSHINA,SL-1dfc6237754edc36
T-2754A,2024,1.0,49300.0,13974.42,13974.42,35325.58,71.65,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-bb2c8a922ee35e0a
T-2754A,2024,4.0,197200.0,13974.42,55897.68,141302.32,71.65,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-d5e8d36a384d01df
T-2541,2024,1.0,47702.19,14130.0,14130.0,33572.19,70.38,CV-6452e36061ecce6a,ZHUKOVA,SL-da88efbcc8c3ab56
T-2541,2024,1.0,48000.0,14130.0,14130.0,33870.0,70.56,CV-6452e36061ecce6a,ZHUKOVA,SL-cd74bfad21664be1
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-8075864ad48978b5
T-2750B,2024,2.0,40322.2,5350.272727272727,10700.55,29621.65,73.46,CV-98101a4547510f16,MERKUSHINA,SL-c6674ee74b76f403
T-2541,2024,1.0,48000.0,14130.0,14130.0,33870.0,70.56,CV-6452e36061ecce6a,ZHUKOVA,SL-8e7377ca4e599be5
T-2541,2024,2.0,94444.24,14130.0,28260.0,66184.24,70.08,CV-6452e36061ecce6a,ZHUKOVA,SL-dc67d78416cdf22f
T-2541,2024,3.0,144000.0,14130.0,42390.0,101610.0,70.56,CV-6452e36061ecce6a,ZHUKOVA,SL-71d442b872415fb7
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-36b61decb47dbe2d
T-2750B,2024,3.0,61500.0,5350.272727272727,16050.82,45449.18,73.9,CV-98101a4547510f16,MERKUSHINA,SL-a33efb1adf4ad924
T-2750B,2024,4.0,82000.0,5350.272727272727,21401.09,60598.91,73.9,CV-98101a4547510f16,MERKUSHINA,SL-226dd980203932b2
T-2754,2024,2.0,98600.0,12427.0,24854.0,73746.0,74.79,CV-8113ccdecf64328b,MERKUSHINA,SL-2de2b6f07db12d47
T-2754,2024,6.0,293756.12,12427.0,74562.0,219194.12,74.62,CV-8113ccdecf64328b,MERKUSHINA,SL-149cd3ac81876539
T-1960,2024,2.0,80200.0,12587.0,25174.0,55026.0,68.61,CV-31d4b0b9159c30c4,ZHUKOVA,SL-69ff16af842a2000
T-1960,2024,2.0,82413.83,12587.0,25174.0,57239.83,69.45,CV-31d4b0b9159c30c4,ZHUKOVA,SL-824b6164128137db
T-1960,2024,1.0,41006.27,12587.0,12587.0,28419.27,69.3,CV-31d4b0b9159c30c4,ZHUKOVA,SL-7e6cc826f7759ef0
T-1960,2024,1.0,41698.45,12587.0,12587.0,29111.45,69.81,CV-31d4b0b9159c30c4,ZHUKOVA,SL-eeeb442f18471b0c
T-2703,2024,1.0,52500.0,22134.833333333332,22134.83,30365.17,57.84,CV-bc48d74829029943,MERKUSHINA,SL-20ad685d14432b0b
T-2703,2024,2.0,105000.0,22134.833333333332,44269.67,60730.33,57.84,CV-bc48d74829029943,MERKUSHINA,SL-c81a626154359725
T-2703,2024,1.0,52500.0,22134.833333333332,22134.83,30365.17,57.84,CV-bc48d74829029943,MERKUSHINA,SL-186cc401b14bb442
T-2541,2024,1.0,48028.39,14130.0,14130.0,33898.39,70.58,CV-6452e36061ecce6a,ZHUKOVA,SL-d6f90f89c209b022
T-1960,2024,1.0,41006.27,12587.0,12587.0,28419.27,69.3,CV-31d4b0b9159c30c4,ZHUKOVA,SL-1eb2caa59774e80f
T-2754A,2024,1.0,49329.03,13974.42,13974.42,35354.61,71.67,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-c2f5a0c61ba1a6f1
T-2754A,2024,1.0,49329.03,13974.42,13974.42,35354.61,71.67,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-336eaf1e520531de
T-2541,2024,1.0,48028.39,14130.0,14130.0,33898.39,70.58,CV-6452e36061ecce6a,ZHUKOVA,SL-0dfdf5485422ac5e
T-2750B,2024,2.0,40333.99,5350.272727272727,10700.55,29633.44,73.47,CV-98101a4547510f16,MERKUSHINA,SL-5e6a4a9c8149cd13
T-2754,2024,1.0,49329.03,12427.0,12427.0,36902.03,74.81,CV-8113ccdecf64328b,MERKUSHINA,SL-9f553bd0f68088e1
T-2754,2024,1.0,49329.03,12427.0,12427.0,36902.03,74.81,CV-8113ccdecf64328b,MERKUSHINA,SL-8ff6801a4381ee2b
T-2754A,2024,1.0,48438.72,13974.42,13974.42,34464.3,71.15,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-a2a126a893b5745f
T-2754A,2024,1.0,49300.0,13974.42,13974.42,35325.58,71.65,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-33b97beadb7b5be1
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-537e4a892dc9392a
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-8a3bcc8672532ccd
T-2541,2024,1.0,48000.0,14130.0,14130.0,33870.0,70.56,CV-6452e36061ecce6a,ZHUKOVA,SL-2e8240933679876c
T-2754,2024,2.0,98600.0,12427.0,24854.0,73746.0,74.79,CV-8113ccdecf64328b,MERKUSHINA,SL-4cf9f4352581fd15
T-1960,2024,1.0,42216.56,12587.0,12587.0,29629.56,70.18,CV-31d4b0b9159c30c4,ZHUKOVA,SL-f9b5dbdfa3b7bb1e
T-2703,2024,2.0,106105.34,22134.833333333332,44269.67,61835.67,58.28,CV-bc48d74829029943,MERKUSHINA,SL-36082b168a65c2a6
0-2673,2024,1.0,66087.0,16500.385000000002,16500.39,49586.61,75.03,CV-9a26e7fd523a44fd,MERKUSHINA,SL-94f67fc778febe66
T-2754A,2024,1.0,49300.0,13974.42,13974.42,35325.58,71.65,CV-ebd04cd95ff4da3e,MERKUSHINA,SL-d7a9a50e4476bf6d
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-ad94d2454fc0ecd0
T-2750B,2024,1.0,20500.0,5350.272727272727,5350.27,15149.73,73.9,CV-98101a4547510f16,MERKUSHINA,SL-64bbc1d2263d7d1f
T-2754,2024,1.0,49300.0,12427.0,12427.0,36873.0,74.79,CV-8113ccdecf64328b,MERKUSHINA,SL-0b6e3f1939d57e2d
T-1960,2024,1.0,40100.0,12587.0,12587.0,27513.0,68.61,CV-31d4b0b9159c30c4,ZHUKOVA,SL-d441b25f41338ec7
T-2703,2024,1.0,52500.0,22134.833333333332,22134.83,30365.17,57.84,CV-bc48d74829029943,MERKUSHINA,SL-2c1b81473d38e66b
