sku_id,canonical_sku,article,code_1c,name,in_cost,in_sales,in_intersection,sales_revenue_rub,status
SKU-bdba3194a77190e4,00-00000202,,00-00000202,Доставка по миру,N,N,N,,CANDIDATE_MASTER
SKU-a063f88fc17f5bd9,00-00000131,,00-00000131,Доставка по Москве,N,N,N,,CANDIDATE_MASTER
SKU-0cee55c023fc4e12,00-00000132,,00-00000132,Доставка по России,N,N,N,,CANDIDATE_MASTER
SKU-f420e52d1b55fae1,00-00000133,,00-00000133,Международная доставка,N,N,N,,CANDIDATE_MASTER
SKU-4f85f1d854515ff7,00-00000909,,00-00000909,"Блуза женская, черная, из бархата, декорирована белым воротником и ниткой жемчуга",N,N,N,,CANDIDATE_MASTER
SKU-13f64e13f87ec00e,00-00001773,,00-00001773,"Брюки женские, черные, из бархата, прямого кроя, на резинке",N,N,N,,CANDIDATE_MASTER
SKU-c55eae89e030f37b,00-00000768,,00-00000768,Комиссионное вознаграждение,N,N,N,,CANDIDATE_MASTER
SKU-8f5163a90475e2cc,00-00001881,,00-00001881,"Юбк женская, серая, из льна",N,N,N,,CANDIDATE_MASTER
SKU-118cbab8fe6c6f60,00-00000595,,00-00000595,Доставка DPD Екатеринбург,N,N,N,,CANDIDATE_MASTER
SKU-a7425ff8ad14cc47,0-1036,0-1036,00-00000196,"Юбка женская, зеленая с рисунком, из хлопка",N,N,N,,CANDIDATE_MASTER
SKU-99848a35354b1594,0-1040,0-1040,00-00000384,"Платье женское, зеленое, из шелковой ткани",N,N,N,,CANDIDATE_MASTER
SKU-14832cc8c8f29149,0-1043,0-1043,00-00000865,"Пальто женское, черное, из бархата, с расшитыми ""звездами""",N,Y,N,434653.82,CANDIDATE_MASTER
SKU-5e48f9aa78a93643,0-1050,0-1050,00-00000205,"Платье-рубашка женское, серое в горох, из хлопка",N,N,N,,CANDIDATE_MASTER
SKU-3085dcb5f43828e0,0-1053,0-1053,00-00000439,"Жилет женский, черный, из шерстяной ткани, с отделкой из металлических ""молний""",N,N,N,,CANDIDATE_MASTER
SKU-800c573f32029c01,0-1068,0-1068,00-00000252,"Халат женский, черный,  из шелка,с вышивкой и белым кантом",N,N,N,,CANDIDATE_MASTER
SKU-3554a47789bfb14f,0-1075,0-1075,00-00000026,"Блуза женская, белая, из трикотажа, с логотипом YANINA",N,N,N,,CANDIDATE_MASTER
SKU-fa806fd263f74b89,0-1075A,0-1075А,00-00000667,"Блуза женская, белая, из трикотажа, с отделкой из жемчуга по горловине",N,N,N,,CANDIDATE_MASTER
SKU-a649809acdfef7fc,0-1075B,0-1075В,00-00000668,"Блуза женская, черная, из трикотажа, с отделкой из жемчуга по горловине",N,N,N,,CANDIDATE_MASTER
SKU-91175f0949bc4e18,0-1079,0-1079,00-00001217,"Юбка женская, зеленая, из сетки, с расшивкой зелеными пайетками",N,N,N,,CANDIDATE_MASTER
