canonical_sku,article_aliases,name_samples,seen_in_tsum,seen_in_cost,in_intersection,tsum_qty_total,tsum_amount_total
0,0,,N,Y,N,0.0,0.0
0-0118,0-0118,рукава,N,Y,N,0.0,0.0
0-0118M,0-0118 М,рукава,N,Y,N,0.0,0.0
0-1043,0-1043,"Пальто женское, с расшитыми ""з(Черный/S)НЕ00788232",Y,N,N,1.0,194783.0
0-1098B,0-1098В,БЛУЗА,N,Y,N,0.0,0.0
0-1178,0-1178,ПАЛЬТО | ПАЛЬТО-ХАЛАТ,N,Y,N,0.0,0.0
0-1187,0-1187,ПИЖАМА,N,Y,N,0.0,0.0
0-1187D,0-1187D,"Блуза женская, черная, из шелк(Черный/S-M)НЕ00850007",Y,N,N,1.0,54783.0
0-1237A,0-1237А,Платье Бархатное черное,N,Y,N,0.0,0.0
0-1283,0-1283,брюки | брюки н/п,N,Y,N,0.0,0.0
0-1302,0-1302,блузон,N,Y,N,0.0,0.0
0-1380,0-1380,"блуза ""сереб листья""",N,Y,N,0.0,0.0
0-1416,0-1416,"БРЮКИ | Брюки женские (джогеры), из стрейч бархата, с шелковым лампасом",N,Y,N,0.0,0.0
0-1416B,0-1416В,ДЖОГГЕРЫ,N,Y,N,0.0,0.0
0-1418,0-1418,БЛУЗА | СВИТШОТ,N,Y,N,0.0,0.0
0-1418A,0-1418А,СВИТШОТ,N,Y,N,0.0,0.0
0-1442,0-1442,ЮБКА,N,Y,N,0.0,0.0
0-1486,0-1486,ЮБКА | ЮбкаЧерный Пайетки,N,Y,N,0.0,0.0
0-1486C,0-1486С,ЮБКА,N,Y,N,0.0,0.0
0-1487,0-1487,ЮБКА | Юбкасеребро Пайетки,N,Y,N,0.0,0.0
0-1559,0-1559,КЕЙП,N,Y,N,0.0,0.0
0-1672,0-1672,РУБАШКА,N,Y,N,0.0,0.0
0-1672A,0-1672A,"Рубашка женская, из хлопка, с(Белый/NS)НЕ00821326",Y,N,N,1.0,13130.0
0-1672B,0-1672В | 0-1672В/1,РУБАШКА,N,Y,N,0.0,0.0
0-1672C,0-1672C/1 | 0-1672С/1,"РУБАШКА | Рубашка в белом цвете, новая надпись",N,Y,N,0.0,0.0
0-1742,0-1742,блузон Жаклин,N,Y,N,0.0,0.0
0-1934,0-1934,ШОПЕР,N,Y,N,0.0,0.0
0-1960,0-1960,БЛУЗА,N,Y,N,0.0,0.0
0-1968,0-1968,ПАЛЬТО,N,Y,N,0.0,0.0
0-1984П,0-1984П,ФУТБОЛКА,N,Y,N,0.0,0.0
0-2007A,0-2007A | 0-2007А,БРЮКИ,N,Y,N,0.0,0.0
0-2027,0-2027,кафтан,N,Y,N,0.0,0.0
0-2027F,0-2027F | 0-2027F/1,КАФТАН | Н/ПЛАТЬЕ,N,Y,N,0.0,0.0
0-2028,0-2028,КИМОНО,N,Y,N,0.0,0.0
0-2029,0-2029,ШОРТЫ,N,Y,N,0.0,0.0
0-2032,0-2032,БЛУЗА | куртка батист,N,Y,N,0.0,0.0
