sales_line_id,channel,period_year,period_month,article_raw,canonical_sku,item_id,color,name_raw,qty,sales_amount_rub,amount_meaning,store,source_file_id,source_row_id,cost_version_id,unit_cost_rub,margin_rub,margin_pct,match_status,cost_owner
SL-4c25e2a9267d75a0,TSUM,2024,,0-2125,0-2125,НЕ00788177,Черный,Платье женское(Черный/M-L)НЕ00788177,1.0,98186.29,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r7,,,,,UNMATCHED,
SL-4b3744d545044d3b,TSUM,2024,,0-1043,0-1043,НЕ00788232,Черный,"Пальто женское, с расшитыми ""з(Черный/S)НЕ00788232",1.0,194783.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r8,,,,,UNMATCHED,
SL-02ef67ab986c6e51,TSUM,2024,,0-2397,0-2397,НЕ00798825,Черный,Платье женское(Черный/S-M)НЕ00798825,1.0,119960.43,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r9,,,,,UNMATCHED,
SL-60ef4cef4f2f4cca,TSUM,2024,,0-1672A,0-1672A,НЕ00821326,БЕЛЫЙ,"Рубашка женская, из хлопка, с(Белый/NS)НЕ00821326",1.0,13130.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r10,,,,,UNMATCHED,
SL-f92407fced161149,TSUM,2024,,0-2478,0-2478,НЕ00830858,БЕЛЫЙ,"Рубашка женская, из хлопка, с(Белый/S-M)НЕ00830858",1.0,22319.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r11,,,,,UNMATCHED,
SL-4dee05dab9b80310,TSUM,2024,,0-2491,0-2491,НЕ00830862,БЕЛЫЙ,Платье женское длинное из бело(Белый/NS)НЕ00830862,1.0,53326.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r12,,,,,UNMATCHED,
SL-8367ebafcd0a1f2c,TSUM,2024,,0-2482A,0-2482A,НЕ00830866,Черный,"Брюки женские, чёрные с принто(Черный/S-M)НЕ00830866",1.0,27259.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r13,,,,,UNMATCHED,
SL-956969514eb71ff9,TSUM,2024,,0-2246B,0-2246B,НЕ00830951,РОЗОВЫЙ,Платье женское(Розовый/M-L)НЕ00830951,1.0,42337.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r14,,,,,UNMATCHED,
SL-c14cc42b83d0aa72,TSUM,2024,,0-2499,0-2499,НЕ00831079,РОЗОВЫЙ,"Платье женское, розовое с прин(Розовый/S-M)НЕ00831079",1.0,40116.52,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r15,,,,,UNMATCHED,
SL-874bfc1456a04352,TSUM,2024,,0-2481А,0-2481A,НЕ00831080,Черный,"Брюки пижамные женские, черные(Разноцв/S-M)НЕ00831080",1.0,34336.75,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r16,,,,,UNMATCHED,
SL-66bffb95294fd2bf,TSUM,2024,,0-2477А,0-2477A,НЕ00831092,Черный,"Рубашка пижамная женская, черн(Разноцв/M-L)НЕ00831092",1.0,59270.91,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r17,,,,,UNMATCHED,
SL-c6377418e9122827,TSUM,2024,,0-2493,0-2493,НЕ00831093,БЕЛЫЙ,"Платье женское, белое с принто(Белый/M-L)НЕ00831093",1.0,40037.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r18,,,,,UNMATCHED,
SL-700cbbaf4d386ef2,TSUM,2024,,0-2493,0-2493,НЕ00831093,БЕЛЫЙ,"Платье женское, белое с принто(Белый/S-M)НЕ00831093",3.0,123648.57,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r19,,,,,UNMATCHED,
SL-9c7d2539de66f31a,TSUM,2024,,0-2492,0-2492,НЕ00831094,Черный,"Платье женское, черное с 3D пр(Черный/S-M)НЕ00831094",1.0,80074.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r20,,,,,UNMATCHED,
SL-1d7f644daecaa363,TSUM,2024,,0-2593/2,0-2593,НЕ00849558,Черный,Свитер женский вязаный на вяза(Черный/S-M)НЕ00849558,1.0,57521.74,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r21,,,,,UNMATCHED,
SL-e8c98c53f30e6c56,TSUM,2024,,0-2592/4,0-2592,НЕ00849559,зеленый,"Свитер женский, зеленый, из ка(Зеленый/S-M)НЕ00849559",1.0,46957.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r22,,,,,UNMATCHED,
SL-b5d1ac51914d2bf6,TSUM,2024,,0-2592/1,0-2592,НЕ00849560,Черный,"Свитер женский, черный, из каш(Черный/S-M)НЕ00849560",1.0,46957.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r23,,,,,UNMATCHED,
SL-8effe0373ac200eb,TSUM,2024,,0-2599,0-2599,НЕ00849673,Черный,"Жакет женский, черный, из креп(Черный/M-L)НЕ00849673",1.0,124752.77,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r24,,,,,UNMATCHED,
SL-2064bc81841651e1,TSUM,2024,,0-2468А,0-2468A,НЕ00849674,Черный,"Платье женское, черное в белый(Черный/M-L)НЕ00849674",1.0,109565.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r25,,,,,UNMATCHED,
SL-d6dc090cb981c147,TSUM,2024,,0-2462А,0-2462A,НЕ00849676,Черный,"Жакет женский, черный, из стре(Черный/M-L)НЕ00849676",0.0,0.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r26,,,,,UNMATCHED,
SL-22de260234d40bd4,TSUM,2024,,0-2462А,0-2462A,НЕ00849676,Черный,"Жакет женский, черный, из стре(Черный/S-M)НЕ00849676",1.0,54783.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r27,,,,,UNMATCHED,
SL-7ae357426ad94094,TSUM,2024,,0-2600,0-2600,НЕ00849679,Черный,Брюки-капри из чёрного шелка д(Черный/S-M)НЕ00849679,1.0,37957.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r28,CV-e51e3a535bbd3abf,4834.73,33122.27,87.26,MATCHED,MERKUSHINA
SL-6e62bb0c072de43b,TSUM,2024,,0-2604,0-2604,НЕ00849680,Черный,"Юбка женская, черная, из стрей(Черный/M-L)НЕ00849680",1.0,30000.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r29,CV-dab88f447b818829,5391.0,24609.0,82.03,MATCHED,ZHUKOVA
SL-d8c3bdce1a00a341,TSUM,2024,,0-2604,0-2604,НЕ00849680,Черный,"Юбка женская, черная, из стрей(Черный/S-M)НЕ00849680",1.0,30000.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r30,CV-dab88f447b818829,5391.0,24609.0,82.03,MATCHED,ZHUKOVA
SL-23e7faa7a7a4ae53,TSUM,2024,,0-2590,0-2590,НЕ00849681,Черный,"Платье женское, черное, корсет(Черный/S-M)НЕ00849681",0.0,0.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r31,,,,,UNMATCHED,
SL-e1c7e9992b21ed7d,TSUM,2024,,0-2594,0-2594,НЕ00849749,Черный,"Куртка-бомбер женская, черная,(Черный/M-L)НЕ00849749",1.0,140869.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r32,,,,,UNMATCHED,
SL-5b859a11af174d9f,TSUM,2024,,0-2594,0-2594,НЕ00849749,Черный,"Куртка-бомбер женская, черная,(Черный/S-M)НЕ00849749",1.0,140869.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r33,,,,,UNMATCHED,
SL-878ffbbb7cda7f39,TSUM,2024,,0-2464,0-2464,НЕ00849750,Черный,"Пальто женское, черное, из стр(Черный/M-L)НЕ00849750",1.0,70435.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r34,,,,,UNMATCHED,
SL-0183b2cea3bf9642,TSUM,2024,,0-2597,0-2597,НЕ00849756,Черный,"Пальто женское, черное, из шер(Черный/S-M)НЕ00849756",1.0,141746.05,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r35,,,,,UNMATCHED,
SL-6ae866a885e86624,TSUM,2024,,0-1187D,0-1187D,НЕ00850007,Черный,"Блуза женская, черная, из шелк(Черный/S-M)НЕ00850007",1.0,54783.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r36,,,,,UNMATCHED,
SL-01595d90388e46a4,TSUM,2024,,0-2595,0-2595,НЕ00850008,Черный,"Жакет женский, черный, из барх(Черный/S-M)НЕ00850008",1.0,101739.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r37,,,,,UNMATCHED,
SL-14a10ef5b086b28b,TSUM,2024,,0-2598,0-2598,НЕ00850009,Черный,"Брюки женские, черные, из шелк(Черный/M-L)НЕ00850009",1.0,47123.65,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r38,,,,,UNMATCHED,
SL-c50f73deb39aca32,TSUM,2024,,0-2598,0-2598,НЕ00850009,Черный,"Брюки женские, черные, из шелк(Черный/S-M)НЕ00850009",2.0,93848.23,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r39,,,,,UNMATCHED,
SL-ea5c91cb3cb9029d,TSUM,2024,,0-2469A,0-2469A,НЕ00850285,Черный,Платье женское(Черный/S-M)НЕ00850285,1.0,86087.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r40,,,,,UNMATCHED,
SL-785ba12100fbd709,TSUM,2024,,0-2461,0-2461,НЕ00850286,Черный,"Платье женское, из исскуственн(Черный/S-M)НЕ00850286",1.0,94321.55,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r41,,,,,UNMATCHED,
SL-f5779594aff528ba,TSUM,2024,,0-2397B,0-2397B,НЕ00861923,Черный,Накидка-болеро(Черный/M-L)НЕ00861923,1.0,103500.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r42,,,,,UNMATCHED,
SL-4270bff666be9d14,TSUM,2024,,0-2676,0-2676,НЕ00865006,Черный,"Брюки женские, черные, из барх(Черный/M-L)НЕ00865006",2.0,99772.26,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r43,,,,,UNMATCHED,
SL-f8d170717beb8315,TSUM,2024,,0-2676,0-2676,НЕ00865006,Черный,"Брюки женские, черные, из барх(Черный/S-M)НЕ00865006",1.0,0.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r44,,,,,UNMATCHED,
SL-eab9a2abbabf6e71,TSUM,2024,,0-2675,0-2675,НЕ00865007,Черный,Жакет женский(Черный/M-L)НЕ00865007,2.0,199359.12,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r45,,,,,UNMATCHED,
SL-33ce3c1fda0951db,TSUM,2024,,0-2675,0-2675,НЕ00865007,Черный,Жакет женский(Черный/S-M)НЕ00865007,2.0,101935.13,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r46,,,,,UNMATCHED,
SL-a618599f1611c0c2,TSUM,2024,,0-2683,0-2683,НЕ00865008,Черный,"Платье женское, из шелка в бел(Черный/M-L)НЕ00865008",1.0,117766.96,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r47,,,,,UNMATCHED,
SL-7f3b168afafcc44a,TSUM,2024,,0-2683,0-2683,НЕ00865008,Черный,"Платье женское, из шелка в бел(Черный/S-M)НЕ00865008",1.0,120634.11,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r48,,,,,UNMATCHED,
SL-249852b0f6967546,TSUM,2024,,0-2816,0-2816,НЕ00866517,Черный,"Платье женское, черное, из бар(Черный/M-L)НЕ00866517",1.0,107391.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r49,,,,,UNMATCHED,
SL-99a67266370fdef7,TSUM,2024,,0-2816,0-2816,НЕ00866517,Черный,"Платье женское, черное, из бар(Черный/S-M)НЕ00866517",1.0,107391.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r50,,,,,UNMATCHED,
SL-652b2cc26164ff71,TSUM,2024,,0-2815,0-2815,НЕ00866518,Черный,Платье женское(Черный/M-L)НЕ00866518,3.0,222237.16,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r51,,,,,UNMATCHED,
SL-e5d0f4dc4be141bf,TSUM,2024,,0-2815,0-2815,НЕ00866518,Черный,Платье женское(Черный/S-M)НЕ00866518,1.0,74348.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r52,,,,,UNMATCHED,
SL-de794680c3de86f4,TSUM,2024,,0-2666,0-2666,НЕ00866883,СЕРЕБРИСТЫЙ,Юбка женская(NS/M-L)НЕ00866883,1.0,66087.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r53,,,,,UNMATCHED,
SL-e14b8ad5a82dded9,TSUM,2024,,0-2666,0-2666,НЕ00866883,СЕРЕБРО,Юбка женская(Серебряный/M-L)НЕ00866883,2.0,132933.93,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r54,,,,,UNMATCHED,
SL-66c46e51234778b0,TSUM,2024,,0-2666,0-2666,НЕ00866883,СЕРЕБРО,Юбка женская(Серебряный/S-M)НЕ00866883,1.0,0.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r55,,,,,UNMATCHED,
SL-bdb2efe9b7a3582a,TSUM,2024,,0-2817,0-2817,НЕ00866884,БЕЛЫЙ,Блуза женская(Белый/M-L)НЕ00866884,1.0,52500.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r56,,,,,UNMATCHED,
SL-31ae6fcde756eefd,TSUM,2024,,0-2817,0-2817,НЕ00866884,БЕЛЫЙ,Блуза женская(Белый/S-M)НЕ00866884,1.0,52500.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r57,,,,,UNMATCHED,
SL-2e32fffccdf7da2a,TSUM,2024,,0-2674,0-2674,НЕ00866885,Черный,"Брюки женские, из бархата стре(Черный/M-L)НЕ00866885",1.0,40065.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r58,,,,,UNMATCHED,
SL-099f10cec95aba1d,TSUM,2024,,0-2669А,0-2669A,НЕ00866886,Черный,"Платье женское, из бархата стр(Черный/M-L)НЕ00866886",1.0,108625.51,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r59,,,,,UNMATCHED,
SL-3d8ff837bf227599,TSUM,2024,,0-2721,0-2721,НЕ00866887,БЕЖЕВЫЙ,"Платье женское, из шифона, дли(Бежевый/M-L)НЕ00866887",1.0,132200.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r60,,,,,UNMATCHED,
SL-85ffc0deb578364d,TSUM,2024,,0-2658А,0-2658A,НЕ00866888,СЕРЕБРО,"Платье женское, из паейток, с(Серебряный/S-M)НЕ00866888",1.0,81370.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r61,,,,,UNMATCHED,
SL-6c09e275ecb9b165,TSUM,2024,,0-2661,0-2661,НЕ00866889,Черный,"Платье женское, черное, из шел(Черный/S-M)НЕ00866889",2.0,265850.96,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r62,,,,,UNMATCHED,
SL-ec3a6d6ef07aa154,TSUM,2024,,0-2671,0-2671,НЕ00866890,Черный,"Блуза женская, из шифона, с кр(Черный/M-L)НЕ00866890",2.0,79695.1,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r63,,,,,UNMATCHED,
SL-bb4e9d75556d6a8b,TSUM,2024,,0-2814,0-2814,НЕ00866891,Красный,"Платье женское, красное, из дю(Красный/M-L)НЕ00866891",1.0,156957.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r64,,,,,UNMATCHED,
SL-ddc5d95fa6280afb,TSUM,2024,,0-2691,0-2691,НЕ00866892,Черный,"Брюки женские, черные, из барх(Черный/S-M)НЕ00866892",1.0,0.0,"TSUM Sales Cost RUR (transfer/wholesale-like, not retail check)",TSUM,FILE-057,r65,,,,,UNMATCHED,
