period_month,channel,metric,revenue_rub,cogs_rub,gross_profit_rub,source_file_id,year
2025-01,B2B_MERCURY,yanina_revenue,2337280.0,909145.95,1578420.01,FILE-091,2025
2025-02,B2B_MERCURY,yanina_revenue,1434009.25,791161.05,766665.44,FILE-091,2025
2025-03,B2B_MERCURY,yanina_revenue,1296578.1,1050852.89,1377560.38,FILE-091,2025
2025-04,B2B_MERCURY,yanina_revenue,923825.2,498196.19,633927.71,FILE-091,2025
2025-05,B2B_MERCURY,yanina_revenue,2111945.15,1525360.21,2275046.34,FILE-091,2025
2025-06,B2B_MERCURY,yanina_revenue,1083394.0,453351.57,-205417.56,FILE-091,2025
2025-07,B2B_MERCURY,yanina_revenue,2922454.7,843517.62,2168427.29,FILE-091,2025
2025-08,B2B_MERCURY,yanina_revenue,2679923.0,1374966.75,3022872.44,FILE-091,2025
2025-09,B2B_MERCURY,yanina_revenue,1729668.85,641540.84,386833.28,FILE-091,2025
2025-10,B2B_MERCURY,yanina_revenue,2353092.35,672517.37,706310.67,FILE-091,2025
2025-11,B2B_MERCURY,yanina_revenue,1370265.25,693322.75,1187930.1,FILE-091,2025
2025-12,B2B_MERCURY,yanina_revenue,1951329.95,677822.75,170033.43,FILE-091,2025
2026-01,B2B_MERCURY,yanina_revenue,3278301.0,1250767.94,2478259.62,FILE-092,2026
2026-02,B2B_MERCURY,yanina_revenue,984289.0,364924.25,-203688.54,FILE-092,2026
2026-03,B2B_MERCURY,yanina_revenue,1843283.0,526382.88,-165176.95,FILE-092,2026
2026-04,B2B_MERCURY,yanina_revenue,1912813.0,1187694.99,1990052.81,FILE-092,2026
2026-05,B2B_MERCURY,yanina_revenue,1454851.0,765553.68,739821.99,FILE-092,2026
