period_month,sales_1c_lines,sales_1c_revenue_rub,sales_1c_cogs_rub,b2b_mercury_fact_rev_rub,delta_1c_vs_mercury_fact,status_1c_vs_fact,bank_in_operating_rub,sales_dds_income_eur,channels_1c,note
2024-01,20,415225.0,154246.46,,,1C_ONLY,6897991.8,218650.0,IM:20,1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-02,39,1335145.0,295898.4,,,1C_ONLY,6431079.87,374408.3,IM:39,1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-03,72,3415335.0,614479.31,,,1C_ONLY,9739361.03,390850.0,"IM:56,B2B:16",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-04,52,2807203.96,625750.34,,,1C_ONLY,6581267.63,593497.03,"IM:45,B2B:7",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-05,44,1739719.0,278984.17,,,1C_ONLY,12810985.6,433356.31,IM:44,1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-06,89,3666097.0,646812.33,,,1C_ONLY,11672235.08,401454.27,"IM:84,B2B:5",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-07,45,2571069.0,488811.5,,,1C_ONLY,11384374.32,638334.21,"IM:30,B2B:15",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-08,58,2500099.0,534539.3,,,1C_ONLY,8334479.74,288459.4,"IM:45,B2B:13",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-09,70,2420658.0,353004.82,,,1C_ONLY,6841874.31,200262.92,"IM:69,B2B:1",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-10,57,2496276.0,361766.85,,,1C_ONLY,9463884.24,377609.3,"IM:52,B2B:5",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-11,120,4328498.0,828347.03,,,1C_ONLY,9313707.11,332409.94,"IM:103,B2B:17",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2024-12,222,8421919.0,1944585.59,,,1C_ONLY,14648355.63,948744.0,"IM:153,B2B:69",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2025-01,49,1281427.0,324577.54,2337280.0,-1055853.0,PARTIAL_SCOPE,7240737.18,232959.28,"IM:31,B2B:18",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2025-02,87,2011064.0,422452.06,1434009.25,577054.75,PARTIAL_SCOPE,6397938.15,800581.64,"IM:73,B2B:14",1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
2025-03,174,2968405.0,780730.41,1296578.1,1671826.9,PARTIAL_SCOPE,6473658.29,358987.94,IM:174,1C B2B+IM vs Mercury fact = разные периметры; bank_in не = выручка (лаги/смесь)
