period_month,channel,amount_eur,source_file_id,source
2024-01,Salon+Shop,63836.0,FILE-007,SALES_DDS_INCOME
2024-02,Salon+Shop,145324.0,FILE-007,SALES_DDS_INCOME
2024-03,Salon+Shop,148514.0,FILE-007,SALES_DDS_INCOME
2024-04,Salon+Shop,265180.0,FILE-007,SALES_DDS_INCOME
2024-05,Salon+Shop,149427.0,FILE-007,SALES_DDS_INCOME
2024-06,Salon+Shop,136164.0,FILE-007,SALES_DDS_INCOME
2024-07,Salon+Shop,254842.0,FILE-007,SALES_DDS_INCOME
2024-08,Salon+Shop,90944.0,FILE-007,SALES_DDS_INCOME
2024-09,Salon+Shop,61004.0,FILE-007,SALES_DDS_INCOME
2024-10,Salon+Shop,140344.0,FILE-007,SALES_DDS_INCOME
2024-11,Salon+Shop,109419.0,FILE-007,SALES_DDS_INCOME
2024-12,Salon+Shop,407294.0,FILE-007,SALES_DDS_INCOME
2024-01,ИМ,4740.0,FILE-007,SALES_DDS_INCOME
2024-02,ИМ,16897.0,FILE-007,SALES_DDS_INCOME
2024-03,ИМ,18937.0,FILE-007,SALES_DDS_INCOME
2024-04,ИМ,20558.0,FILE-007,SALES_DDS_INCOME
2024-05,ИМ,14232.0,FILE-007,SALES_DDS_INCOME
2024-06,ИМ,36143.0,FILE-007,SALES_DDS_INCOME
2024-07,ИМ,17868.0,FILE-007,SALES_DDS_INCOME
2024-08,ИМ,10042.0,FILE-007,SALES_DDS_INCOME
2024-09,ИМ,26461.0,FILE-007,SALES_DDS_INCOME
2024-10,ИМ,22739.73,FILE-007,SALES_DDS_INCOME
2024-11,ИМ,36145.73,FILE-007,SALES_DDS_INCOME
2024-12,ИМ,32104.0,FILE-007,SALES_DDS_INCOME
2024-08,Владивосток,2000.34,FILE-007,SALES_DDS_INCOME
2024-12,Владивосток,3866.15,FILE-007,SALES_DDS_INCOME
2024-08,Жуковский,315.79,FILE-007,SALES_DDS_INCOME
2024-10,Жуковский,300.0,FILE-007,SALES_DDS_INCOME
2024-12,Жуковский,1000.0,FILE-007,SALES_DDS_INCOME
2024-08,Иваново,1106.78,FILE-007,SALES_DDS_INCOME
2024-10,Иваново,1023.44,FILE-007,SALES_DDS_INCOME
2024-12,Иваново,3419.44,FILE-007,SALES_DDS_INCOME
2024-08,Иркутск,1642.79,FILE-007,SALES_DDS_INCOME
2024-12,Иркутск,3641.53,FILE-007,SALES_DDS_INCOME
2024-05,Казань,26430.6,FILE-007,SALES_DDS_INCOME
2024-08,Казань,7254.31,FILE-007,SALES_DDS_INCOME
2024-12,Казань,11625.49,FILE-007,SALES_DDS_INCOME
2024-09,Красногорск,550.0,FILE-007,SALES_DDS_INCOME
2024-12,Красногорск,554.8,FILE-007,SALES_DDS_INCOME
2024-08,Краснодар,1935.32,FILE-007,SALES_DDS_INCOME
2024-11,Краснодар,3523.63,FILE-007,SALES_DDS_INCOME
2024-12,Краснодар,-3862.14,FILE-007,SALES_DDS_INCOME
2024-03,Махачкала,5160.0,FILE-007,SALES_DDS_INCOME
2024-05,Махачкала,3908.46,FILE-007,SALES_DDS_INCOME
2024-07,Махачкала,5071.87,FILE-007,SALES_DDS_INCOME
2024-12,Махачкала,2434.79,FILE-007,SALES_DDS_INCOME
2024-09,Назрань,421.06,FILE-007,SALES_DDS_INCOME
2024-11,Назрань,-421.0,FILE-007,SALES_DDS_INCOME
2024-08,Пенза,494.56,FILE-007,SALES_DDS_INCOME
2024-11,Пенза,1096.26,FILE-007,SALES_DDS_INCOME
2024-12,Пенза,303.91,FILE-007,SALES_DDS_INCOME
2024-01,ЦУМ,40749.0,FILE-007,SALES_DDS_INCOME
2024-02,ЦУМ,24983.15,FILE-007,SALES_DDS_INCOME
2024-03,ЦУМ,16895.0,FILE-007,SALES_DDS_INCOME
2024-04,ЦУМ,10792.62,FILE-007,SALES_DDS_INCOME
2024-05,ЦУМ,21979.04,FILE-007,SALES_DDS_INCOME
2024-06,ЦУМ,27313.29,FILE-007,SALES_DDS_INCOME
2024-07,ЦУМ,40129.62,FILE-007,SALES_DDS_INCOME
2024-08,ЦУМ,25163.01,FILE-007,SALES_DDS_INCOME
2024-09,ЦУМ,9980.4,FILE-007,SALES_DDS_INCOME
2024-10,ЦУМ,23245.3,FILE-007,SALES_DDS_INCOME
2024-11,ЦУМ,16441.35,FILE-007,SALES_DDS_INCOME
2024-12,ЦУМ,11990.03,FILE-007,SALES_DDS_INCOME
2024-09,Сочи,1715.0,FILE-007,SALES_DDS_INCOME
2024-07,Альдо Копп,1255.61,FILE-007,SALES_DDS_INCOME
2024-08,Альдо Копп,3330.81,FILE-007,SALES_DDS_INCOME
2024-10,Альдо Копп,1152.18,FILE-007,SALES_DDS_INCOME
2024-03,Тюмень,5919.0,FILE-007,SALES_DDS_INCOME
2024-04,Вебинар,217.89,FILE-007,SALES_DDS_INCOME
2024-05,Вебинар,701.05,FILE-007,SALES_DDS_INCOME
2024-06,Вебинар,1106.84,FILE-007,SALES_DDS_INCOME
2024-01,TOTAL,109325.0,FILE-007,SALES_DDS_INCOME
2024-02,TOTAL,187204.15,FILE-007,SALES_DDS_INCOME
2024-03,TOTAL,195425.0,FILE-007,SALES_DDS_INCOME
2024-04,TOTAL,296748.52,FILE-007,SALES_DDS_INCOME
2024-05,TOTAL,216678.16,FILE-007,SALES_DDS_INCOME
2024-06,TOTAL,200727.14,FILE-007,SALES_DDS_INCOME
2024-07,TOTAL,319167.11,FILE-007,SALES_DDS_INCOME
2024-08,TOTAL,144229.69,FILE-007,SALES_DDS_INCOME
2024-09,TOTAL,100131.46,FILE-007,SALES_DDS_INCOME
2024-10,TOTAL,188804.65,FILE-007,SALES_DDS_INCOME
2024-11,TOTAL,166204.97,FILE-007,SALES_DDS_INCOME
2024-12,TOTAL,474372.0,FILE-007,SALES_DDS_INCOME
2025-01,Salon+Shop,77023.0,FILE-007,SALES_DDS_INCOME
2025-02,Salon+Shop,367888.0,FILE-007,SALES_DDS_INCOME
2025-03,Salon+Shop,137281.0,FILE-007,SALES_DDS_INCOME
