expense_line_id,period_month,article_id,article_name,line_class,account_bucket,account_col,legal_entity_id,bank_hint,amount_rub,row_total_rub,counterparty_id,bank_payment_id,source_file_id,source_sheet,source_row_id,match_status
EX-8bbbcb65e4174d9a,2024-01,0f84022bf9ea5b97,"Зарплата, больничный",EXPENSE,DEKOR,Декор,LE-OOO-DEKOR,VTB_DEKOR?,432959.04,661990.54,,,FILE-060,01-24,r5,UNMATCHED
EX-1afe0f83b56b27a2,2024-01,0f84022bf9ea5b97,"Зарплата, больничный",EXPENSE,IP_VTB,ИП Янина ВТБ,LE-IP-YANINA,VTB,229031.5,661990.54,,,FILE-060,01-24,r5,UNMATCHED
EX-1c3d10a0e20b2804,2024-01,8dbe56d9193059e6,"Единый налоговый платеж, НСипЗ",EXPENSE,DEKOR,Декор,LE-OOO-DEKOR,VTB_DEKOR?,57465.0,93465.0,,,FILE-060,01-24,r6,UNMATCHED
EX-234cee74cc29fabd,2024-01,8dbe56d9193059e6,"Единый налоговый платеж, НСипЗ",EXPENSE,SALON,Салон Юлия Янина,LE-IP-YANINA,SALON,36000.0,93465.0,,,FILE-060,01-24,r6,UNMATCHED
EX-86fdc432cac03e45,2024-01,0a7de96cf92d42a0,Услуги банка,EXPENSE,DEKOR,Декор,LE-OOO-DEKOR,VTB_DEKOR?,2844.8,8757.83,,,FILE-060,01-24,r8,UNMATCHED
EX-6ef65f386fcd955f,2024-01,0a7de96cf92d42a0,Услуги банка,EXPENSE,SALON,Салон Юлия Янина,LE-IP-YANINA,SALON,2478.0,8757.83,,,FILE-060,01-24,r8,UNMATCHED
EX-baabe7154a7dbcfb,2024-01,0a7de96cf92d42a0,Услуги банка,EXPENSE,IP_VTB,ИП Янина ВТБ,LE-IP-YANINA,VTB,2409.03,8757.83,,,FILE-060,01-24,r8,UNMATCHED
EX-853c921250014265,2024-01,0a7de96cf92d42a0,Услуги банка,EXPENSE,IP_ALFA,ИП Янина Альфа,LE-IP-YANINA,ALFA,1026.0,8757.83,,,FILE-060,01-24,r8,UNMATCHED
EX-d5b4d220d6044339,2024-01,bf67f05a48b19791,Расходы по эквайрингу,EXPENSE,DEKOR,Декор,LE-OOO-DEKOR,VTB_DEKOR?,42425.0,55969.82,,,FILE-060,01-24,r9,UNMATCHED
EX-a3727af3c197fc46,2024-01,bf67f05a48b19791,Расходы по эквайрингу,EXPENSE,IP_VTB,ИП Янина ВТБ,LE-IP-YANINA,VTB,4370.0,55969.82,,,FILE-060,01-24,r9,UNMATCHED
