material_movement_id,material_id,name,article_hint,qty_in,qty_out,qty_end,value_unit,snapshot_date,warehouse,movement_type,source_file_id,source_row_id
MAT-a282b3cf0f33dba7,MAT-a282b3cf0f33dba7,Атлас (дюшес) темно-коричневый  20-006,20-006,14000.0,9940.0,4060.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r6
MAT-bc481f60b089168e,MAT-bc481f60b089168e,Бархат  Х/Б темно-синий 6-015,,6600.0,,6600.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r20
MAT-55352f40de015264,MAT-55352f40de015264,Бархат стрейч голубой  6-026,,6316.09,,6316.09,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r24
MAT-8dfc12660717353b,MAT-8dfc12660717353b,Бархат стрейч коричневый  6-029,,2550.0,2550.0,,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r28
MAT-f423e3cbdb816ab5,MAT-f423e3cbdb816ab5,Бархат стрейч коричневый  6-056,,23106.23,13138.02,9968.21,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r34
MAT-b6703cf5999da371,MAT-b6703cf5999da371,Бархат стрейч плотный черный 6-028,,46468.75,15312.5,31156.25,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r44
MAT-d11a0a6e0727c7ac,MAT-d11a0a6e0727c7ac,"Бархат стрейч, бежевый 6-047",,7134.0,,7134.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r56
MAT-38189d92b0d4cd2d,MAT-38189d92b0d4cd2d,"Бархат стрейч, бирюзовый 6-049",,13735.0,3690.0,10045.0,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r60
MAT-73618a743dd75f06,MAT-73618a743dd75f06,"Бархат стрейч, морская волна 6-053",,11685.0,61.5,11623.5,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r68
MAT-bd127b8210286c84,MAT-bd127b8210286c84,"Бархат стрейч, светло-серый 6-048",,16748.5,9676.0,7072.5,AMBIGUOUS_QTY_OR_AMOUNT,2026-07-24,Основной склад,FABRIC_MOVEMENT_H4,FILE-097,r74
