material_movement_id,material_id,name,article_hint,qty,amount_rub,unit_cost_rub,snapshot_date,warehouse,movement_type,source_file_id,source_row_id
MAT-5ac968311dec2c6a,MAT-5ac968311dec2c6a,Атлас (дюшес) темно-коричневый  20-006,20-006,10.2,7140.0,700.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r4
MAT-ad068e056b9eda9a,MAT-ad068e056b9eda9a,Бархат  Х/Б темно-синий 6-015,6-015,4.0,6600.0,1650.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r5
MAT-a0ffc6e776b80c80,MAT-a0ffc6e776b80c80,Бархат стрейч коричневый  6-029,6-029,5.1,2550.0,500.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r6
MAT-6015e9a7fbc4a478,MAT-6015e9a7fbc4a478,Бархат стрейч плотный черный 6-028,6-028,53.0,33125.0,625.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r7
MAT-ef96e09789fe20c8,MAT-ef96e09789fe20c8,"Бархат стрейч, бежевый 6-047",6-047,17.4,7134.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r8
MAT-300f63c5e156ec4c,MAT-300f63c5e156ec4c,"Бархат стрейч, бирюзовый 6-049",6-049,24.5,10045.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r9
MAT-dd04074e5306d3c0,MAT-dd04074e5306d3c0,"Бархат стрейч, морская волна 6-053",6-053,28.5,11685.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r10
MAT-cd09e21ee38a0733,MAT-cd09e21ee38a0733,"Бархат стрейч, светло-серый 6-048",6-048,17.25,7072.5,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r11
MAT-653b40e0e37dcb29,MAT-653b40e0e37dcb29,"Бархат стрейч, серо-зеленый 6-050",6-050,19.0,7790.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r12
MAT-0a9fd7fd98863084,MAT-0a9fd7fd98863084,"Бархат стрейч, синий 6-052",6-052,56.5,23165.0,410.0,2026-05-31,Основной склад,STOCK_SNAPSHOT,FILE-053,r13
