period_month,exp_opex_rub,exp_hub_vtb_alfa_rub,exp_total_row_rub,bank_out_operating_rub,dds_b_all_rub,dds_b_bn_rub,delta_opex_vs_bank,status_opex_vs_bank,delta_hub_vs_bank,status_hub_vs_bank,delta_total_row_vs_dds,status_total_row_vs_dds,delta_total_row_vs_dds_bn,status_total_row_vs_dds_bn,exp_IP_VTB,exp_IP_ALFA,exp_DEKOR,note
2024-01,3873354.94,2617693.97,3566504.94,3440248.46,18057052.16,3271073.36,433106.48,SOFT_GAP,-822554.49,WIDE_GAP,-14490547.22,GAP,295431.58,SOFT_GAP,1649803.3,967890.67,537109.84,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-02,6281550.27,4218957.81,5164273.63,4902733.91,13913738.79,4676625.5,1378816.36,WIDE_GAP,-683776.1,SOFT_GAP,-8749465.16,GAP,487648.13,SOFT_GAP,3495628.16,723329.65,1504195.81,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-03,9816888.93,6998820.67,24190.48,4005754.61,14677467.92,4341505.77,5811134.32,GAP,2993066.06,GAP,-14653277.44,GAP,-4317315.29,GAP,2662619.09,4336201.58,2125142.42,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-04,9118708.2,6343250.46,8004935.6,7039435.76,16914388.01,7206656.23,2079272.44,WIDE_GAP,-696185.3,SOFT_GAP,-8909452.41,GAP,798279.37,SOFT_GAP,3080120.09,3263130.37,1870014.68,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-05,11107859.15,9115583.6,5756303.39,6348360.41,14464676.46,5756302.85,4759498.74,GAP,2767223.19,GAP,-8708373.07,GAP,0.54,CLOSE,7708432.57,1407151.03,2072677.06,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-06,4567974.24,2631289.35,3359481.36,3823406.22,13062220.74,3359481.3,744568.02,WIDE_GAP,-1192116.87,GAP,-9702739.38,GAP,0.06,CLOSE,2011246.52,620042.83,1841579.72,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-07,6692952.09,4527349.21,5450650.09,5322675.08,13774328.03,5450649.53,1370277.01,WIDE_GAP,-795325.87,SOFT_GAP,-8323677.94,GAP,0.56,CLOSE,2025482.69,2501866.52,2033385.56,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-08,6938631.65,5620472.21,3924355.47,4067154.71,9597345.56,3924355.47,2871476.94,GAP,1553317.5,WIDE_GAP,-5672990.09,GAP,-0.0,CLOSE,3081923.02,2538549.19,1220641.96,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-09,5652738.28,4526080.93,4160310.44,3402394.14,11663833.06,4160309.64,2250344.14,GAP,1123686.79,WIDE_GAP,-7503522.62,GAP,0.8,CLOSE,2798925.58,1727155.35,1036995.07,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-10,11248202.33,8990228.44,7158856.17,7244682.02,16658303.55,7158856.17,4003520.31,GAP,1745546.42,WIDE_GAP,-9499447.38,GAP,-0.0,CLOSE,2287576.09,6702652.35,1998820.71,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-11,11513137.27,9258016.55,6153447.15,6472763.21,16548169.25,7054756.6,5040374.06,GAP,2785253.34,GAP,-10394722.1,GAP,-901309.45,SOFT_GAP,3693463.05,5564553.5,2156117.02,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2024-12,14939043.1,11022715.59,8622726.24,9838539.69,18980789.18,8872517.5,5100503.41,GAP,1184175.9,SOFT_GAP,-10358062.94,GAP,-249791.26,CLOSE,3363963.75,7658751.84,3800563.21,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-01,6499316.57,4768460.92,4737130.2,4839596.88,6562823.88,4824145.99,1659719.69,WIDE_GAP,-71135.96,CLOSE,-1825693.68,WIDE_GAP,-87015.79,CLOSE,2240643.93,2527816.99,1666615.06,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-02,6416244.4,4859884.68,4599352.59,4434373.18,16667824.22,4656638.04,1981871.22,GAP,425511.5,SOFT_GAP,-12068471.63,GAP,-57285.45,CLOSE,1034977.22,3824907.46,1420386.9,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-03,7211576.24,4988370.99,6119808.0,6062252.39,15416337.21,6119808.0,1149323.85,WIDE_GAP,-1073881.4,WIDE_GAP,-9296529.21,GAP,0.0,CLOSE,2242579.06,2745791.93,1990332.43,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
2025-04,10815428.02,8019350.4,9822691.22,10195828.89,18979904.43,9804821.22,619599.13,SOFT_GAP,-2176478.49,WIDE_GAP,-9157213.21,GAP,17870.0,CLOSE,4759117.02,3260233.38,2712587.8,opex=line_class EXPENSE; TOTAL=ИТОГО vs DDS
