stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_begin,qty_in,qty_out,qty_end,source_file_id,source_row_id
SW-9d37701b3dd548b8,0-1075,0-1075,"Блуза женская, белая, из трикотажа, с логотипом YANINA",Склад ИМ (Основное подразделение),3.0,,3.0,,FILE-098,r4
SW-3c9a90f0bc466b03,0-1098В,0-1098B,"Блуза женская, черная, из крепа, с вышивкой YC",Склад ИМ (Основное подразделение),,2.0,2.0,,FILE-098,r6
SW-dba5b2a4b797f813,0-1098В,0-1098B,"Блуза женская, черная, из крепа, с вышивкой YC",Склад оптовых продаж (Основное подразделение),,2.0,2.0,,FILE-098,r6
SW-dc2ca4c434f54f2e,0-1178,0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",Салон (Лена М.) (Основное подразделение),,2.0,1.0,1.0,FILE-098,r13
SW-f5e703a2b8007987,0-1178,0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",Склад ИМ (Основное подразделение),3.0,11.0,14.0,,FILE-098,r13
SW-51942de9c91dee58,0-1178,0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",Склад оптовых продаж (Основное подразделение),,11.0,11.0,,FILE-098,r13
SW-63de3a2e5dfa9a65,0-1178,0-1178,"Пальто-халат женское, черное, из бархата, длинное, с поясом",Склад производства (Жукова) (Основное подразделение),,3.0,3.0,,FILE-098,r13
SW-47829e552fa7c3ed,0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",Остатки ЦУМ (Основное подразделение),,1.0,1.0,,FILE-098,r53
SW-78dc7c35180a040d,0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),,7.0,1.0,6.0,FILE-098,r53
SW-d420fbd15f9210b1,0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",Склад ИМ (Основное подразделение),5.0,2.0,7.0,,FILE-098,r53
SW-d0963a1c869d9198,0-1187D,0-1187D,"Блуза женская, черная в белый горох, из шелка, с отделкой белым кантом",Склад оптовых продаж (Основное подразделение),,4.0,4.0,,FILE-098,r53
SW-12eeb04e311580d6,0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",Остатки ЦУМ (Основное подразделение),,2.0,2.0,,FILE-098,r65
SW-f0bbc8c000ede640,0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",Салон (Лена М.) (Основное подразделение),,7.0,1.0,6.0,FILE-098,r65
SW-d1afaf627855ae57,0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",Склад ИМ (Основное подразделение),4.0,3.0,7.0,,FILE-098,r65
SW-86a21d1910280674,0-1187E,0-1187E,"Брюки женские, черные, из шелка, с белым кантом",Склад оптовых продаж (Основное подразделение),,4.0,4.0,,FILE-098,r65
SW-ff57715e5f1ad822,0-1187F,0-1187F,"Рубашка женская, черная, из бархата, с отделкой белым кантом",Салон (Лена М.) (Основное подразделение),,1.0,,1.0,FILE-098,r79
