stock_cost_id,article_raw,canonical_sku,warehouse,name,open_qty,open_cost_rub,in_qty,in_cost_rub,out_qty,out_cost_rub,unit_cost_rub,unit_cost_source,source_file_id,source_row_id
SC-38a5d5c6393aa54e,0-1984F,0-1984F,Aldo Coppola (Основное подразделение),"Футболка женская, черная с принтом ""цветные капли"", из хлопка",,,1,3050,1,3050,3050.0,IN,FILE-099,r5
SC-0fe79e354faed6d6,0-2032N/1,0-2032N,Aldo Coppola (Основное подразделение),"Футболка женская, черная с принтом ""цветные капли"", из хлопка",,,1,10121,1,10121,10121.0,IN,FILE-099,r7
SC-65b83042db8e211d,0-2032N/3,0-2032N,Aldo Coppola (Основное подразделение),"Рубашка женская, голубая с принтом ""девочки"", из вискозы",,,1,10121,1,10121,10121.0,IN,FILE-099,r9
SC-b04ce3e21ef5edc7,0-2037N/1,0-2037N,Aldo Coppola (Основное подразделение),"Рубашка женская, розовая с принтом ""девочки"", из вискозы",,,1,6189,1,6189,6189.0,IN,FILE-099,r11
SC-93745d8466fa2cfd,0-2037N/3,0-2037N,Aldo Coppola (Основное подразделение),"Брюки женские, голубые с принтом ""девочки"", из вискозы",,,1,6189,1,6189,6189.0,IN,FILE-099,r13
SC-01f0c9bd32c02840,0-2053,0-2053,Aldo Coppola (Основное подразделение),"Брюки женские, розовые с принтом ""девочки"", из вискозы",,,1,13367.32,1,13367.32,13367.32,IN,FILE-099,r15
SC-639de8ff54826a42,0-2244/1,0-2244,Aldo Coppola (Основное подразделение),"Платье женское, черное с принтом ""цветные капли"", из батиста, декорировано тесьмой",,,1,14213,1,14213,14213.0,IN,FILE-099,r17
SC-e7c2fdaa3caf8c6b,0-2245/1,0-2245,Aldo Coppola (Основное подразделение),"Рубашка женская, черная с принтом ""девочки"", из шелка",,,1,8632,1,8632,8632.0,IN,FILE-099,r19
SC-a9c8e0a7e85518c8,0-2404,0-2404,Aldo Coppola (Основное подразделение),"Брюки женские, черные с принтом ""девочки"", из шелка",,,1,8020,1,8020,8020.0,IN,FILE-099,r21
SC-b0546b327e14a73b,0-2431B/1,0-2431B,Aldo Coppola (Основное подразделение),"Платье женское, черное, с принтом ""девочки"", из шелка, на тонких бретелях",,,1,1424,1,1424,1424.0,IN,FILE-099,r23
SC-c108b92f549fd063,0-2431B/4,0-2431B,Aldo Coppola (Основное подразделение),"Шорты женские, розовые с принтом ""цветы, грибы"", из хлопка",,,1,2766,1,2766,2766.0,IN,FILE-099,r25
SC-d9ff03bce4592b55,0-2460A,0-2460A,Aldo Coppola (Основное подразделение),"Шорты женские, черные с принтом ""цветы, грибы"", из хлопка",,,1,12319,1,12319,12319.0,IN,FILE-099,r27
SC-9a0069521577f675,0-2460A/3,0-2460A,Aldo Coppola (Основное подразделение),"Блуза женская, розовая, из батиста, декорирована расшивкой кристаллами по воротнику",,,1,12319,1,12319,12319.0,IN,FILE-099,r29
