bank_payment_id,period_month,payment_date,amount,counterparty_raw,purpose,source_file_id
276b7b0bc08a741c,2024-04,2024-04-26,1200000.0,Казначейство России (ФНС России),единый налоговый платеж НДС не облагается,FILE-013
9a70e17f49675418,2024-07,2024-07-25,900000.0,Казначейство России (ФНС России),единый налоговый платеж (НДФЛ за июль и УСН за 2кв). НДС не облагается,FILE-013
a3040880417061b2,2024-07,2024-07-29,324046.21,Казначейство России (ФНС России),единый налоговый платеж (страх.взносы за июнь). НДС не облагается,FILE-013
166aa97802326514,2024-07,2024-07-29,86435.0,Казначейство России (ФНС России),единый налоговый платеж (НДФЛ за июль и УСН за 2кв). НДС не облагается,FILE-013
5a26e1087d422e43,2024-08,2024-08-26,120604.61,Казначейство России (ФНС России),единый налоговый платеж (налоги за июль) НДС не облагается,FILE-013
6729b3559da8c4b8,2024-10,2024-10-25,900000.0,Казначейство России (ФНС России),единый налоговый платеж (НДФЛ за июль и УСН за 2кв). НДС не облагается,FILE-013
30eacee435cf853e,2024-10,2024-10-28,142460.0,Казначейство России (ФНС России),единый налоговый платеж (доплата УСН авансов за 1 кв). НДС не облагается,FILE-013
88e61422cbfcf17c,2024-10,2024-10-28,207506.0,Казначейство России (ФНС России),единый налоговый платеж (УСН за 2кв). НДС не облагается,FILE-013
52753561f1242a79,2024-12,2024-12-17,450144.8,Казначейство России (ФНС России),"единый налоговый платеж (страх.взн за нояб, НДФЛ декабрь). НДС не облагается",FILE-013
28a26ec1878ab945,2024-12,2024-12-24,444620.0,Казначейство России (ФНС России),"единый налоговый платеж (страх.взн, НДФЛ декабрь). НДС не облагается",FILE-013
000030c17b59e27a,2025-04,2025-04-23,365708.68,Казначейство России (ФНС России),"единый налоговый платеж (страх.взн март, НДФЛ апрель). НДС не облагается",FILE-014
2e692e7b2c032bb8,2025-04,2025-04-29,741000.0,Казначейство России (ФНС России),единый налоговый платеж НДС не облагается,FILE-014
443d195b8706417b,2025-07,2025-07-28,1645553.0,Казначейство России (ФНС России),"единый налоговый платеж (УСН за 2 кв, НДС 1/3 за 2 кв). НДС не облагается",FILE-014
c660265c10c1f214,2025-07,2025-07-28,426175.57,Казначейство России (ФНС России),"единый налоговый платеж (НДФЛ июль, страх.взн за июнь) НДС не облагается",FILE-014
bc02b06fc1e6ea56,2025-08,2025-08-27,534202.0,Казначейство России (ФНС России),единый налоговый платеж (НДС 1/3 за 2кв.2025). НДС не облагается,FILE-014
e651ee66aba7092c,2025-10,2025-10-28,797342.12,Казначейство России (ФНС России),единый налоговый платеж (УСН за 3 кв.) НДС не облагается,FILE-014
8d19381055f14e18,2025-10,2025-10-28,444930.0,Казначейство России (ФНС России),единый налоговый платеж (1/3НДС за 3 кв). НДС не облагается,FILE-014
5097db93ee1fe65a,2025-11,2025-11-28,444930.0,Казначейство России (ФНС России),единый налоговый платеж (1/3НДС за 3 кв). НДС не облагается,FILE-014
