budget_line_id,budget_version,period_month,section,article_name,plan_eur,fact_eur,var_eur,currency,source_file_id,source_row_id
BL-614903e283d6203e,BUD-2026,2026-01,Поступления,Поступления,134000.0,118766.81,-15233.19,EUR,FILE-012,r4
BL-cf1b5f8e8bcf2e33,BUD-2026,2026-02,Поступления,Поступления,282000.0,218394.89,-63605.11,EUR,FILE-012,r4
BL-6a4dce37e1043c75,BUD-2026,2026-03,Поступления,Поступления,348500.0,175673.0,-172827.0,EUR,FILE-012,r4
BL-3de3a0d141212ca7,BUD-2026,2026-04,Поступления,Поступления,315000.0,329116.0,14116.0,EUR,FILE-012,r4
BL-d601e263931bc3ba,BUD-2026,2026-05,Поступления,Поступления,247000.0,188411.0,-58589.0,EUR,FILE-012,r4
BL-d47851318b5444e5,BUD-2026,2026-06,Поступления,Поступления,288500.0,,,EUR,FILE-012,r4
BL-265c7c624d0f1379,BUD-2026,2026-07,Поступления,Поступления,292000.0,,,EUR,FILE-012,r4
BL-4ab6d12dcf3a7b57,BUD-2026,2026-08,Поступления,Поступления,192000.0,,,EUR,FILE-012,r4
BL-c45efad94f401632,BUD-2026,2026-09,Поступления,Поступления,270500.0,,,EUR,FILE-012,r4
BL-6a9bd49a0fc0d946,BUD-2026,2026-10,Поступления,Поступления,295000.0,,,EUR,FILE-012,r4
BL-c180dcae449dd742,BUD-2026,2026-11,Поступления,Поступления,296000.0,,,EUR,FILE-012,r4
BL-4d3380f1d86a39ea,BUD-2026,2026-12,Поступления,Поступления,569500.0,,,EUR,FILE-012,r4
BL-85883bb10ca24d37,BUD-2026,2026-01,Поступления,Salon+Shop,100000.0,70360.0,-29640.0,EUR,FILE-012,r5
BL-d19033ee22efb9e4,BUD-2026,2026-02,Поступления,Salon+Shop,250000.0,200940.0,-49060.0,EUR,FILE-012,r5
BL-4a1b94f91bdeed03,BUD-2026,2026-03,Поступления,Salon+Shop,250000.0,150875.0,-99125.0,EUR,FILE-012,r5
