period_month,budget_income_fact_eur,budget_expense_fact_eur,dds_b_eur,delta_bud_exp_vs_dds,status_bud_exp_vs_dds,budget_payroll_fact_eur,w2_payroll_eur_approx,delta_payroll,status_payroll,note
2024-01,,,202262.93,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-02,,,160942.23,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-03,,,196539.57,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-04,,,252050.19,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-05,,,154309.75,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-06,,,137497.06,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-07,,,164359.93,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-08,,,101224.69,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-09,,,116788.33,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-10,,,170383.04,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-11,,,165481.69,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2024-12,,,240914.89,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-01,,,108128.24,,DDS_ONLY,,34728.99,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-02,,,349916.24,,DDS_ONLY,,36755.06,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-03,,,157703.37,,DDS_ONLY,,34757.25,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-04,,,202866.04,,DDS_ONLY,,38302.6,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-05,,,180823.59,,DDS_ONLY,,19569.58,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-06,,,160407.95,,DDS_ONLY,,55728.61,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-07,,,284852.04,,DDS_ONLY,112251.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-08,,,148503.42,,DDS_ONLY,84457.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-09,,,120272.88,,DDS_ONLY,66130.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-10,,,192919.23,,DDS_ONLY,83284.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-11,,,217660.1,,DDS_ONLY,90983.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2025-12,,,279686.02,,DDS_ONLY,184369.0,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-01,118766.81,172946.07,166550.71,6395.36,CLOSE,19678.62,32216.44,-12537.82,GAP,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-02,218394.89,203821.0,197693.13,6127.87,CLOSE,95879.0,31258.9,64620.1,GAP,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-03,175673.0,191138.0,167063.18,24074.82,SOFT_GAP,82078.0,95182.78,-13104.78,SOFT_GAP,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-04,329116.0,276561.0,216972.81,59588.19,GAP,90191.0,91441.49,-1250.49,CLOSE,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-05,188411.0,247771.0,191160.51,56610.49,GAP,84649.0,96482.99,-11833.99,SOFT_GAP,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
2026-06,,,8155.0,,DDS_ONLY,,,,N/A,budget EUR; W2/100 ≈ EUR at rate 100 used in DDS files
