period_month,tax_cash_rub,bank_tax_like_rub,delta,status,note
2024-01,93465.0,57465.0,36000.0,GAP,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-02,821275.82,821275.82,-0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-03,666316.18,666316.18,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-04,1714029.64,1714029.64,-0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-05,3327630.35,3502303.86,-174673.51,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-06,442934.67,442934.67,-0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-07,2314296.5,2274096.5,40200.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-08,712150.83,712150.83,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-09,638103.22,638103.22,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-10,2470624.41,2323444.41,147180.0,SOFT_GAP,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-11,865455.64,865455.64,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2024-12,1411150.79,1411150.79,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-01,444228.63,444228.63,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-02,741644.66,741644.66,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-03,883006.92,878906.92,4100.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-04,3809031.94,3804197.94,4834.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-05,599816.64,599816.64,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-06,775148.87,775148.87,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-07,2948598.18,2906598.18,42000.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-08,1470436.95,1393026.95,77410.0,SOFT_GAP,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-09,1267928.63,1267928.63,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-10,2257284.46,2221784.46,35500.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-11,1528446.62,1528446.62,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2025-12,1828724.89,1828724.89,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-01,1718264.68,1672113.41,46151.27,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-02,475944.0,475944.0,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-03,3201097.69,3201097.69,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-04,4076718.89,4076718.89,-0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-05,1646534.41,1646534.41,0.0,CLOSE,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
2026-06,288670.11,319570.11,-30900.0,SOFT_GAP,tax_cash=W5 opex tax articles; bank=Казначейство/УФК/ФНС/ОСФР only
