tax_cash_id,period_month,article_name,account_bucket,legal_entity_id,amount_rub,expense_line_id,source_file_id
TC-8e53792d66de9db8,2024-01,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,57465.0,EX-1c3d10a0e20b2804,FILE-060
TC-84775a41ed58ecb3,2024-01,"Единый налоговый платеж, НСипЗ",SALON,LE-IP-YANINA,36000.0,EX-234cee74cc29fabd,FILE-060
TC-9e0d39abd8df9570,2024-02,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,547261.6,EX-ae7ee6c1c122821e,FILE-060
TC-b5b3fa2879128b54,2024-02,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,274014.22,EX-543e6a579209d5e7,FILE-060
TC-0e614c9fd71c5d12,2024-03,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,390234.26,EX-f8292e940bdd07bf,FILE-060
TC-ff3bbba53c31c546,2024-03,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,276081.92,EX-ac791747831d0298,FILE-060
TC-f22edcd7530456e4,2024-04,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,509279.67,EX-ae7adb8e340114f0,FILE-060
TC-7ac0631e2acd9b49,2024-04,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,3749.97,EX-efadab561aaa6e69,FILE-060
TC-23ee3b15b249d169,2024-04,"Единый налоговый платеж, НСипЗ",IP_ALFA,LE-IP-YANINA,1200000.0,EX-29d143aeb9d7ac37,FILE-060
TC-378e21b6897026f3,2024-04,"Штрафы, пени по налогам",DEKOR,LE-OOO-DEKOR,1000.0,EX-4b5fb4c22ffbea08,FILE-060
TC-d67739188481afcd,2024-05,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,320300.0,EX-07a9621aeea0b5d9,FILE-060
TC-25299cbafa705281,2024-05,"Единый налоговый платеж, НСипЗ",SALON,LE-IP-YANINA,-173673.51,EX-0fa9824924047906,FILE-060
TC-1feaa865929f754f,2024-05,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,3182003.86,EX-c618c36606efbac8,FILE-060
TC-8ef0ee44627a4101,2024-05,"Штрафы, пени по налогам",DEKOR,LE-OOO-DEKOR,-1000.0,EX-8e6bc005a1849ad5,FILE-060
TC-6482c7e2ab79a5f7,2024-06,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,14178.06,EX-4fe5cb58a4098348,FILE-060
TC-2571e8a661b30084,2024-06,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,428728.87,EX-5eec305371d87d8c,FILE-060
TC-d51fceee128d2ee4,2024-06,"Штрафы, пени по налогам",IP_VTB,LE-IP-YANINA,27.74,EX-be8bd10df24d7619,FILE-060
TC-d750895c9de39ec5,2024-07,"Единый налоговый платеж, НСипЗ",DEKOR,LE-OOO-DEKOR,731932.64,EX-5d8b0145b2d233d4,FILE-060
TC-395470a90f2aff02,2024-07,"Единый налоговый платеж, НСипЗ",SALON,LE-IP-YANINA,40200.0,EX-57a9d70920105629,FILE-060
TC-c0c24dbec0d34927,2024-07,"Единый налоговый платеж, НСипЗ",IP_VTB,LE-IP-YANINA,231682.65,EX-972380e99d05f625,FILE-060
TC-05b7e9a798028f18,2024-07,"Единый налоговый платеж, НСипЗ",IP_ALFA,LE-IP-YANINA,1310481.21,EX-982d3a94a4b4b045,FILE-060
TC-9beaf246a89477f2,2024-08,налоги,DEKOR,LE-OOO-DEKOR,293624.84,EX-7b927e3d6e2a3f9e,FILE-060
TC-ba602cab8ec280e0,2024-08,налоги,IP_VTB,LE-IP-YANINA,297921.38,EX-44fd5aaae7fec260,FILE-060
TC-fa42265d170d1e7f,2024-08,налоги,IP_ALFA,LE-IP-YANINA,120604.61,EX-47672f37a26089d8,FILE-060
TC-a7f339244870d7c2,2024-09,налоги,DEKOR,LE-OOO-DEKOR,245711.69,EX-4161e7f2c3a1ce7b,FILE-060
TC-105a97c1e5ef6d2e,2024-09,налоги,IP_VTB,LE-IP-YANINA,392391.53,EX-8ddf2a643cb9a603,FILE-060
TC-69823c66da04a244,2024-10,налоги,DEKOR,LE-OOO-DEKOR,420267.23,EX-1ce6baaac674d8ba,FILE-060
TC-07677d2072cf3872,2024-10,налоги,SALON,LE-IP-YANINA,147180.0,EX-69ebba34f37340b2,FILE-060
TC-3b9296c018c78106,2024-10,налоги,IP_VTB,LE-IP-YANINA,653211.18,EX-50b8d2a5cdda2c79,FILE-060
TC-9e45ded82cdbb68f,2024-10,налоги,IP_ALFA,LE-IP-YANINA,1249966.0,EX-d45360c131c2a8e6,FILE-060
TC-eab25edf7554c238,2024-11,налоги,DEKOR,LE-OOO-DEKOR,371789.34,EX-bada3a253ab182db,FILE-060
TC-cb6c3017ebab3eed,2024-11,налоги,IP_VTB,LE-IP-YANINA,493666.3,EX-145895314935a221,FILE-060
TC-4a3d1533f328a1c9,2024-12,налоги,DEKOR,LE-OOO-DEKOR,507799.17,EX-0df53264bcde8d90,FILE-060
TC-69e939d7044ce1fa,2024-12,налоги,IP_VTB,LE-IP-YANINA,8586.82,EX-1f9c39d86646ddda,FILE-060
TC-c09b930f6282f6ec,2024-12,налоги,IP_ALFA,LE-IP-YANINA,894764.8,EX-91e42b89ba8f62af,FILE-060
TC-24199fed75e01461,2025-01,налоги с зарплаты,DEKOR,LE-OOO-DEKOR,258746.63,EX-a2e0dedcd4fb91eb,FILE-061
TC-87c605abb27d249b,2025-01,налоги с зарплаты,IP_VTB,LE-IP-YANINA,185482.0,EX-a1d63d8c9224d577,FILE-061
TC-7b20e87e1b849a85,2025-02,"налоги (УСН, транспортный)",DEKOR,LE-OOO-DEKOR,10200.0,EX-36892fee186a7f1e,FILE-061
TC-8b38d27723f97ee8,2025-02,"налоги (УСН, транспортный)",IP_VTB,LE-IP-YANINA,38000.0,EX-eaccf3006e400c2e,FILE-061
TC-3b95df1db4b314a0,2025-02,налоги с зарплаты,DEKOR,LE-OOO-DEKOR,407234.6,EX-c0fef0627afbe857,FILE-061
TC-9c0d2dceb4b8d474,2025-02,налоги с зарплаты,IP_VTB,LE-IP-YANINA,286210.06,EX-b299d4b5b1bbb643,FILE-061
TC-363585512f75e653,2025-03,"налоги (УСН, транспортный)",DEKOR,LE-OOO-DEKOR,117389.0,EX-d68ad147f602222f,FILE-061
TC-91aa4ca2a9cda8e7,2025-03,"налоги (УСН, транспортный)",SALON,LE-IP-YANINA,45600.0,EX-bc01065a9e4dd754,FILE-061
TC-6d6c793d212f1c82,2025-03,налоги с зарплаты,DEKOR,LE-OOO-DEKOR,371499.8,EX-95d8594e6a7314ac,FILE-061
TC-ea3346edb495ee0d,2025-03,налоги с зарплаты,IP_VTB,LE-IP-YANINA,348518.12,EX-1d18ba1e8b9872d1,FILE-061
