source_file_id,master_file_id,file_name,tax_type,pages,primary_amount,primary_field,confidence,amount_status,note,fields_json,raw_codes_json,extracted_at
SRC-F5301BBAE5D8,FILE-001,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,6NDFL,78,1445469,tax_to_transfer_ytd,HIGH,EXTRACTED_CONF_HIGH,,"{""tax_to_transfer_ytd"": 1445469, ""tax_term1"": 109727, ""tax_term3"": 143096, ""tax_computed_sec2"": 1445469, ""tax_withheld_sec2"": 1445469}","{""020"": 1445469, ""021"": 109727, ""023"": 143096, ""025"": 137617, ""026"": 76137, ""110"": 35, ""120"": 11312577, ""130"": 193600, ""131"": 11118977, ""140"": 1445469, ""160"": 1445469, ""161"": 109727, ""163"": 143096, ""165"": 137617, ""166"": 76137}",2026-07-28 13:43
SRC-4F39B4966345,FILE-002,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,6NDFL,79,1426959,tax_to_transfer_ytd,HIGH,EXTRACTED_CONF_HIGH,,"{""tax_to_transfer_ytd"": 1426959, ""tax_term1"": 113515, ""tax_term3"": 146211, ""tax_computed_sec2"": 1426958, ""tax_withheld_sec2"": 1426959}","{""020"": 1426959, ""021"": 113515, ""023"": 146211, ""025"": 132522, ""026"": 80652, ""110"": 37, ""120"": 11125609, ""130"": 149000, ""131"": 10976609, ""140"": 1426958, ""160"": 1426959, ""161"": 113515, ""163"": 146211, ""165"": 132522, ""166"": 80652}",2026-07-28 13:43
SRC-99A04FDE09F3,FILE-003,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,6NDFL,53,1863059,tax_to_transfer_ytd,HIGH,EXTRACTED_CONF_HIGH,,"{""tax_to_transfer_ytd"": 1863059, ""tax_term1"": 170488, ""tax_term2"": 4264, ""tax_term3"": 163883, ""tax_computed_sec2"": 1863059, ""tax_withheld_sec2"": 1863059}","{""020"": 1863059, ""021"": 170488, ""022"": 4264, ""023"": 163883, ""025"": 169458, ""026"": 153892, ""110"": 21, ""120"": 14504817, ""130"": 173600, ""131"": 14331217, ""140"": 1863059, ""160"": 1863059, ""161"": 170488, ""162"": 4264, ""163"": 163883, ""165"": 169458, ""166"": 153892}",2026-07-28 13:43
SRC-A8FCDD6B6090,FILE-004,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,6NDFL,75,2202651,tax_to_transfer_ytd,HIGH,EXTRACTED_CONF_HIGH,,"{""tax_to_transfer_ytd"": 2202651, ""tax_term1"": 209472, ""tax_term2"": 669, ""tax_term3"": 251761, ""tax_computed_sec2"": 2202651, ""tax_withheld_sec2"": 2202651}","{""020"": 2202651, ""021"": 209472, ""022"": 669, ""023"": 251761, ""025"": 261404, ""026"": 168108, ""110"": 34, ""120"": 17171468, ""130"": 228000, ""131"": 16943468, ""140"": 2202651, ""160"": 2202651, ""161"": 209472, ""162"": 669, ""163"": 251761, ""165"": 261404, ""166"": 168108}",2026-07-28 13:43
SRC-A8FCDD6B6090,FILE-005,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,6NDFL,75,2202651,tax_to_transfer_ytd,HIGH,EXTRACTED_CONF_HIGH,,"{""tax_to_transfer_ytd"": 2202651, ""tax_term1"": 209472, ""tax_term2"": 669, ""tax_term3"": 251761, ""tax_computed_sec2"": 2202651, ""tax_withheld_sec2"": 2202651}","{""020"": 2202651, ""021"": 209472, ""022"": 669, ""023"": 251761, ""025"": 261404, ""026"": 168108, ""110"": 34, ""120"": 17171468, ""130"": 228000, ""131"": 16943468, ""140"": 2202651, ""160"": 2202651, ""161"": 209472, ""162"": 669, ""163"": 251761, ""165"": 261404, ""166"": 168108}",2026-07-28 13:43
SRC-F74A077718EA,FILE-020,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,NDS,83,998748,nds_from_budget_040,HIGH,EXTRACTED_CONF_HIGH,,"{""nds_from_budget_040"": 998748}","{""040"": 998748}",2026-07-28 13:43
SRC-58E7C0A3C0A6,FILE-021,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,NDS,75,1443002,nds_from_budget_040,HIGH,EXTRACTED_CONF_HIGH,,"{""nds_from_budget_040"": 1443002}","{""040"": 1443002}",2026-07-28 13:43
SRC-751E72CC84B8,FILE-022,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,NDS,81,1602606,nds_from_budget_040,HIGH,EXTRACTED_CONF_HIGH,,"{""nds_from_budget_040"": 1602606}","{""040"": 1602606}",2026-07-28 13:43
SRC-4189B4529037,FILE-023,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,NDS,68,1334790,nds_from_budget_040,HIGH,EXTRACTED_CONF_HIGH,,"{""nds_from_budget_040"": 1334790}","{""040"": 1334790}",2026-07-28 13:43
SRC-FD5D253E7EE2,FILE-024,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,NDS,81,2163237,nds_from_budget_040,HIGH,EXTRACTED_CONF_HIGH,,"{""nds_from_budget_040"": 2163237}","{""040"": 2163237}",2026-07-28 13:43
SRC-3C28C9E1DE55,FILE-025,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,USN,6,117389,tax_year_payable,HIGH,EXTRACTED_CONF_HIGH,,"{""advance_q1_payable"": 103538, ""advance_q2_payable"": 105969, ""advance_q3_payable"": 131133, ""tax_year_payable"": 117389, ""income_q1"": 3451250, ""income_h1"": 6983560, ""income_9m"": 11354660, ""income_year"": 15267610, ""tax_computed_year"": 916057, ""contrib_deduct_year"": 458028}","{""020"": 103538, ""040"": 105969, ""070"": 131133, ""100"": 117389, ""110"": 3451250, ""111"": 6983560, ""112"": 11354660, ""113"": 15267610, ""130"": 207075, ""131"": 419014, ""132"": 681280, ""133"": 916057, ""140"": 103537, ""141"": 209507, ""142"": 340640, ""143"": 458028}",2026-07-28 13:43
SRC-384293B40F8C,FILE-026,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,USN,4,993121,tax_year_payable,HIGH,EXTRACTED_CONF_HIGH,,"{""advance_q1_payable"": 1112113, ""advance_q2_payable"": 804601, ""advance_q3_payable"": 1424801, ""tax_year_payable"": 993121, ""income_q1"": 30363974, ""income_h1"": 59058691, ""income_9m"": 97745840, ""income_year"": 134492181, ""tax_computed_year"": 8069531, ""contrib_deduct_year"": 3734895}","{""020"": 1112113, ""040"": 804601, ""070"": 1424801, ""100"": 993121, ""110"": 30363974, ""111"": 59058691, ""112"": 97745840, ""113"": 134492181, ""130"": 1821838, ""131"": 3543521, ""132"": 5864750, ""133"": 8069531, ""140"": 709725, ""141"": 1626807, ""142"": 2523235, ""143"": 3734895}",2026-07-28 13:43
SRC-12D1111A4489,FILE-027,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,USN,6,191261,tax_year_payable,HIGH,EXTRACTED_CONF_HIGH,,"{""advance_q1_payable"": 121101, ""advance_q2_payable"": 145029, ""advance_q3_payable"": 160422, ""tax_year_payable"": 191261, ""income_q1"": 4036700, ""income_h1"": 8871000, ""income_9m"": 14218400, ""income_year"": 20593750, ""tax_computed_year"": 1235625, ""contrib_deduct_year"": 617812}","{""020"": 121101, ""040"": 145029, ""070"": 160422, ""100"": 191261, ""110"": 4036700, ""111"": 8871000, ""112"": 14218400, ""113"": 20593750, ""130"": 242202, ""131"": 532260, ""132"": 853104, ""133"": 1235625, ""140"": 121101, ""141"": 266130, ""142"": 426552, ""143"": 617812}",2026-07-28 13:43
SRC-6F9B905DECFD,FILE-028,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,USN,4,1390632,tax_year_payable,HIGH,EXTRACTED_CONF_HIGH,,"{""advance_q1_payable"": 728695, ""advance_q2_payable"": 931723, ""advance_q3_payable"": 797342, ""tax_year_payable"": 1390632, ""income_q1"": 24289812, ""income_h1"": 55347247, ""income_9m"": 81925318, ""income_year"": 125134636, ""tax_computed_year"": 7508078, ""contrib_deduct_year"": 3659686}","{""020"": 728695, ""040"": 931723, ""070"": 797342, ""100"": 1390632, ""110"": 24289812, ""111"": 55347247, ""112"": 81925318, ""113"": 125134636, ""130"": 1457389, ""131"": 3320835, ""132"": 4915519, ""133"": 7508078, ""140"": 728694, ""141"": 1660417, ""142"": 2457759, ""143"": 3659686, ""150"": 53658}",2026-07-28 13:43
SRC-65DECAD2CB32,FILE-063,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,RSV,112,1636332,rsv_code_060,LOW,EXTRACTED_CONF_LOW,"RSV line-codes collide across sections — use only as lead, not SoT","{""rsv_code_030"": 5509816, ""rsv_code_050"": 5454441, ""rsv_code_060"": 1636332}","{""010"": 47, ""030"": 5509816, ""031"": 658886, ""032"": 679392, ""033"": 673498, ""020"": 46, ""021"": 46, ""040"": 55374, ""050"": 5454441, ""051"": 5454441, ""060"": 1636332, ""061"": 1636332}",2026-07-28 13:43
SRC-8B2E6E29F3B1,FILE-064,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,RSV,61,1622243,rsv_code_060,LOW,EXTRACTED_CONF_LOW,"RSV line-codes collide across sections — use only as lead, not SoT","{""rsv_code_030"": 5450952, ""rsv_code_050"": 5407478, ""rsv_code_060"": 1622243}","{""010"": 36, ""030"": 5450952, ""031"": 221947, ""032"": 224204, ""033"": 209502, ""020"": 35, ""021"": 35, ""040"": 43474, ""050"": 5407478, ""051"": 5407478, ""060"": 1622243, ""061"": 1622243}",2026-07-28 13:43
SRC-DB643E47A4E7,FILE-065,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,RSV,40,3324230,rsv_code_060,LOW,EXTRACTED_CONF_LOW,"RSV line-codes collide across sections — use only as lead, not SoT","{""rsv_code_030"": 3324230, ""rsv_code_060"": 3324230}","{""010"": 37, ""030"": 3324230, ""031"": 343278, ""032"": 317622, ""033"": 310200, ""020"": 37, ""021"": 37, ""040"": 44841, ""060"": 3324230, ""061"": 3324230}",2026-07-28 13:43
SRC-011873CC74E2,FILE-066,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,RSV,56,2266018,rsv_code_060,LOW,EXTRACTED_CONF_LOW,"RSV line-codes collide across sections — use only as lead, not SoT","{""rsv_code_030"": 7617284, ""rsv_code_050"": 7553393, ""rsv_code_060"": 2266018}","{""010"": 22, ""030"": 7617284, ""031"": 235651, ""032"": 225677, ""033"": 259108, ""020"": 21, ""021"": 21, ""040"": 63890, ""050"": 7553393, ""051"": 7553393, ""060"": 2266018, ""061"": 2266018}",2026-07-28 13:43
SRC-8DBBD4BE38B0,FILE-067,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,RSV,80,2752319,rsv_code_060,LOW,EXTRACTED_CONF_LOW,"RSV line-codes collide across sections — use only as lead, not SoT","{""rsv_code_030"": 9218827, ""rsv_code_050"": 9174397, ""rsv_code_060"": 2752319}","{""010"": 35, ""030"": 9218827, ""031"": 335130, ""032"": 351455, ""033"": 382894, ""020"": 34, ""021"": 34, ""040"": 44430, ""050"": 9174397, ""051"": 9174397, ""060"": 2752319, ""061"": 2752319}",2026-07-28 13:43
SRC-74B267159F90,FILE-080,Сведения о наличии отрицательного сальдо ЕНС.pdf,ENS,,,,N/A,NO_STRUCTURED_EXTRACT,list/ens/certificate — narrative PDF,{},{},
SRC-0A59904DD2D1,FILE-086,Список представленной отчетности за 2024.pdf,LIST,,,,N/A,NO_STRUCTURED_EXTRACT,list/ens/certificate — narrative PDF,{},{},
SRC-446E4DDA8AA4,FILE-087,Список представленной отчетности за 2025.pdf,LIST,,,,N/A,NO_STRUCTURED_EXTRACT,list/ens/certificate — narrative PDF,{},{},
SRC-48B008B303E0,FILE-088,Список представленной отчетности за 2026.pdf,LIST,,,,N/A,NO_STRUCTURED_EXTRACT,list/ens/certificate — narrative PDF,{},{},
SRC-52671EB999E4,FILE-089,Справка о расчетах по взносам на несч.сл на 25.06.2026.pdf,RSV,2,,,N/A,NO_CODES,"RSV line-codes collide across sections — use only as lead, not SoT",{},{},2026-07-28 13:43
SRC-90040AE0AF41,FILE-090,Справка об исполнении обязанности по налогам.pdf,ENS,,,,N/A,NO_STRUCTURED_EXTRACT,list/ens/certificate — narrative PDF,{},{},
