link_config_id,edge_id,domain,source_file,counterparty_file,relation,current_join,target_join,linked_request_ids,required_requests,requests_with_prefill,requests_fully_complete,average_required_field_coverage_pct,required_key_mappings,candidate_key_mappings,stage27_precheck_status,official_preconditions_status,official_retest_result,transaction_level_automation_allowed,acceptance_criteria,owner_role,missing_after_prefill,next_action,named_owner,datasets_accepted,keys_confirmed,test_date,orphan_count,duplicate_count,control_difference,signed_by,evidence_link,final_result,automation_allowed
LCFG-073,TAX-EDGE-073,Налоги/ФОТ,ЗП за февраль 2026.xlsx,ДДС 2026.xlxs.xlsx,Payroll calculation ↔ ДДС payroll cash,month + displayed control total,payroll_batch_id + payment_date + employer_id,REQ-ST24-G01; REQ-ST24-G02; REQ-ST24-G03; REQ-ST24-G05; REQ-ST24-G14,5,5,0,61.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-074,TAX-EDGE-074,Налоги/ФОТ,ЗП за февраль 2026.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-075,TAX-EDGE-075,Налоги/ФОТ,ЗП за февраль 2026.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-076,TAX-EDGE-076,Налоги/ФОТ,ЗП за февраль 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,REQ-ST24-G01; REQ-ST24-G04; REQ-ST24-G05; REQ-ST24-G06; REQ-ST24-G14,5,5,0,57,4,4,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Бухгалтерия,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-077,TAX-EDGE-077,Налоги/ФОТ,ЗП за февраль 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,4,4,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Бухгалтерия,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-087,TAX-EDGE-087,Налоги/ФОТ,ЗП за январь 2026.xlsx,ДДС 2026.xlxs.xlsx,Payroll calculation ↔ ДДС payroll cash,month + displayed control total,payroll_batch_id + payment_date + employer_id,REQ-ST24-G01; REQ-ST24-G02; REQ-ST24-G03; REQ-ST24-G05; REQ-ST24-G14,5,5,0,61.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-088,TAX-EDGE-088,Налоги/ФОТ,ЗП за январь 2026.xlsx,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Payroll rows ↔ bank registry,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-089,TAX-EDGE-089,Налоги/ФОТ,ЗП за январь 2026.xlsx,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Payroll rows ↔ bank registry,date + amount + account,employee_id + payroll_batch_id + bank_payment_id,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,3,3,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Финансы,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-090,TAX-EDGE-090,Налоги/ФОТ,ЗП за январь 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,REQ-ST24-G01; REQ-ST24-G04; REQ-ST24-G05; REQ-ST24-G06; REQ-ST24-G14,5,5,0,57,4,4,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Бухгалтерия,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
LCFG-091,TAX-EDGE-091,Налоги/ФОТ,ЗП за январь 2026.xlsx,Расчет по страховым взносам за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Payroll accrual ↔ tax form,month/year aggregate,employer_id + employee_id + accrual_period + tax_code,REQ-ST24-G01; REQ-ST24-G05; REQ-ST24-G14,3,3,0,49.2,4,4,OWNER REVIEW POSSIBLE,BLOCKED,NOT RUN,NO,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,HR/Бухгалтерия,Owner approval + primary IDs + batch/employee-level reconciliation,"Владелец принимает запросы, подтверждает ключи, затем выполняет orphan/duplicate/totals reconciliation и подписывает результат.",,NO,NO,,,,,,,NOT RUN,NO
